Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
1pc-double-line-cake-cut-slicer-adjustable-stainless-steel-device-diy-cake-decorating-mold-baking-bakeware-kitchen-cooking-tool,Cortador de Pasteles de Línea Doble/Única,"<h1 style=""text-align: center;""><span style=""color: #ffff00;"">Cortador de Pasteles de Línea Doble/Única</span></h1>
<p style=""text-align: center;"">El Cortador de Pasteles de Línea Doble/Única es una herramienta ideal para cortar uniformemente pasteles y tartas. Funciona con una cuchilla circular perfectamente calibrada, capaz de cortar la masa de manera efectiva y precisa sin dañar los ingredientes. Su diseño ergonómico lo hace ideal para uso profesional, ofreciendo facilidad de manejo y resultados consistentes.</p>
<p style=""text-align: center;""><span data-offset-key=""4sbfr-197-0"" data-mce-fragment=""1""><img src=""https://ae01.alicdn.com/kf/Ha7b3edc536b34aaeb1ce015bd69234ceR.jpg"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">El equipo cuenta con un soporte para el pastel o tarta, lo que facilita el movimiento de corte en todas las direcciones. El modelo de línea doble/única viene equipado con dos cuchillas, la línea doble que corta un gran pastel/tarta por la mitad y la línea única que corta cualquier otra forma de pastel o tarta.</p>
<p style=""text-align: center;""><br></p>
<h2 style=""text-align: left;""><span data-offset-key=""4sbfr-366-0"" data-mce-fragment=""1"">Especificaciones:</span></h2>
<p><span data-offset-key=""4sbfr-366-0"" data-mce-fragment=""1"">Diámetro de la Cuchilla: 315 mm<br>Estructura: Acero Inoxidable</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"más-vendidos, tu-hogar",TRUE,Estilo,dos líneas,,,,,,,,14:100013777#Double Line,0.0,shopify,0,continue,manual,69.90,139.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/Scfc5e540eafa4800b5f44c608620770fk.jpg?v=1731964284,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S31048f698d104cf8907f48f5bf173a6eE.jpg?v=1731964284,kg,,,TRUE,,,TRUE,,,active
precision-drip-coffee-scale-coffee-weighing-0-1g-drip-coffee-scale-with-timer-digital-kitchen-scale-high-precision-lcd-scales,Balanza Electrónica de Precisión,"<h1 class=""product_title entry-title nectar-inherit-h3"" style=""text-align: center; color: #ffff00;"">Balanza Electrónica de Precisión</h1>
<p style=""text-align: center;"">La Balanza Electrónica de Precisión con Temporizador es perfecta para realizar pesajes precisos y control de calidad en tu producción. Cuenta con una plataforma de vidrio con un ancho de 25 cm y ranuras de 2 mm, lo que facilita su limpieza con un paño húmedo.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""mklc-284-0""><img height=""500"" width=""500"" src=""https://buenavistacafe.com.br/wp-content/uploads/2023/02/balanca_cafe.jpg""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""mklc-284-0"">Especificaciones:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""mklc-284-0"">Tamaño de la plataforma: 25 cm<br>Precisión: 0.01 g<br>Temporizador: De 0 a 19 minutos y 59 segundos<br>Memoria: 16 datos<br>Ajuste de brillo: 3 niveles<br>Función de apagado automático<br>Campo útil<br>Función de verificación de peso: límites preestablecidos</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"más-vendidos, utilidades",TRUE,Title,Default Title,,,,,,,,14:193;200000935:202642821,0.0,shopify,0,continue,manual,139.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S16014b4e1d7a467c891d8431a1bee04ac.jpg?v=1731964280,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S760e1f510b694ec4a07861b6bfabe256I.jpg?v=1731964280,kg,,,TRUE,,,TRUE,,,active
4pcs-set-new-refrigerator-waterproof-pad-antibacterial-antifouling-mildew-moisture-can-be-cut-washed-pad-fridge-mats-cabinet-mat,Forros para Refrigerador,"<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none"" data-mce-style=""text-align: center;""><span style=""color: #ffff00;"" id=""productTitle"" class=""a-size-medium product-title-word-break product-title-resize"" data-mce-style=""color: #ffff00;"">Forros para Refrigerador</span></h1>
<p style=""text-align: center;"" data-mce-style=""text-align: center;"">Los forros para refrigerador están diseñados para proteger la superficie externa de tu refrigerador de marcas y arañazos. Hechos de goma de alta calidad, que es resistente al calor y la humedad, están diseñados para ajustarse perfectamente contra la superficie del refrigerador, manteniéndolo limpio y protegido durante mucho tiempo. Estos forros también ayudan a mejorar la apariencia y agregar un toque de estilo a tu cocina. Vienen en una variedad de colores y estilos para combinar con cualquier tipo de refrigerador, independientemente del tamaño o estilo.</p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><img height=""451"" width=""500"" src=""https://m.media-amazon.com/images/I/51RbPT5n3lL._AC_SX679_.jpg"" data-mce-src=""https://m.media-amazon.com/images/I/51RbPT5n3lL._AC_SX679_.jpg""></p>
<h2 style=""text-align: left;"" data-mce-style=""text-align: left;"">Especificaciones:</h2>
<p>Material: Goma<br>Color: Varios<br>Tamaños: Varios<br>Durabilidad: Excelente<br>Área de Aplicación: En el Refrigerador</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"más-vendidos, tu-hogar",TRUE,Color,4pcs amarillo,,tamaño,45 X 29 cm,,,,,14:29#4pcs yellow;5:361385#45 X 29 cm,0.0,shopify,0,continue,manual,44.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/H92bc53eec6084d05b65a5a3beadf066d8.jpg?v=1731964276,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/H88ef6af62f6d4204a4c9113a659fe626q.jpg?v=1731964276,kg,,,TRUE,,,TRUE,,,active
seat-cushion-for-office-chair-memory-foam-non-slip-desk-chair-cushion-back-coccyx-sciatica-tailbone-pain-relief-butt-pillow,Cojín para Asiento de Silla de Oficina,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ffff00;""> Cojín para Asiento de Silla de Oficina </span></h1>
<p style=""text-align: center;"">Este cojín para asiento es ideal para usar en sillas de oficina. Fabricado en espuma altamente transpirable y cubierto con tela acolchada, ofrece larga durabilidad, excelente acabado y mayor comodidad. Los materiales de alta calidad utilizados en el cojín brindan soporte a la espalda, proporcionando más comodidad durante períodos prolongados de uso.</p>
<p style=""text-align: center;""><img height=""500"" width=""500"" src=""https://m.media-amazon.com/images/I/81-smg5kW5L._AC_SX569_.jpg""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>Tamaño:<br>38 cm (longitud) x 36 cm (ancho) x 8 cm (altura)<br>Material:<br>Espuma transpirable y tela acolchada<br>Color:<br>Negro</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"más-vendidos, tu-hogar",TRUE,Color,azul,,,,,,,,14:173#blue,0.0,shopify,0,continue,manual,169.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S0c0194df8d9342748bdf8359d7870b76v.jpg?v=1731964271,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/Sbc2f64ee7c7d4a24bc027f1a21282bb7s.jpg?v=1731964271,kg,,,TRUE,,,TRUE,,,active
hamburger-press-non-stick-burger-pres-perfect-hamburger-mold-ideal-for-bbq-essential-kitchen-amp-grilling-accessories,Prensa para Hamburguesas,"<h1 class=""ui-pdp-title"" style=""text-align: center;""><span style=""color: #ffff00;"">Prensa para Hamburguesas</span></h1>
<p style=""text-align: center;"">La Prensa para Hamburguesas Profesional y Artesanal es una gran herramienta utilizada por chefs y cocineros caseros para preparar deliciosas hamburguesas. Con ella, puedes hacer todas tus hamburguesas del mismo tamaño y densidad para una cocción uniforme. Su bolsillo interno puede mantener una temperatura constante e ideal, garantizando una cocción perfecta. Para lograr el punto de cocción ideal, las hamburguesas deben cocinarse durante 15 a 20 minutos, dependiendo de tu preferencia. El modelo también permite un fácil ajuste de la temperatura del horno, proporcionando más control durante la preparación.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""4d79n-170-0""><img src=""https://http2.mlstatic.com/D_NQ_NP_612937-MLB42225699147_062020-O.webp""></span></p>
<p style=""text-align: center;"">Con esta prensa profesional, puedes crear hamburguesas perfectas de hasta 11 cm de diámetro. ¡Ideal para servir a familiares y amigos! Además, cuenta con un práctico asa para transportarla, ayudando a mantener la higiene y prevenir accidentes y lesiones.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""4d79n-263-0""><img src=""https://http2.mlstatic.com/D_NQ_NP_788403-MLB42225673705_062020-O.webp""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""4d79n-263-0"">Especificaciones:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""4d79n-263-0"">| Nombre | Prensa para Hamburguesas Profesional y Artesanal |<br>| Diámetro | Hasta 11 cm |<br>| Material | Plástico duradero |<br>| Bolsillo interno | Comprime la mezcla de hamburguesa a la forma deseada. Ideal para hacer hamburguesas perfectas |<br>| Práctica | Cuenta con un práctico asa para transportarla, ayudando a mantener la higiene y prevenir accidentes y lesiones. |<br>| Uniformidad | Asegura que todas tus hamburguesas tengan el mismo tamaño y densidad para una cocción uniforme. |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"cocina, más-vendidos",TRUE,Title,Default Title,,,,,,,,14:200004890#Aluminum,0.0,shopify,0,continue,manual,84.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S0fbfffc88ecb4acf973a92fe36a7d431a.jpg?v=1731964267,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S634a438deb62422082f19064fbc0323bM.jpg?v=1731964267,kg,,,TRUE,,,TRUE,,,active
fruit-silicone-mold-for-pastry-desserts-mousse-cake-mold-for-baking-3d-apple-pear-peach-lemon-cherry-strawberry-form-tray,Decoración de Pastel de Frutas,"<h1 style=""text-align: center; color: #ffff00;"">Decoración de Pastel de Frutas</h1>
<p style=""text-align: center;"">La Decoración de Pastel de Frutas es una variación deliciosa y saludable del postre clásico. Está hecha con varios tipos de frutas, como manzana, kiwi, plátano, arándano, frambuesa y sandía. Estas frutas se cortan en rodajas y se caramelizan con un poco de azúcar para realzar el sabor y crear una apariencia brillante y apetecible.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/S5487d2ab164148a88f69f55d5cfeb65bC_480x480.jpg?v=1681304281"" alt=""""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>• Frutas: manzana, kiwi, plátano, arándano, frambuesa y sandía.<br>• Azúcar, vinagre balsámico y canela<br>• Masa de pastel<br>• Crema batida y glaseado de azúcar</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"más-vendidos, tu-hogar",TRUE,Material,1,,Estilo,fruta,,,,,14:200006151#White Apple 172;200322262:1744,0.0,shopify,0,continue,manual,84.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S5487d2ab164148a88f69f55d5cfeb65bC.jpg?v=1731964263,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/Sa638321ab6de4c2395df446e5953c749U.jpg?v=1731964263,kg,,,TRUE,,,TRUE,,,active
findking-peeler-multifunctional-stainless-steel-super-sharp-dual-julienne-rotating-potato-fruit-vegetable-peeler-kitchen-tool,Pelador de Verduras,"<h1 style=""text-align: center;""><span style=""color: #ffff00;"">Pelador de Verduras</span></h1>
<p style=""text-align: center;"">Este pelador de verduras de acero inoxidable es una herramienta multiusos con mangos autolimpiantes y dientes que facilitan el pelado rápido y sencillo, al mismo tiempo que preservan la calidad y los nutrientes de la fruta. Es ideal para uso industrial y cuenta con mangos ergonómicos para un fácil manejo.</p>
<p style=""text-align: center;""><img src=""https://m.media-amazon.com/images/I/71SXfoTX+ZL._AC_SX679_.jpg"" width=""500"" height=""500""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>Material: Acero Inoxidable<br>Altura: 3.2 cm<br>Ancho: 10 cm<br>Longitud: 16 cm<br>Peso: 301 g<br>Características: Mango ergonómico, Sistema de abrazadera para abrir y quitar cáscaras.</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"cocina, más-vendidos",TRUE,Title,Default Title,,,,,,,,14:200006151#Peeler,0.0,shopify,0,continue,manual,79.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S30cc6839e4d6428fb1563f43974f53f4d.jpg?v=1731964258,1,|14:200006151#Peeler,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S30cc6839e4d6428fb1563f43974f53f4d.jpg?v=1731964258,kg,,,TRUE,,,TRUE,,,active
electric-kitchen-food-chopper-mini-garlic-masher-crusher-usb-portable-meat-grinder-vegetable-chopper-for-kitchen-gadgets,Triturador de Ajo,"<h1 style=""text-align: center;"" class=""ui-pdp-title""><span style=""color: #ffff00;"">Triturador de Ajo</span></h1>
<p style=""text-align: center;"">El triturador de ajo eléctrico doméstico de verduras de PHYLIS está diseñado para facilitar la vida diaria de los entusiastas de la cocina. Su base de acero inoxidable y su cabezal giratorio proporcionan una mayor durabilidad. ¡Simplemente inserte los ingredientes y hace el trabajo por ti!</p>
<p style=""text-align: center;""><span data-offset-key=""4sep1-195-0"" data-mce-fragment=""1""><img src=""https://http2.mlstatic.com/D_NQ_NP_851623-MLB47176072230_082021-O.webp""></span></p>
<p style=""text-align: center;"">Su sistema también cuenta con ventosas en la mesa. Su diseño en forma de cono se puede ajustar según la textura deseada. Práctico y duradero, se puede lavar en el lavavajillas.</p>
<p style=""text-align: center;""><span data-offset-key=""4sep1-301-0"" data-mce-fragment=""1""><img src=""https://http2.mlstatic.com/D_NQ_NP_952637-MLB47176072229_082021-O.webp""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""4sep1-301-0"" data-mce-fragment=""1"">Especificaciones:</span></h2>
<p><span data-offset-key=""4sep1-301-0"" data-mce-fragment=""1"">|Marca |Phyllis |<br>|Material |Acero Inoxidable |<br>|Dimensiones |11x7x17 cm |<br>|Ventosas |Sí |<br>|Apto para lavavajillas |Sí |<br>|El cono aumenta la potencia |Sí |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"cocina, más-vendidos",TRUE,Color,250ml blanco,,,,,,,,14:200006151#250ml white,0.0,shopify,0,continue,manual,179.90,249.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S8779b66d06e74ac09469781899af2b2cm.jpg?v=1731964255,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/Sdf048031be2c4324b7ef18b5e589d736B.jpg?v=1731964255,kg,,,TRUE,,,TRUE,,,active
kitchen-shelf-wall-mounted-spice-storage-racks-punch-free-kitchen-knife-holder-wall-season-bottle-chopstick-tube-shelf-organizer,Organizador de Especias,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ffff00;"">Organizador de Especias</span></h1>
<p style=""text-align: center;""><span style=""color: #ffff00;"" class=""a-size-medium product-title-word-break product-title-resize"" data-mce-style=""color: #ffff00;""> <span style=""color: #000000;""> Este organizador de especias es una excelente manera de mantener las especias organizadas y accesibles. Viene con tres unidades de estantería montadas en una sola tabla y se puede colgar fácilmente en una puerta, lo que lo hace práctico. La construcción robusta puede soportar hasta el peso máximo recomendado para uso doméstico. </span> </span></p>
<p style=""text-align: center;""><span style=""color: #ffff00;"" class=""a-size-medium product-title-word-break product-title-resize"" data-mce-style=""color: #ffff00;""><span style=""color: #000000;""><img src=""https://m.media-amazon.com/images/I/71h8CQ8iMwL._AC_SY450_.jpg""></span></span></p>
<h2 style=""text-align: left;""><span style=""color: #ffff00;"" class=""a-size-medium product-title-word-break product-title-resize"" data-mce-style=""color: #ffff00;""><span style=""color: #000000;"">Especificaciones:</span></span></h2>
<p><span style=""color: #ffff00;"" class=""a-size-medium product-title-word-break product-title-resize"" data-mce-style=""color: #ffff00;""><span style=""color: #000000;"">• Material: Acero inoxidable<br>• Color: Plateado<br>• Dimensiones: 12 x 8 cm (L x H)<br>• Capacidad: 21 especias<br>• Instalación: Colgante o montado en la pared<br>• Facilidad de limpieza: Sí</span></span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"cocina, más-vendidos",TRUE,Tamaño,40CM-Monocular,,,,,,,,14:200006151#40CM-Monocular,0.0,shopify,0,continue,manual,269.90,339.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/Scd1b8262afe642d09bba4a25dd3e9fedF.jpg?v=1731964251,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/Sb9aec10bf9df4e7b943a566fea033583S.jpg?v=1731964251,kg,,,TRUE,,,TRUE,,,active
kitchen-rotation-6kg-plastic-pet-rice-grain-dispenser-food-container-grain-bucket-storage-box-dispenser-housewarming-gift,Dispensador Rotativo,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ffff00;""> Dispensador Rotativo </span></h1>
<p style=""text-align: center;"">El Dispensador Rotativo con Almacenamiento y Organización para el Hogar de Pratic Plus es una solución inteligente para organizar los espacios del hogar, así como excelente para mantener lo que más necesitas a mano. El artículo cuenta con 6 compartimentos individuales, cada uno diseñado para asegurarte de que puedes almacenar y organizar artículos de manera eficiente y práctica.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""443fa-286-0""><img height=""577"" width=""500"" src=""https://m.media-amazon.com/images/I/71WAjl-i5JL._AC_SX679_.jpg""></span></p>
<p style=""text-align: center;"">Hecho de acrílico, el Dispensador Pratic Plus tiene un asiento interno removible, personalizable para que puedas colocar etiquetas simples y tener acceso directo al producto deseado. Diseño compacto y moderno, ideal para ahorrar espacio. Para fijación, los productos vienen con 4 almohadillas antideslizantes.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""443fa-409-0""><img height=""531"" width=""500"" src=""https://m.media-amazon.com/images/I/61seIRvuKNL._AC_SX679_.jpg""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""443fa-409-0"">Especificaciones:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""443fa-409-0"">• Material: Acrílico<br>• Color: Transparente<br>• Tipo de producto: Rotación con almacenamiento y organización para el hogar<br>• Número de compartimentos: 6<br>• Asiento interno removible: Sí<br>• Fijación: 4 almohadillas antideslizantes<br>• Diseño moderno y compacto: Sí</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,"más-vendidos, tu-hogar",TRUE,Color,blanco,,,,,,,,14:29,0.0,shopify,0,continue,manual,409.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/Sf34d3f756b4a47f4a81343a14a16e3d4x.jpg?v=1731964247,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0695/7341/0873/files/S2ae9de1d6c7e4943be2656d982b9f4b3u.jpg?v=1731964247,kg,,,TRUE,,,TRUE,,,active
