Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
oem-profile-pbt-keycaps-108-keys-pudding-keycap-for-cherry-mx-switch-mechanical-keyboard-kit-rgb-gamer-backlit-keyboards-switch,Teclado Gamer,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Teclado Gamer</span></h1>
<p style=""text-align: center;"">Cuando se trata de jugar videojuegos, tener un teclado que ofrezca una buena visibilidad de las teclas en la oscuridad es esencial. El problema es encontrar un teclado que permita la sustitución de las teclas y tenga luces LED para destacarlas, sin ocupar mucho espacio en la mesa. El Teclado Gamer de la marca X viene con todas las características necesarias para satisfacer a los gamers profesionales. Tiene un diseño moderno y elegante, además de poseer LEDs personalizables que pueden ser programados por color y brillo para destacar las teclas deseadas.</p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0669/2690/3479/files/S3259e046c05146db898622346966b448i.jpg?v=1731973519"" width=""549"" height=""549""></p>
<p style=""text-align: center;"">Las teclas son fácilmente removibles y reemplazables con otras teclas compatibles, haciendo que tu configuración de computadora se vea más hermosa. Además, cuenta con características adicionales como macros pre-programadas y control RGB total de los botones internos para un mejor rendimiento durante los juegos competitivos. Con el Teclado Gamer de la marca X, puedes enfrentar cualquier juego nocturno sin perder la ventaja visual sobre tus oponentes gracias a su capacidad de crear diseños personalizados a través de las luces LED incorporadas en las teclas principales del producto. Además, este modelo está diseñado pensando en la ergonomía de los usuarios: es extremadamente fácil encajar/desencajar las partes del producto cuando sea necesario.</p>
<p><br></p>
",DSERS,,Electrónica,"más-vendidos, productos gamer",TRUE,Color,1,,,,,,,,14:33#Gray,0.0,shopify,1000,continue,manual,190.00,220.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/S3259e046c05146db898622346966b448i.jpg?v=1731973527,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/Sb187f18d70bd494b85405bdfc014df96x.jpg?v=1731973527,kg,,,TRUE,,,TRUE,,,active
for-sony-ps3-controller-support-bluetooth-for-pc-gamepad-for-sony-ps3-console-controle-mando-joystick-pc-game,Control Inalámbrico - PS3,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Control Inalámbrico - PS3</span></h1>
<div style=""text-align: center;"">¿Alguna vez te has sentido frustrado con los controles del PlayStation 3? ¿Quieres tener una experiencia de juego más realista e inmersiva, pero no sabes cómo? El Control Inalámbrico - PS3 es la solución perfecta para tus necesidades. Con un diseño ergonómico y sin cables, conectividad Bluetooth y botones fáciles de usar, tiene una forma que se ajusta de manera segura a tus manos y sensores de presión que vibran según tus acciones en el juego.<br>
</div>
<div>
<p data-pm-slice=""1 1 []""><img src=""https://cdn.shopify.com/s/files/1/0675/7007/3898/files/H9867bf44ddf74611b0f02b227362f8954_480x480.webp?v=1668649727"" width=""362"" height=""362"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0675/7007/3898/files/H9867bf44ddf74611b0f02b227362f8954_480x480.webp?v=1668649727""></p>
<div>
<p style=""text-align: center;"" data-pm-slice=""1 1 []""><span> </span>Además, el control tiene una batería recargable incorporada para ofrecer horas de diversión con una sola carga. También es liviano para permitirte jugar durante horas sin cansar tus manos. ¡Disfruta de estas características exclusivas del Control Inalámbrico - PS3 ahora mismo! Experimenta la libertad de movimientos precisos gracias a la innovadora tecnología inalámbrica Bluetooth. Disfruta de la sensibilidad diferenciada de los botones sensibles a la presión que permite una mejor inmersión en tus juegos favoritos durante toda la partida. ¡Obtén mayor comodidad mientras controlas las funciones principales gracias a la ergonomía avanzada de este increíble producto!</p>
</div>
<p data-pm-slice=""1 1 []""><img src=""https://image.made-in-china.com/43f34j00NkWucKmYfpbI/PS3-Joystick-Console-Control-for-Sony-Playstation-3-Game-Pad-Accessory.webp"" alt=""PS3 Console Joystick Control para Sony Playstation 3 Game Pad Accesorio"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-fragment=""1"" data-mce-src=""https://image.made-in-china.com/43f34j00NkWucKmYfpbI/PS3-Joystick-Console-Control-for-Sony-Playstation-3-Game-Pad-Accessory.webp""></p>
<p data-pm-slice=""1 1 []""> </p>
<p data-pm-slice=""1 1 []"" style=""text-align: center;""><br></p>
</div>",DSERS,,Electrónica,"más-vendidos, productos gamer",TRUE,Color,negro,,,,,,,,14:94#CM2 for PS3 No Cable;200007763:201336100,0.0,shopify,1000,continue,manual,140.00,180.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/S0b83d25c66fd494c8c56b02ce4ae157ef.jpg?v=1731973524,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/Seafcdca413354a399175b26026aa1ab1W.jpg?v=1731973524,kg,,,TRUE,,,TRUE,,,active
laser-mouse-for-pc-gamer-gaming-mouse-ergonomic-mice-with-led-backlit-usb-mice-for-computer-gamer-girl-mouse-for-laptop,Ratón Gamer,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Ratón Gamer</span></h1>
<p>Muchos jugadores enfrentan problemas al tratar de encontrar el mejor ratón para alcanzar sus objetivos de juego. Los ratones convencionales no ofrecen las funciones necesarias, y los modelos más caros son difíciles de ajustar para obtener un rendimiento óptimo. El Ratón Gamer fue creado con todos estos problemas en mente! Recientemente mejoró la disposición de posicionamiento 6D, operación rápida con cuatro velocidades de DPI, configuración de velocidad con una tecla, ¡grande sin presión! Equipado con siete efectos LED que dan vida a tu experiencia de juego.</p>
<p><img src=""https://images-americanas.b2w.io/produtos/3712567591/imagens/gaming-mouse-wired-mute-rato-gamer-mice-luminoso-colorido-luz-usb-computer-mouse-para-computador-pc-gaming-laptop-kf/3712567611_7_xlarge.jpg"" width=""403"" height=""403"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p>Ofrece control preciso sobre los movimientos del ratón a través de su diseño ergonómico exclusivo que extiende el uso durante largas horas. Además, está equipado con botones programables que te permiten personalizar las funciones del ratón según tu preferencia personal, todo en un único dispositivo moderno y elegante! El Ratón Gamer proporciona todo lo que necesitas para tener una experiencia de juego realmente satisfactoria: mayor comodidad visual a través de los siete modos de colores; la posibilidad de definir cuatro niveles distintos en la sensibilidad de la tasa de DPI; además de la estabilización extremadamente precisa de la ubicación en el campo virtual gracias a la avanzada tecnología de diseño 6D y operación rápida con cuatro velocidades de DPI con una tecla para configuración de velocidad y grande sin presión! Su diseño ergonómico superior te permite experimentar una jugabilidad excepcional sin cansar ni lesionar tus dedos, lo que hace que este tipo de producto sea indispensable para cualquier jugador profesional.</p>
<p><img src=""https://images-americanas.b2w.io/produtos/3712567591/imagens/gaming-mouse-wired-mute-rato-gamer-mice-luminoso-colorido-luz-usb-computer-mouse-para-computador-pc-gaming-laptop-kf/3712567611_1_xlarge.jpg"" width=""427"" height=""427"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p> </p>
<p style=""text-align: center;""><br></p>",DSERS,,Electrónica,"más-vendidos, productos gamer",TRUE,Title,Default Title,,,,,,,,14:29#BK,0.0,shopify,1000,continue,manual,69.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/Sa6352ef2f02344d8b58c5b1555a846a5M.jpg?v=1731973520,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
drone-air-pro-ultra-mini,Drone Air Pro Ultra Mini,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Drone Air Pro Ultra Mini</span></h1>
<p style=""text-align: center;"">El Drone Air Pro Ultra Mini X es un dron de alto rendimiento, ideal para fotografías y videos profesionales. Está equipado con una cámara 2K ultra HD de 12 megapíxeles, que te permite capturar fotos nítidas y videos cristalinos, además de tener una transmisión Wi-Fi de largo alcance.</p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/Screenshot_1_400x_5f0824e7-0df2-42bb-9ff1-1f7504180948_1_480x480.webp?v=1685536751""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>Tamaño del dron: 98mm<br>Peso: 120g<br>Tiempo de vuelo: 25 minutos<br>Distancia de control: 300m<br>Cámara: 2K HD de 12 megapíxeles<br>Transmisión Wi-Fi: Sí<br>Sistema de estabilización: Sí</p>
<p style=""text-align: center;""><br></p>
",DSERS,,Electrónica,"más-vendidos, drones",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,249.00,299.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/Screenshot_1_400x_5f0824e7-0df2-42bb-9ff1-1f7504180948.webp?v=1731973518,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
drone-com-camera-4k,Drone con Cámara 4K,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Drone con Cámara 4K</span></h1>
<p style=""text-align: center;"">Un dron con cámara 4K es un dispositivo volador equipado con tecnología de vídeo de ultra definición. Posee una cámara con resolución de 4K (3840 x 2160 píxeles) para capturar imágenes y videos nítidos y detallados. La transmisión de video ocurre con alta calidad, permitiendo una experiencia de visualización inmersiva y precisa.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/RM13983-2-1-1-33df-avDM_480x480.webp?v=1685538344"" alt=""""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>Peso: Varía según la marca y el modelo<br>Duración de la batería: Varía según la marca y el modelo<br>Sistema de vuelo: Wi-Fi de 2.4GHz<br>Modo de vuelo: Automático/Manual<br>Cámara: Resolución 4K (3840 x 2160)<br>Modo de control: Control remoto o aplicación<br>Distancia de control remoto: Varía según la marca y el modelo<br>Rango de velocidad: Varía según la marca y el modelo<br>Rango de altitud: Varía según la marca y el modelo</p>
<p style=""text-align: center;""><br></p>",DSERS,,Electrónica,"más-vendidos, drones",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,449.90,0.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/RM13983-2-1-1-33df-avDM.webp?v=1731973516,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fone-bluetooth-celular-notebook-tablet,Auriculares Bluetooth para Teléfono Portátil Tablet,"<h1 style=""text-align: center;""><span data-mce-fragment=""1"" style=""color: #80ff00;"">AURICULARES BLUETOOTH 5.0 CP7 TWS CASE</span></h1>
<div style=""text-align: center;"">Los auriculares Bluetooth para Teléfono, Portátil y Tablet, son la solución ideal para mantener una conexión más estable con mayor calidad de sonido inalámbrico. El dispositivo presenta un diseño moderno y ergonómico, ofreciendo comodidad y características para satisfacer tus necesidades auditivas. Puedes escuchar tu música y videos con calidad surround y también contestar llamadas telefónicas, todo sin cables.</div>
<div style=""text-align: center;""><span data-mce-fragment=""1""><img src=""https://http2.mlstatic.com/D_NQ_NP_664976-MLB49281611273_032022-O.webp""></span></div>
<div style=""text-align: center;"">Con la función de cancelación de llamadas telefónicas a través de conexión Bluetooth y NFC, el dispositivo ofrece una experiencia de uso placentera. Con una batería de li-ion, puedes usar el dispositivo durante horas. El dispositivo es compatible con Android e iOS. Ofrece un nivel de calidad de sonido probado con un diseño ergonómico para mayor comodidad.</div>
<div><img data-mce-fragment=""1"" style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://http2.mlstatic.com/D_NQ_NP_818887-MLB48954663448_012022-O.webp"" data-mce-src=""https://http2.mlstatic.com/D_NQ_NP_818887-MLB48954663448_012022-O.webp""></div>
<h2>Especificaciones:</h2>
<p>Tecnología de conexión: Bluetooth / NFC<br>Sonido: Cancelación de ruido<br>Batería: Litio<br>Compatibilidad: Android / iOS<br>Diseño: Ergonómico<br>Características: Respuesta de llamadas vía Bluetooth.</p>
<p style=""text-align: center;""><br></p>
<p> </p>
<p><br></p>",DSERS,,Electrónica,"más-vendidos, auriculares",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,220.00,260.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/D_NQ_NP_664976-MLB49281611273_032022-O.webp?v=1731973514,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fone-de-ouvido-interno-bluetooth-i7s-tws,Auriculares In-Ear Bluetooth i7s TWS,"<h1 data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #80ff00;"" data-mce-style=""color: #80ff00;"">Auriculares In-Ear Bluetooth i7s TWS</span></h1>
<p style=""text-align: center;"" data-mce-style=""text-align: center;"">Los auriculares In-Ear Bluetooth i7s TWS son auriculares estéreo con conexión inalámbrica que utiliza Bluetooth 5.0 para ofrecer una conexión estable y rápida. Los auriculares proporcionan un sonido de alta calidad a través de sus altavoces de neodimio de alta definición. El diseño ergonómico y la almohadilla del oído aseguran un ajuste perfecto en tus oídos, proporcionando comodidad por largos períodos de uso.</p>
<p data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"" style=""text-align: center;"" data-mce-style=""text-align: center;"">También vienen con controles táctiles en el cable para acceso rápido a volumen y accesos directos de funciones como reproducir/pausar, llamada de voz y control de tono. La poderosa batería de litio ofrece hasta 3 horas de tiempo de conversación/música y hasta 40 horas en modo de espera.</p>
<h2 data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"">
<img data-mce-fragment=""1"" src=""https://static-01.daraz.com.bd/p/7687327ff7ae4d450fa4ab21356952cf.jpg"" width=""473"" height=""473"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-src=""https://static-01.daraz.com.bd/p/7687327ff7ae4d450fa4ab21356952cf.jpg"" data-mce-style=""display: block; margin-left: auto; margin-right: auto;""><br data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Especificación:</strong></span>
</h2>
<p data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"">1. Driver: 15mm<br data-mce-fragment=""1"">2. Impedancia: 32 ohm<br data-mce-fragment=""1"">3. Versión de Bluetooth: Bluetooth v5.0 + EDR<br data-mce-fragment=""1"">4. Rango de Frecuencia de Bluetooth: 2.4GHz<br data-mce-fragment=""1"">5. Nivel de Potencia: Clase II<br data-mce-fragment=""1"">6. Potencia de Salida: 30mW<br data-mce-fragment=""1"">7. Distancia de Bluetooth: 10 metros barrera<br data-mce-fragment=""1"">8. Respuesta de Frecuencia: 20-20000Hz<br data-mce-fragment=""1"">9. Rango de Voltaje de Funcionamiento: 3.0V-4.2V<br data-mce-fragment=""1"">10. Sensibilidad del Mic: -42dB<br data-mce-fragment=""1"">11. Con A2DP/AVRCP transmisión de audio estéreo de alta calidad y protocolo de control remoto<br data-mce-fragment=""1"">12. Potente circuito de reducción de ruido (reducción activa de ruido)<br data-mce-fragment=""1"">13. Cambiar entre chino e inglés (la inicialización no conecta el estado de Bluetooth, presione el interruptor 2 veces, escuche el tono de cambio con éxito)<br data-mce-fragment=""1"">14. El tiempo de conversación es de aproximadamente 2-3 horas<br data-mce-fragment=""1"">15. Tiempo de música aproximadamente 1.5-2 horas<br data-mce-fragment=""1"">16. El tiempo de espera es de aproximadamente 100 horas</p>
<p data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"" style=""text-align: center;"" data-mce-style=""text-align: center;""><br></p>",DSERS,,Electrónica,"más-vendidos, auriculares",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,181.00,230.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/D_NQ_NP_959434-MLA45270103227_032021-O.jpg?v=1731973512,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fone-gamer-com-fio,Auriculares Gamer con Cable,"<h1 style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #80ff00;"">Auriculares Gamer con Cable</span></h1>
<p style=""text-align: center;"">Auriculares Gamer con Cable son la mejor opción para los jugadores que buscan la máxima versatilidad en juegos en línea y existen en diferentes tamaños y características. Generalmente tienen micrófonos y controles integrados para control de sonido, comunicación, control de volumen y otros usos.</p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/0647/1820/9253/files/Headset-g2000-com-fio-fone-de-ouvido-para-notebook-computador-jogos-m-sica-grave-pesado-com_480x480.jpg?v=1654311477"" alt="""" data-mce-style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-src=""https://cdn.shopify.com/s/files/1/0647/1820/9253/files/Headset-g2000-com-fio-fone-de-ouvido-para-notebook-computador-jogos-m-sica-grave-pesado-com_480x480.jpg?v=1654311477""></p>
<h2 style=""text-align: center;"" data-mce-style=""text-align: center;""> <br data-mce-fragment=""1""><span data-mce-fragment=""1"">Especificación:</span>
</h2>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><span data-mce-fragment=""1"">Modelo: G2000</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Material de la Almohadilla: Cuero</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Material del cable de los auriculares: cable trenzado</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Tipo de Conector: enchufe recto</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Tipo de auricular: sobre oreja</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Tipo: auricular de iluminación monocromática</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Principio de sonido: bobina móvil</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Rango de respuesta de frecuencia: 20-20000hz</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Impedancia: 32 Ohms</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Sensibilidad: 88dB</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Diámetro del conector: 3.5mm</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Diámetro del altavoz: 50mm/1.97""</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Fuente de salida de audio de los auriculares: para ps4 xbox one, manija, notebook/teléfono móvil con puerto único de 3.5mm, cable de conversión para ipad, para pc</span></p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><br data-mce-fragment=""1""><br></p>",DSERS,,Electrónica,"más-vendidos, auriculares",TRUE,Color,azul,,,,,,,,,0.0,shopify,1000,continue,manual,328.60,360.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/H56c23597fcf44ae88018581828be20cdY.webp?v=1731973509,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/H56c23597fcf44ae88018581828be20cdY.webp?v=1731973509,kg,,,TRUE,,,TRUE,,,active
mini-drone-inteligente-4k-com-camera-hd,Mini Drone Inteligente 4K con Cámara HD,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Mini Drone Inteligente 4K con Cámara HD</span></h1>
<div style=""text-align: center;"">Este cuadricóptero LS-MIN RC es un dron portátil y de tamaño pequeño con múltiples funciones atractivas, como una cámara HD 1080P, trayectoria de vuelo con gesto de giro 3D y excelentes soluciones de color. Es ideal para colocarlo en tus bolsillos o pequeñas maletas de viaje, mientras ofrece un vuelo fácil de controlar.</div>
<div style=""text-align: left;""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://http2.mlstatic.com/D_NQ_NP_713952-CBT47156857948_082021-O.webp""></div>
<p style=""text-align: center;""><br></p>",DSERS,,Electrónica,"más-vendidos, drones",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,469.90,0.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/D_NQ_NP_945404-CBT47156857949_082021-O.jpg?v=1731973506,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
mouse-gamer-profissional-led-5500-dpi-7-botoes,Ratón Gamer Profesional LED,"<h1 style=""text-align: center;"" data-mce-fragment=""1""><span style=""color: #80ff00;"">Ratón Gamer Profesional LED</span></h1>
<p style=""text-align: center;"" data-mce-fragment=""1"">Ratón diseñado para jugadores de alto nivel, con un botón DPI ajustable de hasta 2400 DPI, ofreciendo más velocidad y rendimiento para juegos que exigen el máximo de sus jugadores, con 6 botones configurables (solo en la configuración de los juegos).</p>
<p data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0641/7874/9667/products/viegaro-mouse-gamer-profissional-led-5500-dpi-7-botoes-eletronicos-29141589590171_600x_e4708f63-6cd7-4959-a51c-1c8c38ed6c4f_500x.jpg?v=1650902311"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p style=""text-align: center;"" data-mce-fragment=""1"">Diseño moderno e innovador con LEDs que cambian de color, ideal para jugadores nocturnos.</p>
<p style=""text-align: center;"" data-mce-fragment=""1"">Conector USB 2.0 que proporciona una respuesta más rápida, esencial para un juego perfecto. Juega a tus FPS, MOBA, MMO y muchos otros juegos con un equipo de calidad. Movimientos precisos: Tecnología de estabilización de gravedad, muévete más fácilmente y ten un posicionamiento preciso.</p>
<p data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0641/7874/9667/products/viegaro-mouse-gamer-profissional-led-5500-dpi-7-botoes-eletronicos-29141787246747_600x_5041b1f3-2b36-4093-b2f5-697bacc83a08_400x.jpg?v=1650902311"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<h2 data-mce-fragment=""1"">Especificación Técnica:</h2>
<p><span style=""font-size: 0.875rem;"">Diseño ergonómico</span><br><span style=""font-size: 0.875rem;"">Material plástico ABS - Sensor óptico 2400 DPI</span><br><span style=""font-size: 0.875rem;"">Iluminación LED</span><br><span style=""font-size: 0.875rem;"">Sensibilidad ajustable en 800/1200/1600/2400 DPI</span><br><span style=""font-size: 0.875rem;"">USB: 2.0</span><br><span style=""font-size: 0.875rem;"">6 Botones</span><br><span style=""font-size: 0.875rem;"">Salida: 5 Vdc (a través del puerto USB)</span><br><span style=""font-size: 0.875rem;"">Compatible con: Windows XP/Vista/7/8/10, Mac OS</span><br><span style=""font-size: 0.875rem;"">Consumo 100mA</span><br><span style=""font-size: 0.875rem;"">Cable de fibra trenzada de 1,5 metros</span><br></p>
<p style=""text-align: center;""><br></p>
<p data-mce-fragment=""1""> </p>",DSERS,,Electrónica,"más-vendidos, productos gamer",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,119.90,170.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0725/3341/0009/files/viegaro-mouse-gamer-profissional-led-5500-dpi-7-botoes-eletronicos-29141787246747_600x_400x_eedd22e2-7db4-489f-a2ce-39685efc1c8c.jpg?v=1731973503,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
