Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
5-pares-de-meias,5 Pares de Calcetines,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;"">5 Pares de Calcetines</span></h1>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"">Material:</span><span style=""text-align: center; font-size: 1.4em;"">Algodón, poliéster, acrílico</span>
</div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Tamaño: eur 39-43</span></div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"">Patrón:</span><span style=""text-align: center; font-size: 1.4em;"">Calcetines de colores puros</span>
</div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Estación: primavera, verano, otoño e invierno</span></div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Embalaje: 5 pares de calcetines</span></div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Paquete: Bolsa de OPP</span></div>
<p><br></p>
<div><img style=""font-size: 1.4em; display: block; margin-left: auto; margin-right: auto;"" height=""430"" width=""501"" src=""https://ae01.alicdn.com/kf/HTB13EgOjv6H8KJjSspmq6z2WXXa6.jpg""></div>
<div style=""text-align: center;""><br></div>",DSERS,,fitness,"más-vendidos,  accesorios",TRUE,Color,Preto,,,,,,,,,0.0,shopify,1000,continue,manual,164.46,195.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Meias-5-pares-todas-as-esta-es-masculino-de-algod-o-meias-casuais-para-homens-de.jpg_Q90.jpg_72033abe-d5cb-45a6-9d82-5f438a6e1592.jpg?v=1732038056,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Meias-5-pares-todas-as-esta-es-masculino-de-algod-o-meias-casuais-para-homens-de.jpg_Q90.jpg_72033abe-d5cb-45a6-9d82-5f438a6e1592.jpg?v=1732038056,kg,,,TRUE,,,TRUE,,,active
luva-para-ciclismo,Guantes para ejercitar y ciclismo,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;"">Guantes para ejercitar y ciclismo</span></h1>
<p style=""text-align: center;"">Ideal para tu entrenamiento diario. Estos guantes son indicados para atletas profesionales y amateurs que practican ciclismo. Atletas que necesitan proteger las manos y tener firmeza en el agarre para minimizar los riesgos. Proporciona disipación del calor, mayor estabilidad.</p>
<p style=""text-align: center;"">Funcionalidad - Ejercicios con más estabilidad, dando más calidad y mejores resultados al agarre y movimientos</p>
<div style=""text-align: center;"">
<br><img height=""549"" width=""549"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H2ac2101c8aba409a8903f2ff137592ceP.webp?v=1732120909"" alt=""""><br>
</div>
<div style=""text-align: center;""><img height=""538"" width=""538"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H7446b506a7b049e98998bcbbc6474271f.webp?v=1732120909"" alt=""""></div>
<p><br></p>",DSERS,,fitness,"más-vendidos,  accesorios",TRUE,Tamaño,M,,,,,,,,,0.0,shopify,1000,continue,manual,134.00,150.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Designsemnome_2.png?v=1732038055,1,Luva para malhar e ciclismo - Gadarelo,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Designsemnome_2.png?v=1732038055,kg,,,TRUE,,,TRUE,,,active
manguito-esportivo-02-pecas,Manguito Deportivo 02 Piezas,"<h1 style=""text-align: center;"" dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span style=""color: #b3b3b3;"">Manguito Deportivo 02 Piezas</span></h1>
<h3 style=""text-align: center;"" dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta"">¡Este producto es perfecto para tus actividades!</h3>
<div style=""text-align: center;"" dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta"">Permite una mejor experiencia en exposición al sol y al frío.</div>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><br></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span lang=""es"" class=""Y2IQFc""><strong><img height=""549"" width=""549"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hbf926fe74c104e5ea5ae575f237f0ce92.webp?v=1732121323"" alt=""""></strong></span></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><img height=""539"" width=""539"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hb43a4afe61284125ba2040b5d875cadam.webp?v=1732121336"" alt=""""></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""> </p>
<p dir=""ltr"" id=""tw-target-text"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span lang=""es"" class=""Y2IQFc""><strong>ESPECIFICACIONES</strong><br><br>Mangas para brazo: Mangas Deportivas</span></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span lang=""es"" class=""Y2IQFc"">Tipo: mangas deportivas</span></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span lang=""es"" class=""Y2IQFc"">Adecuado: Deporte al aire libre/Conducir/Pesca</span></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span lang=""es"" class=""Y2IQFc"">Cantidad: 2 piezas = 1 par </span></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span lang=""es"" class=""Y2IQFc"">Número de modelo: mangas de brazo antideslizantes</span></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span lang=""es"" class=""Y2IQFc"">Material: Poliéster</span></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span lang=""es"" class=""Y2IQFc"">Longitud: 37 ~ 43 cm</span></p>
<p dir=""ltr"" data-placeholder=""Traducción"" class=""tw-data-text tw-text-large tw-ta""><span lang=""es"" class=""Y2IQFc"">Género: Unisex</span></p>
<div><br></div>
<div style=""text-align: center;""> Nos enorgullece decir que <b>garantizamos la recepción</b> con calidad </div>
<div style=""text-align: center;"">de este producto o su dinero de vuelta!</div>
<div class=""detailmodule_html"">
<div class=""detail-desc-decorate-richtext"">
<div class=""detailmodule_image""><br></div>
</div>
</div>",Dsers,,fitness,"más-vendidos,  accesorios",TRUE,Color,Preto,,,,,,,,,0.0,shopify,1000,continue,manual,79.00,129.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/H3c8dfef2ed074886be4a53871ce97c6cD_500x_cae9e696-548b-44fa-b121-fdfb7c44c2d9.jpg?v=1732038053,1,Manguito Esportivo 02 Peças - loja top certa,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/H5ee3bbbee1684a46a8b0501b659fdcf6y_500x_130c6cfa-e8d6-463f-b9c0-7f2f90388ce6.jpg?v=1732038053,kg,,,TRUE,,,TRUE,,,active
tiara-de-yoga,Diadema de Yoga,"<h1 data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2""><strong>Diadema de Yoga</strong></h1>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2"">La diadema de yoga es un accesorio utilizado para añadir estilo y belleza a la práctica del yoga. Está hecha de metal ligero y decorada con cristales y piedras de colores. Se coloca en la parte superior de la cabeza, donde se mantiene en su lugar mediante un elástico o una cinta. Su uso subraya la importancia del crecimiento espiritual y la conexión con la naturaleza. También se utiliza en la práctica de la meditación, ya que se cree que puede ayudar a concentrar el flujo de energía alrededor de la cabeza. Además, puede servir como símbolo de feminidad y fuerza.</div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2"">
<strong><span data-offset-key=""ijaq-207-0""></span></strong><br>
</div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2""><strong>Detalles del producto:</strong></div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2"">Peso: 30 ⁄</div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2""><span data-mce-fragment=""1"" style=""font-family: 'comic sans ms';"" face=""comic sans ms""><span data-mce-fragment=""1"">Tamaño: 25*15cm/25*8.5cm</span></span></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><span data-mce-fragment=""1"">Lista de poliéster: 1 pcs diademas</span></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><span data-mce-fragment=""1"">Comodidad garantizada para tu yoga u otro ejercicio.</span></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><strong>Adquiere este producto en nuestra tienda con promoción.</strong></div>
<div data-mce-fragment=""1""><strong><img height=""554"" width=""554"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/HTB1i1TjaHj1gK0jSZFOq6A7GpXaG.webp?v=1732126017"" alt=""""></strong></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><br></div>",DSERS,,fitness,"más-vendidos,  accesorios",TRUE,Color,Preto,,,,,,,,,0.0,shopify,1000,continue,manual,99.99,135.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Tiara-esportiva-antiderrapante-feminina-faixa-de-cabelo-el-stica-para-corridas-cachecol-faixas-de-cabelo-acess.jpg_Q90.jpg_3876cb30-2139-4647-9f26-7a5d0c8a19ae.jpg?v=1732038047,1,Tiara de Yoga - lojarotinanatural,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Tiara-esportiva-antiderrapante-feminina-faixa-de-cabelo-el-stica-para-corridas-cachecol-faixas-de-cabelo-acess.jpg_Q90.jpg_3876cb30-2139-4647-9f26-7a5d0c8a19ae.jpg?v=1732038047,kg,,,TRUE,,,TRUE,,,active
tenis-confort-max,Zapatillas Confort Max,"<h1 style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []"">Zapatillas Confort Max</h1>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []"">Un elemento básico del guardarropa y estilo para el hombre moderno, estos zapatos son perfectos para el otoño. La parte superior de cuero se combina con una suela de crepé rústica que ofrece estabilidad y flexibilidad. Los detalles contemporáneos incluyen un cierre con cordones y detalles cosidos en el caño.</p>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []""><img height=""646"" width=""532"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S80287ae646ea453b957677a223fc7741z.webp?v=1732123141"" alt=""""></p>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []"">Este zapato casual de acero para hombres y mujeres tiene una parte superior transpirable y es definitivamente un buen ayudante en el trabajo. Diseño ultraligero, más ligero que los zapatos de seguridad ligeros comunes, reduce la carga del día de trabajo duro.</p>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []""><img height=""589"" width=""547"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Sbd5f626d78f14bfb930667a5cf607893O.webp?v=1732123141"" alt=""""></p>",DSERS,,fitness,"más-vendidos,  zapatos",TRUE,Tamaño,39,,Color,Preto,,,,,,0.0,shopify,1000,continue,manual,457.26,515.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/2022-novos-homens-profissional-almofada-de-ar-malha-respir-vel-t-nis-corrida-sapatos-moda-esportes.jpg_Q90.jpg_bc97cfaa-f16e-4059-9283-908812fd6821.jpg?v=1732038044,1,Tênis Confort Max - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/2022-novos-homens-profissional-almofada-de-ar-malha-respir-vel-t-nis-corrida-sapatos-moda-esportes.jpg_640x640_885c7c0d-432f-47bb-9315-223e5216b669.jpg?v=1732038044,kg,,,TRUE,,,TRUE,,,active
tenis-esportivo-ortopedico,Zapatillas Deportivas Ortopédicas,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;"">Zapatillas Deportivas Ortopédicas</span></h1>
<div style=""text-align: center;""><br></div>
<h3 style=""text-align: center;"" class=""text-title""><em>Más fuertes que una bota de senderismo. Más suaves que una cómoda pantufla.</em></h3>
<div style=""text-align: center;"" class=""gallery-review"" id=""galleryReview""><br></div>
<div style=""text-align: center;""> <b>Protege y cuida. Hecho para pies femeninos,</b> con una suela de goma moldeada con una almohadilla de aire suave en el talón que distribuye la presión para una caminata más suave y sin dolor.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Sin cordones. </b>El tejido suave y tejido envuelve tu pie sin necesidad de cordones.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Ligero y fácil. </b>Confía en la suela duradera con almohadilla de aire y goma antideslizante de primera calidad para caminar todo el día.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Eco Friendly.<span> </span></b>Producido de forma sostenible, usando solo materiales veganos, ningún producto de origen animal se usa en nuestros zapatos.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Tamaños disponibles:</b><span> </span>Siempre tenemos stock en una variedad de tamaños de 34 a 40 (tamaños femeninos en Brasil).</div>
<div style=""text-align: center;""><img height=""541"" width=""541"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H5bfa61ceb7b544e3a4d8dbc5ee6f958dj.webp?v=1732123520"" alt=""""></div>
<div style=""text-align: center;"">
<h3 class=""text-title"">Caminata suave como la seda.</h3>
<p>Experimenta <b>comodidad indulgente,</b> un aumento de altura atrevido y un salto estable del talón a los dedos del pie.</p>
<p>Mantén una excelente tracción con la <b>suela moldeada antideslizante,</b> incluso en terrenos difíciles.</p>
<p><b>Olvídate que estás usando,</b> incluso después de estar de pie todo el día.</p>
<div>
<p><img height=""724"" width=""543"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hb65717af5af34544b8c433b291430c3bx.webp?v=1732123520"" alt=""""> <br></p>
<div>
<h2 class=""text-center section-title"">El equilibrio perfecto entre suavidad y soporte.</h2>
<p class=""section-text"">¡Conoce los zapatos más suaves de internet! Diseñado para equilibrar tu peso perfectamente del talón a los dedos del pie con un salto suave y reconfortante.</p>
<p class=""section-text""><img height=""543"" width=""543"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Ha30c68971d984919809607381458c5afR.webp?v=1732123520"" alt=""""></p>
</div>
</div>
</div>",DSERS,,fitness,"más-vendidos,  zapatos",TRUE,Color,Preto,,Tamaño,35,,,,,,0.0,shopify,1000,continue,manual,303.38,350.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Hipersoft-t-nis-mulher-2021-ortop-dico-t-nis-para-mulher-plataforma-branco-preto-vermelho-sapatos.jpg_640x640_cd5b7dae-2967-4f9d-968c-eec18090e1da.jpg?v=1732038041,1,Tênis Esportivo Ortopédico - shopfalcao,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Hipersoft-t-nis-mulher-2021-ortop-dico-t-nis-para-mulher-plataforma-branco-preto-vermelho-sapatos.jpg_640x640_5816530c-8261-44fe-9d6f-e5a19d423511.jpg?v=1732038041,kg,,,TRUE,,,TRUE,,,active
tenis-flex,Zapatillas Flex,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3; font-size: 1.4em;""><strong style=""text-align: center; font-size: 1.4em;"">Zapatillas Flex</strong></span></h1>
<div style=""text-align: center;"">
<span class=""property-title"" style=""text-align: center; font-size: 1.4em;""><strong>Género</strong>: </span><span title=""Unisex"" class=""property-desc line-limit-length"" style=""text-align: center; font-size: 1.4em;"">Unisex 2024</span>
</div>
<div style=""text-align: center;"">
<span class=""property-title"" style=""text-align: center; font-size: 1.4em;""><strong>Función</strong>: </span><span title=""Control de movimiento"" class=""property-desc line-limit-length"" style=""text-align: center; font-size: 1.4em;"">Control de movimiento</span>
</div>
<div style=""text-align: center;"">
<span class=""property-title"" style=""text-align: center; font-size: 1.4em;""><strong>Característica</strong>: </span><span title=""Transpirable"" class=""property-desc line-limit-length"" style=""text-align: center; font-size: 1.4em;"">Transpirable</span>
</div>
<div style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H77e41a67661b4909bb15c67f84b3082cS.webp?v=1732124097"" width=""553"" height=""553""></div>
<div style=""text-align: center;"">
<span class=""property-title"" style=""text-align: center; font-size: 1.4em;""><strong>Característica:</strong> </span><span title=""Aumento de altura"" class=""property-desc line-limit-length"" style=""text-align: center; font-size: 1.4em;"">Aumento de altura</span>
</div>
<div style=""text-align: center;"">
<strong style=""text-align: center; font-size: 1.4em;""><span class=""property-title"">Material de la plantilla:</span> </strong><span title=""PU"" class=""property-desc line-limit-length"" style=""text-align: center; font-size: 1.4em;"">PU</span>
</div>
<div style=""text-align: center;"">
<strong style=""text-align: center; font-size: 1.4em;""><span class=""property-title"">Tipo de calzado atlético:</span> </strong><span title=""Zapatillas de correr"" class=""property-desc line-limit-length"" style=""text-align: center; font-size: 1.4em;"">Zapatillas de correr</span>
</div>
<div style=""text-align: center;"">
<strong style=""text-align: center; font-size: 1.4em;""><span class=""property-title"">Material superior:</span> </strong><span title=""Malla (malla de aire)"" class=""property-desc line-limit-length"" style=""text-align: center; font-size: 1.4em;"">Malla (malla de aire)</span>
</div>
<div style=""text-align: center;"">
<span class=""property-title"" style=""text-align: center; font-size: 1.4em;""><strong>Tipo de cierre:</strong> </span><span title=""Con cordones"" class=""property-desc line-limit-length"" style=""text-align: center; font-size: 1.4em;"">Con cordones</span>
</div>
<div style=""text-align: center;"">
<span class=""property-title"" style=""text-align: center; font-size: 1.4em;""><strong>Ajuste</strong>: </span><span title=""Se ajusta al tamaño real, toma tu tamaño normal"" class=""property-desc line-limit-length"" style=""text-align: center; font-size: 1.4em;"">Se ajusta al tamaño real, toma tu tamaño normal</span>
</div>
<div style=""text-align: center;""><br></div>
<div style=""text-align: center;""><br></div>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H3df346f198304a9c9913cea3bdc4a5beK.webp?v=1732124098"" width=""539"" height=""539""></p>",DSERS,,fitness,"más-vendidos,  zapatos",TRUE,Tamaño,37,,Color,Bege,,,,,,0.0,shopify,1000,continue,manual,425.12,460.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/T-nis-de-corrida-masculino-e-casal-sapatos-casuais-antiderrapantes-leves-para-homens-e-mulheres-moda.png_640x640_27002164-a49e-4a8f-ba59-305ce04c7dc5.png?v=1732038038,1,Tênis Flex - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/T-nis-de-corrida-masculino-e-casal-sapatos-casuais-antiderrapantes-leves-para-homens-e-mulheres-moda.png_640x640_27002164-a49e-4a8f-ba59-305ce04c7dc5.png?v=1732038038,kg,,,TRUE,,,TRUE,,,active
tenis-max-confort,Zapatillas Máximo Confort,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;""><strong data-mce-fragment=""1"">Zapatillas Máximo Confort</strong></span></h1>
<div style=""text-align: center;""><strong data-mce-fragment=""1"">El estilo y la comodidad que te mereces.</strong></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Las incomodidades en los pies pueden estar relacionadas con el tipo de calzado que usas. Utilizar un calzado cómodo es la manera más ideal de evitar futuros problemas y cansancio en los pies.</span></div>
<div style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Saca1be1b83774369b61ef51c47c5f7e3g.webp?v=1732124617"" width=""549"" height=""549""></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Hechos con los más altos estándares tecnológicos, ponen fin a la incomodidad y brindan alivio inmediato para quienes sufren de cansancio en los pies, o para quienes necesitan estar de pie durante largas horas en su vida diaria.</span></div>
<div style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S43813b6d48374aa3a8af28bdbc6dccf7B.webp?v=1732124617"" width=""541"" height=""541""></div>
<div style=""text-align: center;"">
<p><span><strong>Especificaciones:</strong></span></p>
<div><span>-Material: Malla</span></div>
<div><span>-Incluido en el Paquete: 1x Zapatillas Cómodas</span></div>
<div><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Sdcd7c2c3c95e437e8bc9218d76ff663ai.webp?v=1732124618"" width=""551"" height=""551""></div>
</div>",DSERS,,fitness,"más-vendidos,  zapatos",TRUE,Tamaño,35,,Color,Preto,,,,,,0.0,shopify,1000,continue,manual,408.30,450.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Xiaomi-mijia-mi-menment-nis-de-corrida-sapatos-caminhada-gin-sio-moda-esportes-luz-sapatos-casuais.jpg_640x640_7cb81248-c20b-47d8-9c2e-50b24f1a81c7.jpg?v=1732038036,1,Tênis Max Confort - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Xiaomi-mijia-mi-menment-nis-de-corrida-sapatos-caminhada-gin-sio-moda-esportes-luz-sapatos-casuais.jpg_640x640_7cb81248-c20b-47d8-9c2e-50b24f1a81c7.jpg?v=1732038036,kg,,,TRUE,,,TRUE,,,active
tenis-meia,Zapatillas Calcetín,"<h1 style=""text-align: center;""><span data-mce-fragment=""1"" style=""color: #b3b3b3;"">Zapatillas Calcetín</span></h1>
<div style=""text-align: center;"">
<span data-mce-fragment=""1"">Las zapatillas</span><span data-mce-fragment=""1""> calcetín fueron diseñadas para </span><strong data-mce-fragment=""1"">TI</strong><span data-mce-fragment=""1""> que quieres usar un calzado de forma casual,</span>
</div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">ideal para paseo y ocio. Estiloso y disponible en colores NEGRO, MORADO, ROSA y GRIS, ¡adaptándose a tu propio estilo!</span></div>
<div style=""text-align: center;""><img height=""539"" width=""539"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S03b0774c8f764393901e6b2ebb695d51e.webp?v=1732124994"" alt=""""></div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Material</strong><span data-mce-fragment=""1""> de alta calidad: Malla (aérea)</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Tipo de cierre:</strong><span data-mce-fragment=""1""> Cordones;</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Material del Forro:</strong><span data-mce-fragment=""1""> Mesh</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Estilo:</strong><span data-mce-fragment=""1""> Casual;</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Material de la Suela: RUBBER</strong><span data-mce-fragment=""1""> (Thermoplastic Rubber) la suela de TR</span>
</div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">presenta mucha adherencia y estabilidad, además de flexibilidad,</span></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">resistencia térmica y alto rendimiento.</span></div>
<div style=""text-align: center;""><img height=""550"" width=""550"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S62ab648d65614ee0a0f5cd76f18cc524l.webp?v=1732124994"" alt=""""></div>
<div style=""text-align: center;"">
<div><br></div>
<div><br></div>
</div>",DSERS,,fitness,"más-vendidos,  zapatos",TRUE,Tamaño,36,,Color,Rosa,,,,,,0.0,shopify,1000,continue,manual,328.76,370.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Senhoras-t-nis-respira-o-sola-macia-sapatos-femininos-t-nis-de-corrida.jpg_640x640_e4e1558b-3894-4851-9987-a4ec66ac3667.jpg?v=1732038033,1,Tênis Meia - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/Senhoras-t-nis-respira-o-sola-macia-sapatos-femininos-t-nis-de-corrida.jpg_640x640_e4e1558b-3894-4851-9987-a4ec66ac3667.jpg?v=1732038033,kg,,,TRUE,,,TRUE,,,active
tenis-meia-unissex,Zapatillas Calcetín Unisex,"<h1 style=""text-align: center;""><span data-mce-fragment=""1"">Zapatillas Calcetín Unisex</span></h1>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Zapatillas calcetín en tejido elástico negro. Suela robusta de goma blanca.</span></div>
<div style=""text-align: center;"">
<p><img height=""634"" width=""541"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H0cd7f75c0c804e1998686de138ca00586.webp?v=1732125215"" alt=""""></p>
<p>Detalles: Costuras / Caña Alta / Sin Cordones </p>
<p>Suela: Goma</p>
<p>Plantilla: PU (Poliuretano)</p>
<p>Peso por Pie: 278g (Aprox.)</p>
<p>Altura del Tacón: 5cm (Aprox.)</p>
<p><img height=""529"" width=""501"" src=""https://ae01.alicdn.com/kf/Hb3952edba7bd46cfabe06fe99820c31eJ.jpg?width=800&amp;height=845&amp;hash=1645""></p>
<div><br></div>
<div><br></div>
</div>",DSERS,,fitness,"más-vendidos,  zapatos",TRUE,Tamaño,34,,Color,Preto,,,,,,0.0,shopify,1000,continue,manual,412.40,460.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/2021-das-mulheres-dos-homens-da-moda-t-nis-de-malha-masculino-sapatos-esportivos-senhora-formadores.jpg_Q90.jpg_546f2a05-f16c-4720-9e12-e5cba53672de.jpg?v=1732038031,1,Tênis Meia Unissex - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/3746/6565/files/2021-das-mulheres-dos-homens-da-moda-t-nis-de-malha-masculino-sapatos-esportivos-senhora-formadores.jpg_Q90.jpg_546f2a05-f16c-4720-9e12-e5cba53672de.jpg?v=1732038031,kg,,,TRUE,,,TRUE,,,active
