Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
anel-3-pedras,Anillo de 3 piedras,"<h3 style=""text-align: center;"">Anillo de 3 piedras</h3>
<p style=""text-align: center;""><span>Anillo de promesa abierto ajustable para ella: cuando buscas mostrar tu amor por la vida, ninguna pieza de joyería expresa esta declaración más fuerte que el anillo de promesa abierto ajustable. Este anillo de primera calidad es el toque de delicadeza que estabas buscando para que tu atuendo parezca real. Deslumbra a todos los que te vean con tu encanto exótico y tu sentido de la moda.</span></p>
<p style=""text-align: center;""><span><img height=""539"" width=""539"" src=""https://cdn.shopify.com/s/files/1/0719/7409/3041/files/JewelryPalace-1-7ct-Verdadeira-Multi-London-Blue-Topaz-3-Pedras-Anel-Genu-no-925-J-ias.jpg_Q90.jpg_45ebc0c3-65df-4594-9233-a9dffa19f75c.webp?v=1732220303"" alt=""Anel 3 Pedras - luvijoias""></span></p>
<p style=""text-align: center;""><span>Un regalo maravilloso para cualquier ocasión: estos anillos de boda únicos y sinceros están bellamente empaquetados y listos para regalar. Es una sorpresa sentimental para cualquier mujer increíble. Este elemento esencial atemporal es la idea de regalo perfecta para su esposa, hija, madre, hermana, novia, mejor amiga o para usted mismo. ¡Regala a alguien joyas finas de lujo especiales para lucir con estilo del día a la noche!</span></p>
<div data-spm-anchor-id=""a2g0o.detail.1000023.i2.68de36f2xde8uj""><br></div>
<div estilo=""text-align: centro;"">
<span>Este producto tiene </span><b>garantía total</b><span> en nuestra tienda, </span>
</div>
<div style=""text-align: center;""><span>¡recibe el producto en casa o te devolvemos tu dinero!</span></div>",Dsers,Sem categoria,,joyas,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,491.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/JewelryPalace-1-7ct-Verdadeira-Multi-London-Blue-Topaz-3-Pedras-Anel-Genu-no-925-J-ias.jpg_Q90.jpg_45ebc0c3-65df-4594-9233-a9dffa19f75c.webp?v=1733011175,1,Anel 3 Pedras - luvijoias,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
colar-duplo-circulo,Collar de doble círculo,"<h3 style=""text-align: center;"">Collar de doble círculo</h3>
<p style=""text-align: center;"">Una pieza preciosa y delicada, pero con un toque de lujo. El collar doble círculo es una joya para las mujeres más discretas a las que les gustan las piezas más delicadas. El producto es 100% nuevo y de excelente calidad, cómodo y no daña la piel.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sa8a059f3685346ed8a9e7a3be9fcf0e8I.webp?%20v=1733009123"" alt="""" width=""501"" height=""501"" altura=""552"" ancho=""552""></p>
<p estilo=""text-align: centro;""><br></p>
<div datos-mce-fragment=""1""><span datos-mce-fragment=""1""><img height=""535"" width=""535"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/See60d255e3b14731a91efc7d5a795e2fi.webp?v=1733009123"" alt=""""></span></div>
<div data-mce-fragment=""1"" estilo=""text-align: centro;""><span data-mce-fragment=""1"">Este producto tiene <strong data-mce-fragment=""1"">garantía total</strong> en nuestra tienda. recibe el producto en casa o te devolvemos tu dinero</span></div>",Dsers,Sem categoria,,joyas,TRUE,Cor,Prata,,,,,,,,,0.0,shopify,2000,continue,manual,232.30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/S999-colar-de-prata-esterlina-para-as-mulheres-duplo-c-rculo-925-pingente-de-prata-colar.jpg_640x640_d8a01c89-99e0-4e3f-b500-1f8e6f32e0ce.jpg?v=1733011173,1,Colar Duplo Circulo - luvijoias,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/S999-colar-de-prata-esterlina-para-as-mulheres-duplo-c-rculo-925-pingente-de-prata-colar.jpg_640x640_f0f1c338-2a5b-4d0c-8ba0-0bebb712d125.jpg?v=1733011173,kg,,,TRUE,,,TRUE,,,active
colar-casual,Collar informal,"<h3 style=""text-align: center;"">Collar informal</h3>
<p style=""text-align: center;"">Hermoso y delicado collar, cómodo y fácil de usar. Combina con tus compromisos del día a día y también para un evento más sofisticado. Producto 100% nuevo y de excelente calidad.</p>
<p style=""text-align: center;""><img alt=""Colar Casual - luvijoias"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Dieyuro-316l-pingente-retangular-minimalista-de-a-o-inoxid-vel-coreano-preto-ep-xi-feminino-colar.jpg_Q90.jpg_3e2df6db-74e1-41dd-a37b-52ec8baf7471.jpg?v=1733008546"" width=""557"" height=""557""></p>
<p style=""text-align: center;"">No duele ni irrita la piel, úsala sin preocupaciones. También es una gran idea regalarle a tu ser querido en una fecha especial.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/He9a5bbc7fffd42c18d5eefd85cb259abM.webp?%20v=1733008758"" alt="""" width=""545"" height=""545""></p>
<ul class=""lista de especificaciones de producto util-clearfix"">
<li class=""product-prop línea-límite-longitud"">
<span class=""property-title"">Tamaño del colgante: </span><span class=""property-desc longitud límite de línea"" title=""4.1cm"" data-spm-anchor-id=""a2g0o.detail.0.i12.18531a5cWVc2Le"">4,1 cm</span>
</li>
</ul>
<div datos-mce-fragment=""1""><span datos-mce-fragment=""1""><br></span></div>
<div data-mce-fragment=""1"" estilo=""text-align: centro;""><span data-mce-fragment=""1"">Este producto tiene <strong data-mce-fragment=""1"">garantía total</strong> en nuestra tienda. recibe el producto en casa o te devolvemos tu dinero</span></div>",Dsers,Sem categoria,,joyas,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,2000,continue,manual,122.20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/H4f77ea04b8de4f27b312abf0ab40a9c1h.webp?v=1733011170,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
pulseira-charm-joia,Pulsera con dijes,"<h3 style=""text-align: center;"">Pulsera con dijes</h3>
<p style=""text-align: center;"">Nuestra pulsera está hecha de acero inoxidable. unos 3 mm de espesor.</p>
<div style=""text-align: center;""><strong><img height=""534"" width=""534"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Alta-qualidade-pulseira-de-corrente-de-a-o-inoxid-vel-para-homens-nova-moda-simples-pulseiras.jpg_640x640_46da5a9e-ed55-4ff3-ba3a-e4dbac8e262f.jpg?v=1733008548"" alt=""Pulseira Charm Jóia - luvijoias""></strong></div>
<div style=""text-align: center;""><strong>Especificación:</strong></div>
<div>
<div style=""text-align: center;"">Tipo de artículo: pulseras de acero inoxidable</div>
<div align=""inicio"">
<div align=""inicio"">
<div class=""detallemodule_html"">
<div class=""detalle-desc-decorar-richtext"">
<div estilo=""text-align: centro;"">
<div>Estilo: sencillo y moderno</div>
<div>
<div>
<p>Género: mujer/hombre</p>
<p>Color: Color acero</p>
</div>
</div>
</div>
<div>
<div style=""text-align: center;"">Tamaño: 20 cm</div>
<div style=""text-align: center;"">Material: acero inoxidable</div>
<div estilo=""text-align: centro;"">
<div datos-mce-fragment=""1""><br></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">Este producto tiene <strong data-mce-fragment=""1"">garantía total</strong> en nuestra tienda. recibe el producto en casa o te devolvemos tu dinero</span></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>",Dsers,Sem categoria,,accesorios,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,2000,continue,manual,80.30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/Alta-qualidade-pulseira-de-corrente-de-a-o-inoxid-vel-para-homens-nova-moda-simples-pulseiras.jpg_640x640_46da5a9e-ed55-4ff3-ba3a-e4dbac8e262f.jpg?v=1733011167,1,Pulseira Charm Jóia - luvijoias,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
20-60cm-925-sterling-silver-luxury-brand-design-noble-necklace-chain-for-woman-men-fashion-wedding-engagement-jewelry,CADENA GROUMET PLATA 950,"<h1 style=""text-align: center;"" class=""product-name""><span style=""color: #ff8000;"">CADENA GROUMET PLATA 950</span></h1>
<p style=""text-align: center;"">Estas cadenas de Grupo 925 están hechas de plata maciza con 925 zirconias. Tienen un diseño moderno y elegante alrededor, haciéndolas perfectas para ocasiones especiales como bodas, aniversarios, graduaciones y más. Hipoalergénico, el producto está hecho con materiales de alta calidad.</p>
<p style=""text-align: center;""><img height=""528"" width=""528"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S611f561ee3c54b938c7527d036228b02i.jpg?v=1732136793"" alt=""|200000639:200661028#45cm 18inches|200000639:200661029#50cm  20inches|200000639:100010281#55cm 22inches|200000639:884#60cm 24inches|200000639:1438#20cm 8inches""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>Material | Plata maciza 925 <br>Piedras | 925 zirconias <br>Longitud | 60 cm <br>Tamaño | Ajustable <br>Calidad | Hipoalergénico <br>Ocasiones | Bodas, aniversarios, graduaciones, etc.</p>",DSERS,Sem categoria,moda,joyas,FALSE,Tamanho,45cm,,,,,,,,200000639:200661028#45cm 18inches,0.0,shopify,1000,continue,manual,35.00,55.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/S611f561ee3c54b938c7527d036228b02i.jpg?v=1732136764,1,|200000639:200661028#45cm 18inches|200000639:200661029#50cm  20inches|200000639:100010281#55cm 22inches|200000639:884#60cm 24inches|200000639:1438#20cm 8inches,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/S611f561ee3c54b938c7527d036228b02i.jpg?v=1732136764,kg,,,TRUE,,,TRUE,,,active
2022-new-fashion-female-shoulder-bag-rhombus-embroidered-solid-color-chain-women-39-s-shoulder-crossbody-casual-trendy-phone-bag,Bolso Bandolera Clásico Clatch,"<h1 class=""product-single__title"" style=""text-align: center;""><span style=""color: #ff8000;"">Bolso Bandolera Clásico Clatch</span></h1>
<p style=""text-align: center;"">Este bolso bandolera clásico es ideal para llevar tus objetos personales con facilidad, ya que cuenta con una correa ancha y cierre de cláter. Tiene un diseño versátil para usar en el día a día o el fin de semana. Confección doble en color amarillo, detalles en cuero sintético y aplique en los hombros. Un bolso hermoso, funcional y práctico.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""636t-187-0""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0579/2494/4070/products/bolsinha-transversal-clatch-classica_9_1800x1800.png?v=1656927688""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""636t-187-0"">Especificaciones:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""636t-187-0"">| Material | Confección doble |<br>| Cierre | Clátcher |<br>| Detalles | Cuero sintético y aplique en los hombros |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,Sem categoria,moda,accesorios,FALSE,Cor,1,,,,,,,,13:59,0.0,shopify,1000,continue,manual,105.00,139.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/S4a1b5ca6c2734ffb84820decc7bc3c0fH.jpg?v=1732136762,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/Sdf8f631fba174000ae1784159b62bd3fj.jpg?v=1732136762,kg,,,TRUE,,,TRUE,,,active
xqni-new-classic-style-men-leather-bracelet-simple-black-stainless-steel-button-neutral-accessories-hand-woven-jewelry-gifts,Pulseira Confort Fina,"<h1 class=""product_title entry-title"" style=""text-align: center;""><span style=""color: #ff8000;"">Pulsera Confort Fina</span></h1>
<p style=""text-align: center;"">La Pulsera Confort Fina es una pulsera clásica y minimalista hecha de cuero genuino. Esta pulsera ofrece horas de comodidad y estilo, con un cierre de alta calidad para sujetar los colgantes y asegurar los accesorios.</p>
<p style=""text-align: center;""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0560/0342/8506/products/HTB1LIZeX5DxK1RjSsphq6zHrpXah_1024x1024.jpg?v=1624897048""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>Material: cuero genuino<br>Cierre: acero inoxidable de alta calidad<br>Detalles: diseño práctico y elegante<br>Estilo: clásico y minimalista<br>Color: Disponible en varios colores diferentes</p>
",DSERS,Sem categoria,moda,accesorios,FALSE,Cor,1,,Tamanho,19cm,,,,,200001034:361180#Black;200000639:201452416,0.0,shopify,1000,continue,manual,65.00,95.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/HTB1iModX2fsK1RjSszbq6AqBXXaF.jpg?v=1732136759,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/HTB1KREdX2vsK1RjSspdq6AZepXaK.jpg?v=1732136759,kg,,,TRUE,,,TRUE,,,active
fashion-spiral-silver-plated-gold-color-ring-x-shape-cross-cz-finger-rings-for-women-girl-engagement-wedding-lady-jewelry-gift,Anillo Femme,"<h1 style=""text-align: center;"" class=""product-meta__title heading h3""><span style=""color: #ff8000;"">Anillo Femme</span></h1>
<p style=""text-align: center;"">El Anillo Femme es un modelo creativo y lleno de personalidad. Viene con dos piedras afiladas: una hermosa y brillante zirconia cúbica en el centro y cuatro zirconias cúbicas alrededor, ofreciendo un brillo desde diferentes ángulos. Hecho de plata de ley 925.</p>
<p style=""text-align: center;""><img height=""552"" width=""552"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S6e25ceb0c0dd40e5a6d4f817bb6002b1A.jpg?v=1732136785"" alt=""""></p>
<p style=""text-align: center;"">Su diseño moderno y elegante lo hace ideal para usar en ocasiones formales o informales. El Anillo Femme es un modelo hermoso, sofisticado y bien construido, perfecto para regalar a mujeres modernas y excepcionales.</p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""ct04j-223-0"">Especificaciones:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""ct04j-223-0"">Material | Plata de Ley 925 con capa de oro blanco<br>Dimensiones | 2.5 x 2.5 cm<br>Piedras | Zirconias cúbicas<br>Acabado | Pulido<br>Hipoalergénico | Sí<br>Resistente a la corrosión | Sí</span></p>
<p style=""text-align: center;""><br></p>",DSERS,Sem categoria,moda,joyas,FALSE,Tamanho,6,,Cor,1,,,,,200000369:1394;200000783:29#GOLD COLOR,0.0,shopify,1000,continue,manual,29.40,49.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/S6e25ceb0c0dd40e5a6d4f817bb6002b1A.jpg?v=1732136756,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/Sfa3ab99984bc40568ad5d213efd7305af.jpg?v=1732136756,kg,,,TRUE,,,TRUE,,,active
small-bag-women-39-s-crossbody-new-french-popular-network-red-fashion-foreign-style-crossbody-bag-versatile-mother-39-s-mobile-bag,Bolso bandolera ligero y pequeño,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span class=""a-size-large product-title-word-break"" id=""productTitle"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Bolso bandolera ligero y pequeño</span></h1>
<p style=""text-align: center;"">OPXTO es un bolso pequeño y versátil que es perfecto para ocasiones de eventos y salidas. El bolsillo está hecho de cuero PU suave de alta calidad y tiene un cierre de cremallera resistente al agua, detalles dorados, correa de hombro ajustable y asas traseras para mayor practicidad.</p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><span data-offset-key=""atpd4-210-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/41X1x4wTsgS._SX466_.jpg"" data-mce-src=""https://m.media-amazon.com/images/I/41X1x4wTsgS._SX466_.jpg""></span></p>
<p style=""text-align: center;"">Tiene un compartimento principal con bolsillos internos con cremallera, bolsillos para tarjetas de visita y un asa trasera para adherir al bolso. Es perfecto para un toque extra de glamour a tus mejores atuendos.</p>
<h2 style=""text-align: left;"" data-mce-style=""text-align: left;""><span data-offset-key=""atpd4-276-0"" data-mce-fragment=""1"">Especificaciones:</span></h2>
<p><span data-offset-key=""atpd4-276-0"" data-mce-fragment=""1"">Material: cuero PU de alta calidad<br>Dimensiones: 12 * 25 * 8 cm<br>Cierre: cremallera impermeable<br>Detalle dorado en las hebillas<br>Correa de hombro ajustable<br>Compartimento principal con bolsillos internos y un bolsillo externo para tarjetas de visita<br>Asa trasera para adherir al bolso.</span></p>
<p style=""text-align: center;""><br></p>",DSERS,Sem categoria,moda,accesorios,FALSE,Cor,1,,,,,,,,14:193#black,0.0,shopify,0,continue,manual,215.00,250.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/Sab3f6382fbc04a0dac1b9d75aad8e0abq.jpg?v=1732136753,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/S1c3757cee34c4af6a7509f2c1162d97fw.jpg?v=1732136753,kg,,,TRUE,,,TRUE,,,active
2023-new-arrival-tonneau-design-fashion-casual-wristwatch-bracelet-simple-elegant-ladies-free-shipping-quartz-watches-for-women,Reloj Femenino FashionLady,"<h1 style=""text-align: center;"" class=""product-meta__title heading h1""><span style=""color: #ff8000;"">Reloj Femenino FashionLady</span></h1>
<p style=""text-align: center;"">Este Reloj Femenino FashionLady viene con hermosos estampados multicolores alegres y bonitos. Está fabricado con materiales de alta calidad para mayor durabilidad y resistencia. Integra este accesorio moderno a tu propio estilo casual para combinar con cualquier look.</p>
<p style=""text-align: center;""><span data-offset-key=""a04rf-127-0"" data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0701/0979/0525/products/Sd52b81ba813948f78d010f7907ddb60bq_600x.jpg?v=1675563040"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">Combina bien con ropa moderna y clásica. Su ajuste es perfecto para cualquier ocasión. Posee cremallera trasera y correa ajustable. Reloj ideal para regalar a mujeres modernas y fashionistas.</p>
<h2 style=""text-align: left;""><span data-offset-key=""a04rf-192-0"" data-mce-fragment=""1"">Especificaciones:</span></h2>
<p><span data-offset-key=""a04rf-192-0"" data-mce-fragment=""1"">| Materiales | Alta calidad |<br>| Estampado | Multicoloridos alegres y bonitos|<br>| Ajuste | Tornillo/Cierre |<br>| Tipo de Esfera | Analógico |<br>| Características Extras | Cremallera trasera y correa ajustable|</span></p>",DSERS,Sem categoria,moda,accesorios,FALSE,Estilo,1251CC,,,,,,,,14:201447598#1251CC,0.0,shopify,1000,continue,manual,195.00,225.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/Sd52b81ba813948f78d010f7907ddb60bq.jpg?v=1732136750,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/1049/1928/files/Sb45dd84e46b643fcb99df93487fc5263N.jpg?v=1732136750,kg,,,TRUE,,,TRUE,,,active
