Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
three-color-up-cream-to-brighten-the-skin-refreshing-and-moisturizing-bb-cream-natural-nude-makeup-base-de-maquillaje,Prebase de Maquillaje,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Prebase de Maquillaje</span></h1>
<p style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize""> Este maquillaje Refrescante de Ductilidad y Sofisticado de Lamptti es perfecto para todas las mujeres que desean una apariencia hermosa y moderna. Este maquillaje está formulado con aceites nutritivos, vitaminas y otros ingredientes para proporcionar hidratación a la piel. El producto es ideal para aquellas que buscan un acabado ligero, fresco y sofisticado, que combina perfectamente con diferentes estilos y ocasiones. </span></p>
<p style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""></span> <span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""> <img height=""552"" width=""499"" src=""https://m.media-amazon.com/images/I/714wH5sFrwL._AC_SL1500_.jpg""> </span></p>
<h2 style=""text-align: left;""><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""> <span style=""color: #000000;"">Especificaciones:</span><br></span></h2>
<p><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""> <span style=""color: #000000;"">Tipo: Maquillaje Refrescante de Ductilidad y Sofisticado<br>Marca: Lamptti<br>Ingredientes: aceites nutritivos, vitaminas, otros ingredientes<br>Cobertura: Brillo duradero y suave<br>Tamaño: 9,5 g</span> </span></p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"más-vendidos, maquillaje",TRUE,Title,Default Title,,,,,,,,200001176:10#01;200007763:201336100,0.0,shopify,1000,continue,manual,94.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Se67acbb866b44ea4b4b0d5d118a0a291q.jpg?v=1732039536,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/S3dcb42fc4b554464b6e41a6e70e49f58w.jpg?v=1732039536,kg,,,TRUE,,,TRUE,,,active
high-quality-masscaku-fast-blooming-eyelashes-easy-fan-faux-mink-eyelash-extension-soft-natural-auto-fanning-lashes-makeup-tools,Make-up Super Long Easy Fanning Pestañas Postizas,"<h1 style=""text-align: center;""><span style=""color: #ff8000;"">Make-up Super Long Easy Fanning Pestañas Postizas</span></h1>
<p style=""text-align: center;"">Make-up Super Long Easy Fanning Pestañas Postizas es una técnica de maquillaje que añade una larga extensión a los párpados, proporcionando así una mirada más dramática y sensual. Con la ayuda de pestañas postizas, especialmente diseñadas para este propósito, la técnica permite alcanzar un efecto impresionante y duradero.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/bc16b925-57ca-4cc0-9d92-e52dd30802a3_480x480.jpg?v=1683807228"" alt=""""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p><br>Pestañas Postizas: Adecuadas para este efecto. Hechas de material sintético o inorgánico, ligeramente plegadas y flexibles.<br>Herramientas: pinzas, removedor de pestañas postizas, adhesivo o pegamento para pestañas y rizador de pestañas.<br>Aplicación: Limpie el área de los párpados y aplique el adhesivo o pegamento en las pestañas postizas. Con las pinzas, tome las pestañas y comience pegándolas en la línea superior de las pestañas naturales, con cuidado. Para un efecto más fuerte, pegue las pestañas cada vez más lejos repitiendo el proceso, y procure no perturbar las pestañas naturales. Finalmente, use el rizador de pestañas para dar un toque fino al look.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"más-vendidos, maquillaje",TRUE,Estilo,C,,Material,0.05mm,,Tamaño,8mm,,200007566:3616;200007567:200007901;200007568:100016941,0.0,shopify,1000,continue,manual,44.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Ae4502907074c49e5976fca6e93a7e20ct.jpg?v=1732039532,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Ae4502907074c49e5976fca6e93a7e20ct.jpg?v=1732039532,kg,,,TRUE,,,TRUE,,,active
eyeshadow-pencil-set-12-colors-waterproof-long-lasting-glitter-shimmer-eye-shadow-pen-highlighter-stick-eyes-makeup-tools,Set de sombra para ojos,"<h1 style=""text-align: center;""><span style=""color: #ff8000;"">Set de sombra para ojos</span></h1>
<p style=""text-align: center;"">¡Esta caja de sombras para ojos contiene 12 colores deslumbrantes para crear un look completo para todas las ocasiones! Esta caja incluye tonos ricos y acentos increíbles que proporcionan un acabado impecable y perfeccionan el tono de tu piel. Esta paleta de sombras es perfecta para quienes desean resaltar su belleza natural con sofisticación.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/dcc9476b-01e7-4a53-acab-5ba87f638385_480x480.jpg?v=1683806534"" alt=""""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>-12 Colores<br>-Impermeable<br>-Duradero<br>-Tonos ricos y perfeccionados<br>-Altamente pigmentado<br>-Adecuado para todas las ocasiones</p>
<p style=""text-align: center;""><br></p>
<p style=""text-align: center;""> </p>",DSERS,,saúde e beleza+30.1,"más-vendidos, maquillaje",TRUE,Estilo,1,,,,,,,,200001176:200004889#01,0.0,shopify,1000,continue,manual,39.90,69.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Sa5fe50e8fc7c46d591eb83f052752afaU.jpg?v=1732039530,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/S4a2717ea2840461a80e4bef2899e469cR.jpg?v=1732039530,kg,,,TRUE,,,TRUE,,,active
jessup-makeup-brushes-10-14pcs-makeup-brush-set-synthetic-foundation-powder-contour-eyeshadow-liner-blending-highlight-t329,Brocha de maquillaje Violet,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ff8000;"">Brocha de maquillaje Violet</span></h1>
<p style=""text-align: center;"">El Kit de Brochas de Maquillaje Cosmetic es ideal para quienes desean aplicar eficazmente su rubor, base, contorno, iluminador, sombra, polvo, entre otros productos de maquillaje. Fabricadas con fibras sintéticas, las brochas ofrecen suavidad y precisión en su uso, proporcionando un acabado profesional y uniforme.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/Sb1071af5b4b44e07911b207754eb5dddE_4347858d-2d93-45bc-a033-4d189d58e333_480x480.jpg?v=1683807687"" alt=""""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>- Mangos: hechos de bambú, materia prima ecológica, biodegradable y de alta durabilidad<br>- Cerdas: son producidas con material no tóxico, recubiertas con delicadeza<br>- Kit: contiene 10 brochas de maquillaje<br>- Aplicación: ideales para aplicación de rubor, base, contorno, iluminador, sombra, polvo, entre otros productos de maquillaje</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"más-vendidos, maquillaje",TRUE,Estilo,T329- 14PCS,,,,,,,,200007787:193#T329- 14PCS;200007763:201336100,0.0,shopify,1000,continue,manual,299.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Sb1071af5b4b44e07911b207754eb5dddE.jpg?v=1732039526,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Ueea596220971419589ff057f741024021.jpg?v=1732039526,kg,,,TRUE,,,TRUE,,,active
powder-8g-flawless-setting-powder-foundation-for-perfecting-micro-makeup-soft-focus-setting-oil-control-light-skin-normal-size,Charlotte Tilbury Magic Vanish,"<h1 class=""nome-produto titulo cor-secundaria"" style=""text-align: center;"" itemprop=""name""><span style=""color: #ff8000;"">Charlotte Tilbury Magic Vanish</span></h1>
<p style=""text-align: center;"">Charlotte Tilbury Magic Vanish Pin 8ml es un tratamiento de corrección instantánea que ofrece un acabado sin manchas visibles y de larga duración. Con una fórmula ligera que disuelve rápidamente el maquillaje, limpia y corrige errores de acabado para una piel libre de manchas.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/S0b353512ce104743bf9df631a347c81fr_480x480.jpg?v=1683809150"" alt=""""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>Charlotte Tilbury Magic Vanish Pin 8ml | Corrector | Líquido | 8ml <br>Ingredientes: Aqua / Agua / Eau, Glicerina, Paraffinum Liquidum / Aceite Mineral / Huile Minérale, Estearato de Cetearilo, Polisorbitán 60, Poliacrilato de Sodio, Carbómero, Sorbitol, Miel / Honey (Miel / Miel), Extracto de Hoja de Vid (Vitis Vinifera), Glicoruilamnica, PPG-26-Buteth-26, Diazolidinil Urea, Pentilenglicol, Dimeticona, DMDM Hidantoína, Goma Xantana, Acetato de Tocoferol, EDTA Disódico, Parfum (Fragancia), Aceite de Almendra Dulce (Prunus Amygdalus Dulcis), Sulfato de Bario, Benzoato de Sodio.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"más-vendidos, maquillaje",TRUE,Estilo,1,,,,,,,,200001176:200004889#01-Fair,0.0,shopify,1000,continue,manual,179.90,229.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Sb934ed30ea044d309574c081c145b7c5r.jpg?v=1732039522,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Sb934ed30ea044d309574c081c145b7c5r.jpg?v=1732039522,kg,,,TRUE,,,TRUE,,,active
2023-blush-makeup-palette-mineral-powder-red-rouge-lasting-natural-cream-cheek-tint-orange-peach-pink-blush-women-cosmetic,Blush En Polvo Corazón,"<h1 data-store=""product-name-127916098"" class=""js-product-name h2 h1-md"" style=""text-align: center;""><span style=""color: #ff8000;"">Blush En Polvo Corazón</span></h1>
<p style=""text-align: center;"">El Blush en Polvo Corazón Lyrics de Erva Doce es un polvo suelto con pigmentación intensa para iluminar y realzar los brillos de tu rostro con un toque de encanto. Su textura aterciopelada ofrece una aplicación fácil, destacando tus mejores contornos y creando un efecto natural y radiante.</p>
<p style=""text-align: center;""><span><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/Seb0c4481cded403eaa0e38f8813c920bC_480x480.jpg?v=1683804887"" alt=""""></span></p>
<h2 style=""text-align: left;""><span>Especificaciones:</span></h2>
<p>Tipo: Polvo suelto <br>Textura: Aterciopelada<br>Pigmentación: Intensa <br>Poder de adherencia: Alto<br>Qué contiene: Microesferas <br>Indicado para: Todos los tonos de piel<br>Beneficio: Resalta el brillo del rostro, sonroja la piel, ilumina y minimiza los poros</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"más-vendidos, maquillaje",TRUE,Estilo,A01,,,,,,,,200001176:200004889#A01 Cream orange;200007763:201336100,0.0,shopify,1000,continue,manual,129.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Seb0c4481cded403eaa0e38f8813c920bC.jpg?v=1732039520,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/S831407d9dc914f54b345d050c88a252dU.jpg?v=1732039520,kg,,,TRUE,,,TRUE,,,active
pink-beeswax-gua-sha-tools-massager-for-face-facial-skin-care-roller-guoache-scraper-set-beauty-health-tools,Kit Masajeador Facial,"<h1 class=""product-title"" style=""text-align: center;""><span style=""color: #ff8000;"">Kit Masajeador Facial</span></h1>
<p style=""text-align: center;"">El Kit Masajeador Facial de Nanikas Brasil es un producto profesional que ayuda a reducir la hinchazón y mejora la microcirculación de la piel. Posee dos cabezales de masaje diferentes, fabricados en acero inoxidable resistente, suave para la piel e inerte. El cabezal plano es ideal para un masaje facial suave, mientras que el cabezal con relieve proporciona estimulación muscular profunda y relajación.</p>
<p style=""text-align: center;""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0694/0432/8211/products/S2c67543e46c2447797fb9bf662ad2734d_1024x1024.jpg?v=1680057430""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>Material: Acero inoxidable<br>Tamaño: 11 x 4 x 1,5 cm<br>Peso: 33 g<br>Tipo: Resistente al agua<br>Cabezal de masaje: 2 (plano y con relieve)</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"más-vendidos, belleza",TRUE,Color,verde,,,,,,,,14:350850#green;200007763:201336100,0.0,shopify,1000,continue,manual,99.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Sde01ebc6c33c4f31bb61fe4047ea295bu.jpg?v=1732039516,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Sdd7f3dc21d304218bb9a05192796aabfR.jpg?v=1732039516,kg,,,TRUE,,,TRUE,,,active
ems-v-face-beauty-device-intelligent-electric-v-face-shaping-massager-to-removing-double-chin-sleeping-beauty-device-face-shape,FaceFit Pro,"<h1 class=""product-title"" style=""text-align: center;""><span style=""color: #ff8000;"">FaceFit Pro</span></h1>
<p style=""text-align: center;"">El Dispositivo de Belleza V-Face es un aparato inteligente para la eliminación de la papada que ayuda a relajar, calmar y reducir la flacidez a lo largo del tiempo. El dispositivo trabaja sobre la piel suavemente a través de vibraciones y suaves golpes de presión, promoviendo la circulación sanguínea y ayudando a tonificar la piel de manera eficaz.</p>
<p style=""text-align: center;""><img height=""548"" width=""548"" src=""https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sf8838c7bd6ea4bcbba973542b41c801bZ.jpg?v=1732039509"" alt=""""></p>
<h2 style=""text-align: left;"">Especificaciones:</h2>
<p>Compatibilidad | Universal<br>Material | Plástico<br>Ajuste de intensidad | Tres niveles<br>Método de tratamiento | Vibración y presión<br>Tamaño | 19 x 12.5 cm<br>Peso | 125g<br>Alimentación | Batería<br>Tipo de batería | Batería recargable</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"más-vendidos, belleza",TRUE,Estilo,1,,,,,,,,14:350853#Device and Gel,0.0,shopify,1000,continue,manual,149.90,209.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Sf8838c7bd6ea4bcbba973542b41c801bZ.jpg?v=1732039513,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/Sb5d050f2385446769adcdb21aa1a1c1dL.jpg?v=1732039513,kg,,,TRUE,,,TRUE,,,active
7pcs-set-makeup-sponge-set-face-beauty-cosmetic-powder-puff-for-foundation-cream-concealer-make-up-tools,Beauty blender Lua,"<h1 class=""product-meta__title heading h1"" style=""text-align: center;""><span style=""color: #ff8000;"">Beauty blender Lua</span></h1>
<p style=""text-align: center;"">El Beauty Blender LUA es un aplicador de base facial multifuncional como ningún otro. Tiene una forma ovalada ligeramente más ancha y redondeada para facilitar la cobertura de áreas más grandes del rostro, como la nariz, las mejillas y el mentón. Su lado más fino permite alcanzar áreas más pequeñas y delicadas, garantizando una aplicación uniforme y precisa.</p>
<p style=""text-align: center;""><span><img height=""528"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0595/5331/7004/products/png_1_1883c7d0-2e9d-4714-8c17-b834abb413f6_600x.png?v=1681914391""></span></p>
<h2 style=""text-align: left;""><span>Especificaciones:</span></h2>
<p>Tipo de aplicador | Aplicador multifuncional <br>Material | Espuma<br>Ámbito de uso | Base líquida, crema y polvo <br>Forma | Ovalada ligeramente más ancha y redondeada para cobertura de áreas más grandes, laterales más finos para aplicación en detalles <br>Tamaño | 8,6 cm x 4,5 cm <br>Color | Rosa</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"más-vendidos, belleza",TRUE,Color,verde,,,,,,,,14:29#Green,0.0,shopify,1000,continue,manual,34.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/S30e225b5bff34a81a61ab337f4e0e977k.jpg?v=1732039507,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/S819da2a798254672b1aa5fe1e74cba0aT.jpg?v=1732039507,kg,,,TRUE,,,TRUE,,,active
laser-plasma-pen-for-skin-tag-remover-freckle-black-dot-papilloma-warts-mole-pimples-tattoo-removal-laser-pen-beauty-care-tools,Lápiz Plasma Láser - Removedor de Manchas y Verrugas,"<h1 class=""product-single__title"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Lápiz Plasma Láser - Removedor de Manchas y Verrugas</span></h1>
<p style=""text-align: center;"">El Lápiz Plasma Láser Removedor de Manchas y Verrugas de ZNOVE es un dispositivo innovador ideal para quienes desean eliminar manchas y verrugas con rapidez, eficacia y eficiencia. El aparato cuenta con un diseño ergonómico, portátil e inteligente, que hace su uso aún más fácil y práctico.</p>
<p style=""text-align: center;""><span><img alt="""" src=""https://thumbor.cartpanda.com/g2USQBLZhPOdeCV1SW0U4bfz_JU=/2048x2048/https://assets.mycartpanda.com/static/products_images/ce/01/01/1680007941.png?v=13252247658"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">Su extremo facial retráctil permite la eliminación rápida, segura y eficaz de manchas y verrugas como lentigos solares, manchas de edad, manchas de acné, pequeñas verrugas y otras impurezas cutáneas. Además, puede utilizarse para el tratamiento de lesiones.</p>
<p style=""text-align: center;""><span><img alt="""" src=""https://thumbor.cartpanda.com/QVgOtLzzXrn4KjsIb23J2f4URdQ=/2048x0/https://assets.mycartpanda.com/static/products_images/d0/c1/ae/1680007947.jpg?v=13252247658"" width=""500"" height=""402""></span></p>
<p style=""text-align: center;"">Este Lápiz Plasma Láser Removedor de Verrugas y Manchas es recomendado por dermatólogos para la eliminación rápida y segura de verrugas y manchas cutáneas. Su uso es intuitivo, seguro y fiable, además de ser considerado un tratamiento seguro para la eliminación de manchas y verrugas.</p>
<p style=""text-align: center;""><span><img alt="""" src=""https://thumbor.cartpanda.com/i2O_R3lb3ize2HRJLRVqDFXFQlA=/2048x2048/https://assets.mycartpanda.com/static/products_images/88/37/8d/1680008168.jpg?v=13252247658"" width=""500"" height=""500""></span></p>
<h2 style=""text-align: center;""><span>Especificaciones:</span></h2>
<p>- Tecnología: alta frecuencia y mecanismo de ultrasonido.<br>- Utilidad: eliminación rápida, segura y eficaz de manchas y verrugas. <br>- Diseño: Ergonómico, portátil e inteligente.<br>- Cable: cable largo para facilitar el tratamiento en diferentes áreas del cuerpo.<br>- Recomendado por dermatólogos para la eliminación rápida y segura de manchas y verrugas cutáneas.<br>- Seguro y fiable para la eliminación de manchas y verrugas en la piel.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"más-vendidos, belleza",TRUE,Estilo,SP1923-GD,,,,,,,,14:350850#SP1923-GD;200007763:203372089,0.0,shopify,1000,continue,manual,179.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/S73470ab790b14d66a4d252520bbd028dz.jpg?v=1732039502,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0914/8416/0290/files/S85a5999922064196bd39a0897993f095o.jpg?v=1732039502,kg,,,TRUE,,,TRUE,,,active
