Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
oem-profile-pbt-keycaps-108-keys-pudding-keycap-for-cherry-mx-switch-mechanical-keyboard-kit-rgb-gamer-backlit-keyboards-switch,Gaming Keyboard,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Gaming Keyboard</span></h1>
<p style=""text-align: center;"">When it comes to playing video games, having a keyboard that offers good visibility of the keys in the dark is essential. The problem is finding a keyboard that allows key replacement and has LED lights to highlight them, without taking up too much space on the table. The Gaming Keyboard from brand X comes with all the necessary features to satisfy professional gamers. It has a modern and elegant design, as well as customizable LEDs that can be programmed by color and brightness to highlight the desired keys.</p>
<p><img height=""549"" width=""549"" src=""https://cdn.shopify.com/s/files/1/0669/2690/3479/files/S3259e046c05146db898622346966b448i.jpg?v=1731973519"" alt=""""></p>
<p style=""text-align: center;"">The keys are easily removable and replaceable with other compatible keys, making your computer setup look more beautiful. Additionally, it has additional features like pre-programmed macros and full RGB control of the internal buttons for better performance during competitive games. With the Gaming Keyboard from brand X, you can face any night game without losing visual advantage over your opponents thanks to its ability to create personalized layouts through the LED lights incorporated in the main keys of the product! Furthermore, this model is designed with user ergonomics in mind: it's extremely easy to attach/detach parts of the product when needed!</p>
<p><br></p>",DSERS,,Electronics,"best-sellers, gaming-products",TRUE,Color,1,,,,,,,,14:33#Gray,0.0,shopify,1000,continue,manual,190.00,220.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/S3259e046c05146db898622346966b448i.jpg?v=1731973291,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/Sb187f18d70bd494b85405bdfc014df96x.jpg?v=1731973291,kg,,,TRUE,,,TRUE,,,active
for-sony-ps3-controller-support-bluetooth-for-pc-gamepad-for-sony-ps3-console-controle-mando-joystick-pc-game,Wireless Controller - PS3,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Wireless Controller - PS3</span></h1>
<div style=""text-align: center;"">Have you ever felt frustrated with PlayStation 3 controllers? Do you want to have a more realistic and immersive gaming experience but don't know how? The Wireless Controller - PS3 is the perfect solution for your needs. With an ergonomic and wireless design, Bluetooth connectivity, and easy-to-use buttons, it has a shape that fits securely in your hands and pressure sensors that vibrate according to your actions in the game.<br>
</div>
<div>
<p data-pm-slice=""1 1 []""><img src=""https://cdn.shopify.com/s/files/1/0675/7007/3898/files/H9867bf44ddf74611b0f02b227362f8954_480x480.webp?v=1668649727"" width=""362"" height=""362"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0675/7007/3898/files/H9867bf44ddf74611b0f02b227362f8954_480x480.webp?v=1668649727""></p>
<div>
<p style=""text-align: center;"" data-pm-slice=""1 1 []""><span> </span>Additionally, the controller has a built-in rechargeable battery to offer hours of fun on a single charge. It is also lightweight to allow you to play for hours without tiring your hands. Enjoy these exclusive features of the Wireless Controller - PS3 now! Experience the freedom of precise movements thanks to innovative Bluetooth wireless technology. Enjoy the differentiated sensitivity of pressure-sensitive buttons that provide better immersion in your favorite games throughout the match! Gain greater comfort while controlling the main functions thanks to the advanced ergonomics of this amazing product!</p>
</div>
<p data-pm-slice=""1 1 []""><img src=""https://image.made-in-china.com/43f34j00NkWucKmYfpbI/PS3-Joystick-Console-Controller-for-Sony-Playstation-3-Game-Pad-Accessory.webp"" alt=""PS3 Console Joystick Controller for Sony Playstation 3 Game Pad Accessory"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-fragment=""1"" data-mce-src=""https://image.made-in-china.com/43f34j00NkWucKmYfpbI/PS3-Joystick-Console-Controller-for-Sony-Playstation-3-Game-Pad-Accessory.webp""></p>
<p data-pm-slice=""1 1 []""> </p>
<p data-pm-slice=""1 1 []"" style=""text-align: center;""><br></p>
</div>",DSERS,,Electronics,"best-sellers, gaming-products",TRUE,Color,black,,,,,,,,14:94#CM2 for PS3 No Cable;200007763:201336100,0.0,shopify,1000,continue,manual,140.00,180.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/S0b83d25c66fd494c8c56b02ce4ae157ef.jpg?v=1731973287,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/Seafcdca413354a399175b26026aa1ab1W.jpg?v=1731973287,kg,,,TRUE,,,TRUE,,,active
laser-mouse-for-pc-gamer-gaming-mouse-ergonomic-mice-with-led-backlit-usb-mice-for-computer-gamer-girl-mouse-for-laptop,Gamer Mouse,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Gamer Mouse</span></h1>
<p>Many gamers face problems when trying to find the best mouse to achieve their gaming goals. Conventional mice do not offer the necessary functions, and more expensive models are difficult to adjust for optimal performance. The Gamer Mouse was created with all these issues in mind! Recently improved 6D positioning layout, fast operation four DPI speeds, a one-key speed setting, big without pressure! Equipped with seven LED color effects that bring life to your gaming experience. </p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" height=""403"" width=""403"" src=""https://images-americanas.b2w.io/produtos/3712567591/imagens/gaming-mouse-wired-mute-rato-gamer-mice-luminoso-colorido-luz-usb-computer-mouse-para-computador-pc-gaming-laptop-kf/3712567611_7_xlarge.jpg""></p>
<p>The mouse offers precise control over mouse movements through its unique ergonomic design that extends use during long hours. Additionally, it is equipped with programmable buttons that allow you to customize mouse functions according to your personal preference—all in a single modern and stylish device! The Gamer Mouse provides everything you need for a truly satisfying gaming experience: greater visual comfort through seven colorful modes; the ability to set four distinct levels of DPI rate sensitivity; and extremely precise stabilization of positioning in the virtual field thanks to advanced technology 6D-layout position and rapid operation four speed DPI settings with one key speed setting and big SN without pressure! Its superior ergonomic design allows you to experience exceptional gameplay without tiring or injuring your fingers, making this type of product indispensable for any professional gamer.</p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" height=""427"" width=""427"" src=""https://images-americanas.b2w.io/produtos/3712567591/imagens/gaming-mouse-wired-mute-rato-gamer-mice-luminoso-colorido-luz-usb-computer-mouse-para-computador-pc-gaming-laptop-kf/3712567611_1_xlarge.jpg""></p>
<p> </p>
<p style=""text-align: center;""><br></p>",DSERS,,Electronics,"best-sellers, gaming-products",TRUE,Title,Default Title,,,,,,,,14:29#BK,0.0,shopify,1000,continue,manual,69.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/Sa6352ef2f02344d8b58c5b1555a846a5M.jpg?v=1731973283,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
drone-air-pro-ultra-mini,Drone Air Pro Ultra Mini,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Drone Air Pro Ultra Mini</span></h1>
<p style=""text-align: center;"">The Drone Air Pro Ultra Mini X is a high-performance drone, ideal for professional photography and videos. It is equipped with a 2K ultra HD 12-megapixel camera that allows you to capture sharp photos and crystal-clear videos, and it also has long-range Wi-Fi transmission.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/Screenshot_1_400x_5f0824e7-0df2-42bb-9ff1-1f7504180948_1_480x480.webp?v=1685536751"" alt=""""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>Drone size: 98mm<br>Weight: 120g<br>Flight time: 25 minutes<br>Control distance: 300m<br>Camera: 2K HD 12 megapixels<br>Wi-Fi transmission: Yes<br>Stabilization system: Yes</p>
<p style=""text-align: center;""><br></p>",DSERS,,Electronics,"drones, best-sellers",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,249.00,299.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/Screenshot_1_400x_5f0824e7-0df2-42bb-9ff1-1f7504180948.webp?v=1731973280,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
drone-com-camera-4k,Drone with 4K Camera,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Drone with 4K Camera</span></h1>
<p style=""text-align: center;"">A drone with a 4K camera is a flying device equipped with ultra-definition video technology. It features a camera with 4K resolution (3840 x 2160 pixels) to capture sharp and detailed images and videos. The video transmission occurs with high quality, allowing for an immersive and precise viewing experience.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/RM13983-2-1-1-33df-avDM_480x480.webp?v=1685538344"" alt=""""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>Weight: Varies by brand and model<br>Battery life: Varies by brand and model<br>Flight system: 2.4GHz Wi-Fi<br>Flight mode: Automatic/Manual<br>Camera: 4K resolution (3840 x 2160)<br>Control mode: Remote control or app<br>Remote control distance: Varies by brand and model<br>Speed range: Varies by brand and model<br>Altitude range: Varies by brand and model</p>
<p style=""text-align: center;""><br></p>",DSERS,,Electronics,"drones, best-sellers",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,449.90,0.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/RM13983-2-1-1-33df-avDM.webp?v=1731973277,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fone-bluetooth-celular-notebook-tablet,Bluetooth Earphones for Cell  Phone Laptop Tablet,"<h1 style=""text-align: center;""><span data-mce-fragment=""1"" style=""color: #80ff00;"">BLUETOOTH 5.0 CP7 TWS CASE EARPHONES</span></h1>
<div style=""text-align: center;"">Bluetooth Earphones for Cell Phone, Laptop, and Tablet, are the ideal solution to maintain a more stable connection with higher wireless sound quality. The device features a modern and ergonomic design, offering comfort and features to meet your auditory needs. You can listen to your music and videos with surround quality and also answer phone calls, all wirelessly.</div>
<div style=""text-align: center;""><span data-mce-fragment=""1""><img src=""https://http2.mlstatic.com/D_NQ_NP_664976-MLB49281611273_032022-O.webp""></span></div>
<div style=""text-align: center;"">With the feature of call cancellation via Bluetooth and NFC connection, the device offers a pleasant user experience. With a Li-ion battery, you can use the device for hours. The device is compatible with Android and iOS. It offers a proven level of sound quality with an ergonomic design for greater comfort.</div>
<div><img data-mce-fragment=""1"" style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://http2.mlstatic.com/D_NQ_NP_818887-MLB48954663448_012022-O.webp"" data-mce-src=""https://http2.mlstatic.com/D_NQ_NP_818887-MLB48954663448_012022-O.webp""></div>
<h2>Specifications:</h2>
<p>Connection Technology: Bluetooth / NFC<br>Sound: Noise Cancellation<br>Battery: Lithium<br>Compatibility: Android / iOS<br>Design: Ergonomic<br>Features: Call answering via Bluetooth.</p>
<p style=""text-align: center;""><br></p>
<p> </p>
<p><br></p>",DSERS,,Electronics,"headphones, best-sellers",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,220.00,260.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/D_NQ_NP_664976-MLB49281611273_032022-O.webp?v=1731973274,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fone-de-ouvido-interno-bluetooth-i7s-tws,i7s TWS In-Ear Bluetooth Earphones,"<h1 data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #80ff00;"" data-mce-style=""color: #80ff00;"">i7s TWS In-Ear Bluetooth Earphones</span></h1>
<p style=""text-align: center;"" data-mce-style=""text-align: center;"">The i7s TWS In-Ear Bluetooth Earphones are stereo earphones with a wireless connection using Bluetooth 5.0 to offer a stable and fast connection. The earphones provide high-quality sound through their high-definition neodymium speakers. The ergonomic design and ear cushion ensure a perfect fit in your ears, providing comfort for long periods of use.</p>
<p data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"" style=""text-align: center;"" data-mce-style=""text-align: center;"">They also come with touch controls on the cable for quick access to volume and function shortcuts like play/pause, voice call, and tone control. The powerful lithium battery offers up to 3 hours of talk/music time and up to 40 hours on standby.</p>
<h2 data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"">
<img data-mce-fragment=""1"" src=""https://static-01.daraz.com.bd/p/7687327ff7ae4d450fa4ab21356952cf.jpg"" width=""473"" height=""473"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-src=""https://static-01.daraz.com.bd/p/7687327ff7ae4d450fa4ab21356952cf.jpg"" data-mce-style=""display: block; margin-left: auto; margin-right: auto;""><br data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specification:</strong></span>
</h2>
<p data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"">1. Driver: 15mm<br data-mce-fragment=""1"">2. Impedance: 32 ohm<br data-mce-fragment=""1"">3. Bluetooth Version: Bluetooth v5.0 + EDR<br data-mce-fragment=""1"">4. Bluetooth Frequency Range: 2.4GHz<br data-mce-fragment=""1"">5. Power Level: Class II<br data-mce-fragment=""1"">6. Output Power: 30mW<br data-mce-fragment=""1"">7. Bluetooth Distance: 10 meters barrier<br data-mce-fragment=""1"">8. Frequency Response: 20-20000Hz<br data-mce-fragment=""1"">9. Operating Voltage Range: 3.0V-4.2V<br data-mce-fragment=""1"">10. Mic Sensitivity: -42dB<br data-mce-fragment=""1"">11. With A2DP/AVRCP high-quality stereo audio transmission and remote control protocol<br data-mce-fragment=""1"">12. Powerful noise reduction circuit (active noise reduction)<br data-mce-fragment=""1"">13. Switch between Chinese and English (initialization does not connect to Bluetooth state, press the switch 2 times, hear the switch tone successfully)<br data-mce-fragment=""1"">14. Talk time is about 2-3 hours<br data-mce-fragment=""1"">15. Music time about 1.5-2 hours<br data-mce-fragment=""1"">16. Standby time is about 100 hours</p>
<p data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"" style=""text-align: center;"" data-mce-style=""text-align: center;""><br></p>",DSERS,,Electronics,"headphones, best-sellers",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,181.00,230.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/D_NQ_NP_959434-MLA45270103227_032021-O.jpg?v=1731973272,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fone-gamer-com-fio,Wired Gamer Headset,"<h1 style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #80ff00;"">Wired Gamer Headset</span></h1>
<p style=""text-align: center;"">Wired Gamer Headsets are the best choice for players looking for maximum versatility in online games and come in different sizes and features. They generally have built-in microphones and controls for sound control, communication, volume control, and other uses.</p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/0647/1820/9253/files/Headset-g2000-com-fio-fone-de-ouvido-para-notebook-computador-jogos-m-sica-grave-pesado-com_480x480.jpg?v=1654311477"" alt="""" data-mce-style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-src=""https://cdn.shopify.com/s/files/1/0647/1820/9253/files/Headset-g2000-com-fio-fone-de-ouvido-para-notebook-computador-jogos-m-sica-grave-pesado-com_480x480.jpg?v=1654311477""></p>
<h2 style=""text-align: center;"" data-mce-style=""text-align: center;""> <br data-mce-fragment=""1""><span data-mce-fragment=""1"">Specification:</span>
</h2>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><span data-mce-fragment=""1"">Model: G2000</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Earmuff Material: Leather</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Headphone wire material: braided wire</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Plug type: straight plug</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Headphone type: over-ear</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Type: monochromatic lighting headset</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Sound principle: moving coil</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Frequency response range: 20-20000hz</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Impedance: 32 Ohms</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Sensitivity: 88dB</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Plug diameter: 3.5mm</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Speaker diameter: 50mm/1.97""</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Headphone audio output source: for ps4 xbox one, handle, notebook/mobile phone with 3.5mm single-port, conversion cable for ipad, for pc</span></p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><br data-mce-fragment=""1""><br></p>",DSERS,,Electronics,"headphones, best-sellers",TRUE,Color,Blue,,,,,,,,,0.0,shopify,1000,continue,manual,328.60,360.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/H56c23597fcf44ae88018581828be20cdY.webp?v=1731973270,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/H56c23597fcf44ae88018581828be20cdY.webp?v=1731973270,kg,,,TRUE,,,TRUE,,,active
mini-drone-inteligente-4k-com-camera-hd,Smart Mini Drone 4K with HD Camera,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Smart Mini Drone 4K with HD Camera</span></h1>
<div style=""text-align: center;"">This LS-MIN RC quadcopter is a portable and small-sized drone with multiple attractive features, such as a 1080P HD camera, 3D flip gesture flight path, and excellent color solutions. It is ideal for being placed in your pockets or small travel bags while offering easy-to-control flight.</div>
<div style=""text-align: left;""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://http2.mlstatic.com/D_NQ_NP_713952-CBT47156857948_082021-O.webp""></div>
<p style=""text-align: center;""><br></p>",DSERS,,Electronics,"drones, best-sellers",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,469.90,0.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/D_NQ_NP_945404-CBT47156857949_082021-O.jpg?v=1731973267,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
mouse-gamer-profissional-led-5500-dpi-7-botoes,Professional LED Gaming Mouse,"<h1 data-mce-fragment=""1"" style=""text-align: center;""><span style=""color: #80ff00;"">Professional LED Gaming Mouse</span></h1>
<p data-mce-fragment=""1"" style=""text-align: center;"">Mouse designed for high-level gamers, with an adjustable DPI button for up to 2400 DPI, offering more speed and performance for games that demand the most from their players, with 6 configurable buttons (only in game settings).</p>
<p data-mce-fragment=""1""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/0641/7874/9667/products/viegaro-mouse-gamer-profissional-led-5500-dpi-7-botoes-eletronicos-29141589590171_600x_e4708f63-6cd7-4959-a51c-1c8c38ed6c4f_500x.jpg?v=1650902311""></p>
<p data-mce-fragment=""1"" style=""text-align: center;"">Modern and innovative design with color-changing LEDs, ideal for night players.</p>
<p data-mce-fragment=""1"" style=""text-align: center;"">USB 2.0 connector which provides a faster response, essential for perfect gameplay. Play your FPS, MOBA, MMO, and many other games with quality equipment. Precise movements: Gravity stabilization technology, move more easily and have precise positioning.</p>
<p data-mce-fragment=""1""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://cdn.shopify.com/s/files/1/0641/7874/9667/products/viegaro-mouse-gamer-profissional-led-5500-dpi-7-botoes-eletronicos-29141787246747_600x_5041b1f3-2b36-4093-b2f5-697bacc83a08_400x.jpg?v=1650902311""></p>
<h2 data-mce-fragment=""1"">Technical Specification:</h2>
<p><span style=""font-size: 0.875rem;"">Ergonomic design</span><br><span style=""font-size: 0.875rem;"">ABS plastic material - 2400 DPI optical sensor</span><br><span style=""font-size: 0.875rem;"">LED lighting</span><br><span style=""font-size: 0.875rem;"">Sensitivity adjustable in 800/1200/1600/2400 DPI</span><br><span style=""font-size: 0.875rem;"">USB: 2.0</span><br><span style=""font-size: 0.875rem;"">6 Buttons</span><br><span style=""font-size: 0.875rem;"">Output: 5 Vdc (via USB port)</span><br><span style=""font-size: 0.875rem;"">Compatible with: Windows XP/Vista/7/8/10, Mac OS</span><br><span style=""font-size: 0.875rem;"">Consumption 100mA</span><br><span style=""font-size: 0.875rem;"">Braided fiber cable with 1.5 meters</span><br></p>
<p style=""text-align: center;""><br></p>
<p data-mce-fragment=""1""> </p>",DSERS,,Electronics,"best-sellers, gaming-products",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,119.90,170.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6260/0999/files/viegaro-mouse-gamer-profissional-led-5500-dpi-7-botoes-eletronicos-29141787246747_600x_400x_eedd22e2-7db4-489f-a2ce-39685efc1c8c.jpg?v=1731973265,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
