Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
5-pares-de-meias,5 Pairs of Socks,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;"">5 Pairs of Socks</span></h1>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"">Material:</span><span style=""text-align: center; font-size: 1.4em;"">Cotton, polyester, acrylic</span>
</div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Size: EUR 39-43</span></div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"">Pattern:</span><span style=""text-align: center; font-size: 1.4em;"">Solid color socks</span>
</div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Season: spring, summer, fall, and winter</span></div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Packaging: 5 pairs of socks</span></div>
<div style=""text-align: center;""><span style=""text-align: center; font-size: 1.4em;"">Package: OPP bag</span></div>
<p><br></p>
<div><img style=""font-size: 1.4em; display: block; margin-left: auto; margin-right: auto;"" height=""430"" width=""501"" src=""https://ae01.alicdn.com/kf/HTB13EgOjv6H8KJjSspmq6z2WXXa6.jpg""></div>
<div style=""text-align: center;""><br></div>",DSERS,,fitness,"best sellers, accessories",TRUE,Color,Black,,,,,,,,,0.0,shopify,1000,continue,manual,164.46,195.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Meias-5-pares-todas-as-esta-es-masculino-de-algod-o-meias-casuais-para-homens-de.jpg_Q90.jpg_72033abe-d5cb-45a6-9d82-5f438a6e1592.jpg?v=1732038076,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Meias-5-pares-todas-as-esta-es-masculino-de-algod-o-meias-casuais-para-homens-de.jpg_Q90.jpg_72033abe-d5cb-45a6-9d82-5f438a6e1592.jpg?v=1732038076,kg,,,TRUE,,,TRUE,,,active
luva-para-ciclismo,Workout and Cycling Gloves,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;"">Workout and Cycling Gloves</span></h1>
<p style=""text-align: center;"">Ideal for your daily workout. These gloves are suitable for professional and amateur athletes who practice cycling. Athletes who need to protect their hands and have a firm grip to minimize risks. Provides heat dissipation, greater stability.</p>
<p style=""text-align: center;"">Functionality - Exercises with more stability, providing better grip and movement quality and results</p>
<div style=""text-align: center;"">
<br><img height=""549"" width=""549"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H2ac2101c8aba409a8903f2ff137592ceP.webp?v=1732120909"" alt=""""><br>
</div>
<div style=""text-align: center;""><img height=""538"" width=""538"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H7446b506a7b049e98998bcbbc6474271f.webp?v=1732120909"" alt=""""></div>
<p><br></p>",DSERS,,fitness,"best sellers, accessories",TRUE,Size,M,,,,,,,,,0.0,shopify,1000,continue,manual,134.00,150.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Designsemnome_2.png?v=1732038074,1,Luva para malhar e ciclismo - Gadarelo,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Designsemnome_2.png?v=1732038074,kg,,,TRUE,,,TRUE,,,active
manguito-esportivo-02-pecas,Sport Arm Sleeves 02 Pieces,"<h1 style=""text-align: center;"" dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span style=""color: #b3b3b3;"">Sport Arm Sleeves 02 Pieces</span></h1>
<h3 style=""text-align: center;"" dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta"">This product is perfect for your activities!</h3>
<div style=""text-align: center;"" dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta"">It allows for a better experience in exposure to the sun and cold.</div>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><br></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span lang=""en"" class=""Y2IQFc""><strong><img height=""549"" width=""549"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hbf926fe74c104e5ea5ae575f237f0ce92.webp?v=1732121323"" alt=""""></strong></span></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><img height=""539"" width=""539"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hb43a4afe61284125ba2040b5d875cadam.webp?v=1732121336"" alt=""""></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""> </p>
<p dir=""ltr"" id=""tw-target-text"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span lang=""en"" class=""Y2IQFc""><strong>SPECIFICATIONS</strong><br><br>Arm Sleeves: Sport Arm Sleeves</span></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span lang=""en"" class=""Y2IQFc"">Type: sport sleeves</span></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span lang=""en"" class=""Y2IQFc"">Suitable: Outdoor sport/Driving/Fishing</span></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span lang=""en"" class=""Y2IQFc"">Quantity: 2 pieces = 1 pair </span></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span lang=""en"" class=""Y2IQFc"">Model number: non-slip arm sleeves</span></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span lang=""en"" class=""Y2IQFc"">Material: Polyester</span></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span lang=""en"" class=""Y2IQFc"">Length: 37 ~ 43 cm</span></p>
<p dir=""ltr"" data-placeholder=""Translation"" class=""tw-data-text tw-text-large tw-ta""><span lang=""en"" class=""Y2IQFc"">Gender: Unisex</span></p>
<div><br></div>
<div style=""text-align: center;""> We are proud to say that we <b>guarantee the receipt</b> of this product with quality </div>
<div style=""text-align: center;"">or your money back!</div>
<div class=""detailmodule_html"">
<div class=""detail-desc-decorate-richtext"">
<div class=""detailmodule_image""><br></div>
</div>
</div>",Dsers,,fitness,"best sellers, accessories",TRUE,Color,Black,,,,,,,,,0.0,shopify,1000,continue,manual,79.00,129.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/H3c8dfef2ed074886be4a53871ce97c6cD_500x_cae9e696-548b-44fa-b121-fdfb7c44c2d9.jpg?v=1732038072,1,Manguito Esportivo 02 Peças - loja top certa,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/H5ee3bbbee1684a46a8b0501b659fdcf6y_500x_130c6cfa-e8d6-463f-b9c0-7f2f90388ce6.jpg?v=1732038072,kg,,,TRUE,,,TRUE,,,active
tiara-de-yoga,Yoga Headband,"<h1 data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2""><strong>Yoga Headband</strong></h1>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2"">The yoga headband is an accessory used to add style and beauty to the practice of yoga. It is made of lightweight metal and decorated with crystals and colored stones. It is placed on the top of the head, where it is held in place by an elastic band or ribbon. Its use underscores the importance of spiritual growth and connection with nature. It is also used in the practice of meditation, as it is believed that it can help concentrate the flow of energy around the head. In addition, it can serve as a symbol of femininity and strength.</div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2"">
<strong><span data-offset-key=""ijaq-207-0""></span></strong><br>
</div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2""><strong>Product Details:</strong></div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2"">Weight: 30 g</div>
<div data-mce-fragment=""1"" style=""text-align: center;"" data-spm-anchor-id=""a2g0s.12269583.0.i0.16b52ad0CbZEZ2""><span data-mce-fragment=""1"" style=""font-family: 'comic sans ms';"" face=""comic sans ms""><span data-mce-fragment=""1"">Size: 25*15cm/25*8.5cm</span></span></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><span data-mce-fragment=""1"">Polyester list: 1 pcs headbands</span></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><span data-mce-fragment=""1"">Comfort guaranteed during your yoga session or any other exercise. </span></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><strong>Get this product on sale in our store.</strong></div>
<div data-mce-fragment=""1""><strong><img height=""554"" width=""554"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/HTB1i1TjaHj1gK0jSZFOq6A7GpXaG.webp?v=1732126017"" alt=""""></strong></div>
<div data-mce-fragment=""1"" style=""text-align: center;""><br></div>",DSERS,,fitness,"best sellers, accessories",TRUE,Color,Black,,,,,,,,,0.0,shopify,1000,continue,manual,99.99,135.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Tiara-esportiva-antiderrapante-feminina-faixa-de-cabelo-el-stica-para-corridas-cachecol-faixas-de-cabelo-acess.jpg_Q90.jpg_3876cb30-2139-4647-9f26-7a5d0c8a19ae.jpg?v=1732038066,1,Tiara de Yoga - lojarotinanatural,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Tiara-esportiva-antiderrapante-feminina-faixa-de-cabelo-el-stica-para-corridas-cachecol-faixas-de-cabelo-acess.jpg_Q90.jpg_3876cb30-2139-4647-9f26-7a5d0c8a19ae.jpg?v=1732038066,kg,,,TRUE,,,TRUE,,,active
tenis-confort-max,Comfort Max Sneakers,"<h1 style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []"">Comfort Max Sneakers</h1>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []"">A wardrobe and style essential for the modern man, these shoes are perfect for the fall. The leather upper is combined with a rustic crepe sole that offers stability and flexibility. Contemporary details include a lace-up closure and stitched detailing on the shaft.</p>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []""><img height=""646"" width=""532"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S80287ae646ea453b957677a223fc7741z.webp?v=1732123141"" alt=""""></p>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []"">This casual steel shoe for men and women has a breathable upper and is definitely a good helper at work. Ultralight design, lighter than common lightweight safety shoes, reduces the burden of a hard day's work.</p>
<p style=""text-align: center;"" dir=""auto"" data-pm-slice=""1 1 []""><img height=""589"" width=""547"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Sbd5f626d78f14bfb930667a5cf607893O.webp?v=1732123141"" alt=""""></p>",DSERS,,fitness,"best sellers, shoes",TRUE,Size,39,,Color,Black,,,,,,0.0,shopify,1000,continue,manual,457.26,515.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/2022-novos-homens-profissional-almofada-de-ar-malha-respir-vel-t-nis-corrida-sapatos-moda-esportes.jpg_Q90.jpg_bc97cfaa-f16e-4059-9283-908812fd6821.jpg?v=1732038064,1,Tênis Confort Max - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/2022-novos-homens-profissional-almofada-de-ar-malha-respir-vel-t-nis-corrida-sapatos-moda-esportes.jpg_640x640_885c7c0d-432f-47bb-9315-223e5216b669.jpg?v=1732038064,kg,,,TRUE,,,TRUE,,,active
tenis-esportivo-ortopedico,Orthopedic Sports Shoes,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;"">Orthopedic Sports Shoes</span></h1>
<div style=""text-align: center;""><br></div>
<h3 style=""text-align: center;"" class=""text-title""><em>Stronger than a hiking boot. Softer than a comfortable slipper.</em></h3>
<div style=""text-align: center;"" class=""gallery-review"" id=""galleryReview""><br></div>
<div style=""text-align: center;""> <b>Protect and care. Made for women's feet,</b> with a molded rubber sole featuring a soft air cushion in the heel that distributes pressure for a smoother and pain-free walk.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Lace-free. </b>The soft, knitted fabric wraps around your foot without the need for laces.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Lightweight and easy. </b>Trust the durable sole with an air cushion and premium non-slip rubber to walk all day.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Eco-Friendly. </b>Produced sustainably, using only vegan materials, no animal products are used in our shoes.</div>
<div style=""text-align: center;"">
<i class=""check-icon""></i> <b>Available sizes:</b> We always have stock in a variety of sizes from 34 to 40 (women's sizes in Brazil).</div>
<div style=""text-align: center;""><img height=""541"" width=""541"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H5bfa61ceb7b544e3a4d8dbc5ee6f958dj.webp?v=1732123520"" alt=""""></div>
<div style=""text-align: center;"">
<h3 class=""text-title"">Walking as smooth as silk.</h3>
<p>Experience <b>indulgent comfort,</b> a daring height boost, and stable lift from heel to toe.</p>
<p>Maintain excellent grip with the <b>molded non-slip sole,</b> even on rough terrains.</p>
<p><b>Forget you're wearing them,</b> even after standing all day.</p>
<div>
<p><img height=""724"" width=""543"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Hb65717af5af34544b8c433b291430c3bx.webp?v=1732123520"" alt=""""> <br></p>
<div>
<h2 class=""text-center section-title"">The perfect balance between softness and support.</h2>
<p class=""section-text"">Meet the softest shoes on the internet! Designed to balance your weight perfectly from heel to toe with a smooth and comforting lift.</p>
<p class=""section-text""><img height=""543"" width=""543"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Ha30c68971d984919809607381458c5afR.webp?v=1732123520"" alt=""""></p>
</div>
</div>
</div>",DSERS,,fitness,"best sellers, shoes",TRUE,Color,Black,,Size,35,,,,,,0.0,shopify,1000,continue,manual,303.38,350.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Hipersoft-t-nis-mulher-2021-ortop-dico-t-nis-para-mulher-plataforma-branco-preto-vermelho-sapatos.jpg_640x640_cd5b7dae-2967-4f9d-968c-eec18090e1da.jpg?v=1732038061,1,Tênis Esportivo Ortopédico - shopfalcao,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Hipersoft-t-nis-mulher-2021-ortop-dico-t-nis-para-mulher-plataforma-branco-preto-vermelho-sapatos.jpg_640x640_5816530c-8261-44fe-9d6f-e5a19d423511.jpg?v=1732038061,kg,,,TRUE,,,TRUE,,,active
tenis-flex,Flex Sneakers,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3; font-size: 1.4em;""><strong style=""text-align: center; font-size: 1.4em;"">Flex Sneakers</strong></span></h1>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Gender</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Unisex"">Unisex 2024</span>
</div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Function</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Motion Control"">Motion Control</span>
</div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Feature</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Breathable"">Breathable</span>
</div>
<div style=""text-align: center;""><img height=""553"" width=""553"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H77e41a67661b4909bb15c67f84b3082cS.webp?v=1732124097"" alt=""""></div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Feature</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Height Increase"">Height Increase</span>
</div>
<div style=""text-align: center;"">
<strong style=""text-align: center; font-size: 1.4em;""><span class=""property-title"">Insole Material</span>: </strong><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""PU"">PU</span>
</div>
<div style=""text-align: center;"">
<strong style=""text-align: center; font-size: 1.4em;""><span class=""property-title"">Athletic Shoe Type</span>: </strong><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Running Shoes"">Running Shoes</span>
</div>
<div style=""text-align: center;"">
<strong style=""text-align: center; font-size: 1.4em;""><span class=""property-title"">Upper Material</span>: </strong><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Mesh (Air mesh)"">Mesh (Air mesh)</span>
</div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Closure Type</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Lace-up"">Lace-up</span>
</div>
<div style=""text-align: center;"">
<span style=""text-align: center; font-size: 1.4em;"" class=""property-title""><strong>Fit</strong>: </span><span style=""text-align: center; font-size: 1.4em;"" class=""property-desc line-limit-length"" title=""Fits true to size, take your normal size"">Fits true to size, take your normal size</span>
</div>
<div style=""text-align: center;""><br></div>
<div style=""text-align: center;""><br></div>
<p><img height=""539"" width=""539"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H3df346f198304a9c9913cea3bdc4a5beK.webp?v=1732124098"" alt=""""></p>",DSERS,,fitness,"best sellers, shoes",TRUE,Size,37,,Color,Beige,,,,,,0.0,shopify,1000,continue,manual,425.12,460.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/T-nis-de-corrida-masculino-e-casal-sapatos-casuais-antiderrapantes-leves-para-homens-e-mulheres-moda.png_640x640_27002164-a49e-4a8f-ba59-305ce04c7dc5.png?v=1732038058,1,Tênis Flex - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/T-nis-de-corrida-masculino-e-casal-sapatos-casuais-antiderrapantes-leves-para-homens-e-mulheres-moda.png_640x640_27002164-a49e-4a8f-ba59-305ce04c7dc5.png?v=1732038058,kg,,,TRUE,,,TRUE,,,active
tenis-max-confort,Max Comfort Sneakers,"<h1 style=""text-align: center;""><span style=""color: #b3b3b3;""><strong data-mce-fragment=""1"">Max Comfort Sneakers</strong></span></h1>
<div style=""text-align: center;""><strong data-mce-fragment=""1"">The style and comfort you deserve.</strong></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Foot discomforts can be related to the type of shoes you wear. Using comfortable shoes is the most ideal way to avoid future problems and foot fatigue.</span></div>
<div style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Saca1be1b83774369b61ef51c47c5f7e3g.webp?v=1732124617"" width=""549"" height=""549""></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Made with the highest technological standards, they put an end to discomfort and bring immediate relief to those who suffer from foot fatigue, or for those who need to stand for long hours in their daily lives.</span></div>
<div style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S43813b6d48374aa3a8af28bdbc6dccf7B.webp?v=1732124617"" width=""541"" height=""541""></div>
<div style=""text-align: center;"">
<p><span><strong>Specifications:</strong></span></p>
<div><span>-Material: Mesh</span></div>
<div><span>-Included in the Package: 1x Comfortable Sneakers</span></div>
<div><img alt="""" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/Sdcd7c2c3c95e437e8bc9218d76ff663ai.webp?v=1732124618"" width=""551"" height=""551""></div>
</div>",DSERS,,fitness,"best sellers, shoes",TRUE,Size,35,,Color,Black,,,,,,0.0,shopify,1000,continue,manual,408.30,450.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Xiaomi-mijia-mi-menment-nis-de-corrida-sapatos-caminhada-gin-sio-moda-esportes-luz-sapatos-casuais.jpg_640x640_7cb81248-c20b-47d8-9c2e-50b24f1a81c7.jpg?v=1732038056,1,Tênis Max Confort - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Xiaomi-mijia-mi-menment-nis-de-corrida-sapatos-caminhada-gin-sio-moda-esportes-luz-sapatos-casuais.jpg_640x640_7cb81248-c20b-47d8-9c2e-50b24f1a81c7.jpg?v=1732038056,kg,,,TRUE,,,TRUE,,,active
tenis-meia,Sock Sneakers,"<h1 style=""text-align: center;""><span data-mce-fragment=""1"" style=""color: #b3b3b3;"">Sock Sneakers</span></h1>
<div style=""text-align: center;"">
<span data-mce-fragment=""1"">The sock</span><span data-mce-fragment=""1""> sneakers were designed for </span><strong data-mce-fragment=""1"">YOU</strong><span data-mce-fragment=""1""> who wants to wear sneakers casually,</span>
</div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">ideal for leisure and walks. Stylish and available in BLACK, PURPLE, PINK, and GREY, adapting to your own style!</span></div>
<div style=""text-align: center;""><img height=""539"" width=""539"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S03b0774c8f764393901e6b2ebb695d51e.webp?v=1732124994"" alt=""""></div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">High-quality material:</strong><span data-mce-fragment=""1""> Air mesh</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Closure type:</strong><span data-mce-fragment=""1""> Lace-up;</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Lining material:</strong><span data-mce-fragment=""1""> Mesh</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Style:</strong><span data-mce-fragment=""1""> Casual;</span>
</div>
<div style=""text-align: center;"">
<strong data-mce-fragment=""1"">Sole material: RUBBER</strong><span data-mce-fragment=""1""> (Thermoplastic Rubber) TR sole</span>
</div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">offers great grip and stability, as well as flexibility,</span></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">thermal resistance, and high performance.</span></div>
<div style=""text-align: center;""><img height=""550"" width=""550"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/S62ab648d65614ee0a0f5cd76f18cc524l.webp?v=1732124994"" alt=""""></div>
<div style=""text-align: center;"">
<div><br></div>
<div><br></div>
</div>",DSERS,,fitness,"best sellers, shoes",TRUE,Size,36,,Color,Pink,,,,,,0.0,shopify,1000,continue,manual,328.76,370.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Senhoras-t-nis-respira-o-sola-macia-sapatos-femininos-t-nis-de-corrida.jpg_640x640_e4e1558b-3894-4851-9987-a4ec66ac3667.jpg?v=1732038054,1,Tênis Meia - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/Senhoras-t-nis-respira-o-sola-macia-sapatos-femininos-t-nis-de-corrida.jpg_640x640_e4e1558b-3894-4851-9987-a4ec66ac3667.jpg?v=1732038054,kg,,,TRUE,,,TRUE,,,active
tenis-meia-unissex,Unisex Sock Sneakers,"<h1 style=""text-align: center;""><span data-mce-fragment=""1"">Unisex Sock Sneakers</span></h1>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Black elastic fabric sock sneakers. Robust white rubber sole.</span></div>
<div style=""text-align: center;"">
<p><img height=""634"" width=""541"" src=""https://cdn.shopify.com/s/files/1/0914/8363/6002/files/H0cd7f75c0c804e1998686de138ca00586.webp?v=1732125215"" alt=""""></p>
<p>Details: Stitching / High Top / Slip-On </p>
<p>Sole: Rubber</p>
<p>Insole: PU (Polyurethane)</p>
<p>Weight per Shoe: 278g (Approx.)</p>
<p>Heel Height: 5cm (Approx.)</p>
<p><img height=""529"" width=""501"" src=""https://ae01.alicdn.com/kf/Hb3952edba7bd46cfabe06fe99820c31eJ.jpg?width=800&amp;height=845&amp;hash=1645""></p>
<div><br></div>
<div><br></div>
</div>",DSERS,,fitness,"best sellers, shoes",TRUE,Size,34,,Color,Black,,,,,,0.0,shopify,1000,continue,manual,412.40,460.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/2021-das-mulheres-dos-homens-da-moda-t-nis-de-malha-masculino-sapatos-esportivos-senhora-formadores.jpg_Q90.jpg_546f2a05-f16c-4720-9e12-e5cba53672de.jpg?v=1732038052,1,Tênis Meia Unissex - lojavenon,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0592/1826/4139/files/2021-das-mulheres-dos-homens-da-moda-t-nis-de-malha-masculino-sapatos-esportivos-senhora-formadores.jpg_Q90.jpg_546f2a05-f16c-4720-9e12-e5cba53672de.jpg?v=1732038052,kg,,,TRUE,,,TRUE,,,active
