Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
anel-3-pedras,3 Stone Ring,"<h3 style=""text-align: center;"">3 Stone Ring</h3>
<p style=""text-align: center;""><span>Open Adjustable Promise Ring for Her: When looking to show your love for life, no piece of jewelry speaks this statement louder than the open adjustable promise ring. This premium quality ring is the touch of finesse you've been looking for to make your outfit look like royalty. Dazzle all who see you with your exotic charm and fashion sense.</span></p>
<p style=""text-align: center;""><span><img src=""https://cdn.shopify.com/s/files/1/0719/7409/3041/files/JewelryPalace-1-7ct-Verdadeira-Multi-London-Blue-Topaz-3-Pedras-Anel-Genu-no-925-J-ias.jpg_Q90.jpg_45ebc0c3-65df-4594-9233-a9dffa19f75c.webp?v=1732220303"" width=""539"" height=""539""></span></p>
<p style=""text-align: center;""><span>A wonderful gift for any occasion: these unique and heartfelt wedding rings are beautifully packaged and ready to give. Makes a sentimental surprise for any amazing woman. This timeless essential is the perfect gift idea for your wife, daughter, mother, sister, girlfriend, best friend, or yourself. Give someone special luxury fine jewelry to rock from day to night in style!</span></p>
<div data-spm-anchor-id=""a2g0o.detail.1000023.i2.68de36f2xde8uj""><br></div>
<div style=""text-align: center;"">
<span>This product has a </span><b>full warranty</b><span> in our store, </span>
</div>
<div style=""text-align: center;""><span>receive the product at home or your money back!</span></div>",Dsers,Sem categoria,,jewelry,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,491.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/JewelryPalace-1-7ct-Verdadeira-Multi-London-Blue-Topaz-3-Pedras-Anel-Genu-no-925-J-ias.jpg_Q90.jpg_45ebc0c3-65df-4594-9233-a9dffa19f75c.webp?v=1733189298,1,Anel 3 Pedras - luvijoias,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
colar-duplo-circulo,Double Circle Necklace,"<h3 style=""text-align: center;"">Double Circle Necklace</h3>
<p style=""text-align: center;"">A beautiful and delicate piece, but with a luxurious touch. The double circle necklace is a jewel for more discreet women who like more delicate pieces. The product is 100% new and of excellent quality, comfortable and does not hurt your skin.</p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sa8a059f3685346ed8a9e7a3be9fcf0e8I.webp?v=1733009123"" width=""552"" height=""552""></p>
<p style=""text-align: center;""><br></p>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/See60d255e3b14731a91efc7d5a795e2fi.webp?v=1733009123"" width=""546"" height=""546""></span></div>
<div style=""text-align: center;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">This product has <strong data-mce-fragment=""1"">full warranty</strong> in our store. receive the product at home or your money back</span></div>",Dsers,Sem categoria,,jewelry,TRUE,Cor,Prata,,,,,,,,,0.0,shopify,2000,continue,manual,232.30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/S999-colar-de-prata-esterlina-para-as-mulheres-duplo-c-rculo-925-pingente-de-prata-colar.jpg_640x640_d8a01c89-99e0-4e3f-b500-1f8e6f32e0ce.jpg?v=1733189295,1,Colar Duplo Circulo - luvijoias,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/S999-colar-de-prata-esterlina-para-as-mulheres-duplo-c-rculo-925-pingente-de-prata-colar.jpg_640x640_f0f1c338-2a5b-4d0c-8ba0-0bebb712d125.jpg?v=1733189295,kg,,,TRUE,,,TRUE,,,active
colar-casual,Casual Necklace,"<h3 style=""text-align: center;"">Casual Necklace</h3>
<p style=""text-align: center;"">Beautiful and delicate necklace, comfortable and easy to wear. It goes with your everyday commitments and also for a more sophisticated event. 100% new product and excellent quality.</p>
<p style=""text-align: center;""><img alt=""Colar Casual - luvijoias"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Dieyuro-316l-pingente-retangular-minimalista-de-a-o-inoxid-vel-coreano-preto-ep-xi-feminino-colar.jpg_Q90.jpg_3e2df6db-74e1-41dd-a37b-52ec8baf7471.jpg?v=1733008546"" width=""557"" height=""557""></p>
<p style=""text-align: center;"">It does not hurt or irritate the skin, use it without worries. It is also a great idea to give as a gift to your loved one on a special date.</p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/He9a5bbc7fffd42c18d5eefd85cb259abM.webp?v=1733008758"" width=""545"" height=""545""></p>
<ul class=""product-specs-list util-clearfix"">
<li class=""product-prop line-limit-length"">
<span class=""property-title"">Pendant Size: </span><span data-spm-anchor-id=""a2g0o.detail.0.i12.18531a5cWVc2Le"" title=""4.1cm"" class=""property-desc line-limit-length"">4.1cm</span>
</li>
</ul>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><br></span></div>
<div style=""text-align: center;"" data-mce-fragment=""1""><span data-mce-fragment=""1"">This product has <strong data-mce-fragment=""1"">full guarantee</strong> in our store. receive the product at home or your money back</span></div>",Dsers,Sem categoria,,jewelry,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,2000,continue,manual,122.20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/H4f77ea04b8de4f27b312abf0ab40a9c1h.webp?v=1733189292,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
pulseira-charm-joia,Charm Jewelry Bracelet,"<h3 style=""text-align: center;"">Charm Jewelry Bracelet</h3>
<p style=""text-align: center;"">Our bracelet is made of stainless steel. about 3mm thick.</p>
<div style=""text-align: center;""><strong><img height=""534"" width=""534"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Alta-qualidade-pulseira-de-corrente-de-a-o-inoxid-vel-para-homens-nova-moda-simples-pulseiras.jpg_640x640_46da5a9e-ed55-4ff3-ba3a-e4dbac8e262f.jpg?v=1733008548"" alt=""Pulseira Charm Jóia - luvijoias""></strong></div>
<div style=""text-align: center;""><strong>Specification:</strong></div>
<div>
<div style=""text-align: center;"">Item Type:Stainless Steel Bracelets</div>
<div align=""start"">
<div align=""start"">
<div class=""detailmodule_html"">
<div class=""detail-desc-decorate-richtext"">
<div style=""text-align: center;"">
<div>Style: Simple and Fashion</div>
<div>
<div>
<p>Gender: Women/Men</p>
<p>Color: Steel Color</p>
</div>
</div>
</div>
<div>
<div style=""text-align: center;"">Size: 20cm </div>
<div style=""text-align: center;"">Material: Stainless Steel</div>
<div style=""text-align: center;"">
<div data-mce-fragment=""1""><br></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1"">This product has <strong data-mce-fragment=""1"">full warranty</strong> in our store. receive the product at home or your money back</span></div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>",Dsers,Sem categoria,,accessories,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,2000,continue,manual,80.30,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/Alta-qualidade-pulseira-de-corrente-de-a-o-inoxid-vel-para-homens-nova-moda-simples-pulseiras.jpg_640x640_46da5a9e-ed55-4ff3-ba3a-e4dbac8e262f.jpg?v=1733189289,1,Pulseira Charm Jóia - luvijoias,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
20-60cm-925-sterling-silver-luxury-brand-design-noble-necklace-chain-for-woman-men-fashion-wedding-engagement-jewelry,925 Silver Groumet Chain,"<h1 style=""text-align: center;"" class=""product-name""><span style=""color: #ff8000;"">925 Silver Groumet Chain</span></h1>
<p style=""text-align: center;"">These 925 Group Chains are made of solid silver with 925 zirconias. They feature a modern and elegant design around, making them perfect for special occasions such as weddings, anniversaries, graduations, and more. Hypoallergenic, the product is made with high-quality materials.</p>
<p style=""text-align: center;""><img height=""528"" width=""528"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S611f561ee3c54b938c7527d036228b02i.jpg?v=1732136793"" alt=""|200000639:200661028#45cm 18inches|200000639:200661029#50cm  20inches|200000639:100010281#55cm 22inches|200000639:884#60cm 24inches|200000639:1438#20cm 8inches""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>Material | Solid 925 silver <br>Stones | 925 zirconias <br>Length | 60 cm <br>Size | Adjustable <br>Quality | Hypoallergenic <br>Occasions | Weddings, anniversaries, graduations, etc.</p>",DSERS,Sem categoria,moda,jewelry,FALSE,Tamanho,45cm,,,,,,,,200000639:200661028#45cm 18inches,0.0,shopify,1000,continue,manual,35.00,55.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/S611f561ee3c54b938c7527d036228b02i.jpg?v=1732136764,1,|200000639:200661028#45cm 18inches|200000639:200661029#50cm  20inches|200000639:100010281#55cm 22inches|200000639:884#60cm 24inches|200000639:1438#20cm 8inches,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/S611f561ee3c54b938c7527d036228b02i.jpg?v=1732136764,kg,,,TRUE,,,TRUE,,,active
2022-new-fashion-female-shoulder-bag-rhombus-embroidered-solid-color-chain-women-39-s-shoulder-crossbody-casual-trendy-phone-bag,Classic Clatch Crossbody Bag,"<h1 class=""product-single__title"" style=""text-align: center;""><span style=""color: #ff8000;"">Classic Clatch Crossbody Bag</span></h1>
<p style=""text-align: center;"">This classic clatch crossbody bag is ideal for carrying your personal items with ease, featuring a wide strap and a clatch closure. It has a versatile design for everyday use and weekends. Double tailoring in yellow, synthetic leather details, and shoulder appliqué. A beautiful, functional, and practical bag.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""636t-187-0""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0579/2494/4070/products/bolsinha-transversal-clatch-classica_9_1800x1800.png?v=1656927688""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""636t-187-0"">Specifications:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""636t-187-0"">| Material | Double tailoring |<br>| Closure | Clatch |<br>| Details | Synthetic leather and shoulder appliqué |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,Sem categoria,moda,accessories,FALSE,Cor,1,,,,,,,,13:59,0.0,shopify,1000,continue,manual,105.00,139.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/S4a1b5ca6c2734ffb84820decc7bc3c0fH.jpg?v=1732136761,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/Sdf8f631fba174000ae1784159b62bd3fj.jpg?v=1732136761,kg,,,TRUE,,,TRUE,,,active
xqni-new-classic-style-men-leather-bracelet-simple-black-stainless-steel-button-neutral-accessories-hand-woven-jewelry-gifts,Slim Comfort Bracelet,"<h1 style=""text-align: center;"" class=""product_title entry-title""><span style=""color: #ff8000;"">Slim Comfort Bracelet</span></h1>
<p style=""text-align: center;"">The Slim Comfort Bracelet is a classic and minimalist bracelet made of genuine leather. This bracelet offers hours of comfort and style, with a high-quality clasp to hold pendants and ensure accessories.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0560/0342/8506/products/HTB1LIZeX5DxK1RjSsphq6zHrpXah_1024x1024.jpg?v=1624897048"" width=""500"" height=""500""></p>
<h2 style=""text-align: left;"">Specifications:</h2>
<p>Material: genuine leather<br>Clasp: high-quality stainless steel<br>Details: practical and elegant design<br>Style: classic and minimalist<br>Color: Available in various colors</p>",DSERS,Sem categoria,moda,accessories,FALSE,Cor,1,,Tamanho,19cm,,,,,200001034:361180#Black;200000639:201452416,0.0,shopify,1000,continue,manual,65.00,95.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/HTB1iModX2fsK1RjSszbq6AqBXXaF.jpg?v=1732136757,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/HTB1KREdX2vsK1RjSspdq6AZepXaK.jpg?v=1732136758,kg,,,TRUE,,,TRUE,,,active
fashion-spiral-silver-plated-gold-color-ring-x-shape-cross-cz-finger-rings-for-women-girl-engagement-wedding-lady-jewelry-gift,Femme Ring,"<h1 style=""text-align: center;"" class=""product-meta__title heading h3""><span style=""color: #ff8000;"">Femme Ring</span></h1>
<p style=""text-align: center;"">The Femme Ring is a creative model full of personality. It features two sharp stones - a beautiful and bright cubic zirconia in the center and four cubic zirconias around, offering a shine from different angles. Made of 925 sterling silver.</p>
<p style=""text-align: center;""><img height=""552"" width=""552"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S6e25ceb0c0dd40e5a6d4f817bb6002b1A.jpg?v=1732136785"" alt=""""></p>
<p style=""text-align: center;"">Its modern and elegant design makes it ideal for both formal and informal occasions. The Femme Ring is a beautiful, sophisticated, and well-crafted model, perfect for gifting modern and exceptional women.</p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""ct04j-223-0"">Specifications:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""ct04j-223-0"">Material | 925 Sterling Silver with White Gold Plating<br>Dimensions | 2.5 x 2.5 cm<br>Stones | Cubic Zirconias<br>Finish | Polished<br>Hypoallergenic | Yes<br>Corrosion Resistant | Yes</span></p>
<p style=""text-align: center;""><br></p>",DSERS,Sem categoria,moda,jewelry,FALSE,Tamanho,6,,Cor,1,,,,,200000369:1394;200000783:29#GOLD COLOR,0.0,shopify,1000,continue,manual,29.40,49.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/S6e25ceb0c0dd40e5a6d4f817bb6002b1A.jpg?v=1732136754,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/Sfa3ab99984bc40568ad5d213efd7305af.jpg?v=1732136754,kg,,,TRUE,,,TRUE,,,active
small-bag-women-39-s-crossbody-new-french-popular-network-red-fashion-foreign-style-crossbody-bag-versatile-mother-39-s-mobile-bag,Lightweight and Small Crossbody Bag,"<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none"" data-mce-style=""text-align: center;""><span class=""a-size-large product-title-word-break"" id=""productTitle"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Lightweight and Small Crossbody Bag</span></h1>
<p style=""text-align: center;"">The OPXTO is a small and versatile bag perfect for events and outings. The bag is made of high-quality soft PU leather and features a water-resistant zipper closure, gold-tone details, an adjustable shoulder strap, and back handles for added convenience.</p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><span data-offset-key=""atpd4-210-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/41X1x4wTsgS._SX466_.jpg"" data-mce-src=""https://m.media-amazon.com/images/I/41X1x4wTsgS._SX466_.jpg""></span></p>
<p style=""text-align: center;"">It has a main compartment with internal zip pockets, business card pockets, and a back handle to attach to the bag. It is perfect for adding an extra touch of glamour to your finest outfits.</p>
<h2 style=""text-align: left;"" data-mce-style=""text-align: left;""><span data-offset-key=""atpd4-276-0"" data-mce-fragment=""1"">Specifications:</span></h2>
<p><span data-offset-key=""atpd4-276-0"" data-mce-fragment=""1"">Material: High-quality PU leather<br>Dimensions: 12 * 25 * 8 cm<br>Closure: Water-resistant zipper<br>Gold-tone buckle detail<br>Adjustable shoulder strap<br>Main compartment with internal pockets and an external business card pocket<br>Back handle to attach to the bag.</span></p>
<p style=""text-align: center;""><br></p>",DSERS,Sem categoria,moda,accessories,FALSE,Cor,1,,,,,,,,14:193#black,0.0,shopify,0,continue,manual,215.00,250.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/Sab3f6382fbc04a0dac1b9d75aad8e0abq.jpg?v=1732136750,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/S1c3757cee34c4af6a7509f2c1162d97fw.jpg?v=1732136750,kg,,,TRUE,,,TRUE,,,active
2023-new-arrival-tonneau-design-fashion-casual-wristwatch-bracelet-simple-elegant-ladies-free-shipping-quartz-watches-for-women,FashionLady Women's Watch,"<h1 style=""text-align: center;"" class=""product-meta__title heading h1""><span style=""color: #ff8000;"">FashionLady Women's Watch</span></h1>
<p style=""text-align: center;"">This FashionLady Women's Watch comes with beautiful cheerful multicolored prints. It is made with high-quality materials for greater durability and resistance. Integrate this modern accessory into your own casual style to complement any look.</p>
<p style=""text-align: center;""><span data-offset-key=""a04rf-127-0"" data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0701/0979/0525/products/Sd52b81ba813948f78d010f7907ddb60bq_600x.jpg?v=1675563040"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">It pairs well with modern and classic clothes. Its fit is perfect for any occasion. It features a back zipper and an adjustable strap. An ideal watch for gifting modern and fashionable women.</p>
<h2 style=""text-align: left;""><span data-offset-key=""a04rf-192-0"" data-mce-fragment=""1"">Specifications:</span></h2>
<p><span data-offset-key=""a04rf-192-0"" data-mce-fragment=""1"">| Materials | High quality |<br>| Print | Cheerful and beautiful multicolored|<br>| Adjustment | Screw/Clasp |<br>| Dial Type | Analog |<br>| Extra Features | Back zipper and adjustable strap|</span></p>",DSERS,Sem categoria,moda,accessories,FALSE,Estilo,1251CC,,,,,,,,14:201447598#1251CC,0.0,shopify,1000,continue,manual,195.00,225.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/Sd52b81ba813948f78d010f7907ddb60bq.jpg?v=1732136747,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0913/8651/1642/files/Sb45dd84e46b643fcb99df93487fc5263N.jpg?v=1732136747,kg,,,TRUE,,,TRUE,,,active
