Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
tapete-de-parede,Tapete de Parede,"<h1 style=""text-align: center;"" class=""product-meta__title heading h1""><span style=""color: #ffff00;"">Tapete de Parede</span></h1>
<p style=""text-align: center;"">O Tapete de Parede Cat Sun Moon é uma peça decorativa que criará uma atmosfera encantadora e moderna no seu quarto. Com tons de tecido de veludo em bege e brocado, o tapete coberto com estampas divertidas e alegres de um gato, sol e lua é um favorito entre muitos...</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0685/8417/7952/products/S50256ea69cfa4d1cbc1e231b1cdd4838C_600x.jpg?v=1670555038"" width=""500"" height=""500""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Tamanho: 38"" x 26""<br>Material: Veludo e brocado<br>Cor: Azul, bege e preto<br>Peso: Aproximadamente 400 g<br>Forma: Retangular<br>Inclui: Fixações</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,decoracao-de-ambientes,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,54.89,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Scd08d0a0ba924c2bbb2c28b726c737f0m.jpg?v=1732905085,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
globo-terraqueo,Globo Terráqueo,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ffff00;"">Globo Terráqueo</span></h1>
<p style=""text-align: center;"">O globo terráqueo político esférico e giratório da Globa ajuda no aprendizado de geografia através de um visual atraente. Conta com um corpo de polietileno 100% impermeável e tem um design que se assemelha à forma clássica do globo terráqueo. Inclui etiquetas das principais localizações mundiais.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""42vp8-212-0""><img height=""665"" width=""500"" src=""https://m.media-amazon.com/images/I/61EFjUbT5UL._AC_SX679_.jpg""></span></p>
<p style=""text-align: center;"">Projetado com linhas projetadas adequadas tanto para decoração quanto para aprendizado. Tem uma plataforma exclusiva para maior estabilidade e precisão na rotação. Proporciona uma visão em escala que facilita a compreensão das dimensões e distâncias relativas de diferentes partes do produto.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""42vp8-321-0""><img height=""846"" width=""480"" src=""https://m.media-amazon.com/images/I/71we66Vwg9L._AC_SY879_.jpg""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""42vp8-321-0"">Especificações:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""42vp8-321-0"">Material | Polietileno 100% Impermeável <br>Marca | Globo <br>Características | Giratório, esférico, etiquetado, plataforma especial e escala<br>Aplicação | Aprendizado, decoração</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,decoracao-de-ambientes,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,309.93,389.9,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S7565411e205e4e28b368525e931024b7W.jpg?v=1732905083,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
escrivaninha-de-resina-para-escritorio,Escrivaninha de Resina para Escritório,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ffff00;"">Escrivaninha de Resina para Escritório</span></h1>
<p style=""text-align: center;"">Seu design único e exclusivo apresenta uma forma em tamanho real de buldogue francês. O dispositivo é ideal para decorar qualquer ambiente, adicionando um toque de humor e vivacidade a qualquer espaço. Além disso, pode ser usado para armazenar e organizar livros.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""5kp9o-328-0""><img height=""435"" width=""500"" src=""https://m.media-amazon.com/images/I/61-Big5sqVL._AC_SX679_.jpg""></span></p>
<p style=""text-align: center;"">Feito de material de alta qualidade, é muito resistente a arranhões e ao desgaste ao longo do tempo. É ideal para peças de todas as idades e pode ser usado como uma peça decorativa e como uma unidade de armazenamento.</p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""5kp9o-395-0"">Especificações:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""5kp9o-395-0"">| Material | Material durável de alta qualidade |<br>| Forma | Forma de buldogue francês |<br>| Estilo | Estilo moderno e exclusivo |<br>| Funcionalidade | Pode ser usado como decoração ou armazenamento |<br>| Mobilidade | Possui duas portas de abertura |<br>| Armazenamento | Possui um compartimento de armazenamento oculto |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,decoracao-de-ambientes,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,389.9,469.92,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Sf40b0e35a45d420a9b5691ac929b33c5a.jpg?v=1732905081,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
poster-arquivo-x-quero-acreditar,"Póster Arquivo X ""Quero Acreditar""","<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none""><span style=""color: #ffff00;"" id=""productTitle"" class=""a-size-medium product-title-word-break product-title-resize"">Póster Arquivo X ""Quero Acreditar""</span></h1>
<p style=""text-align: center;"">O póster dos Ficheiros Secretos ""Quero Acreditar"" faz parte da série de pósters dos Ficheiros Secretos, homenageando as cenas lendárias da história da série. É uma das peças mais queridas da série, frequentemente visto como um símbolo do amor incondicional que muitos fãs têm por ela.</p>
<p style=""text-align: center;""><span data-offset-key=""543o2-167-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/61uJ7MUUzkL._AC_SX679_.jpg"" width=""500"" height=""500""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""543o2-167-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""543o2-167-0"" data-mce-fragment=""1"">Tamanho: 91.4 cm x 61 cm<br>Material: Madeira de Bétula<br>Fundo: Monólogo de Mulder com um buraco de verme no fundo.<br>Citação: ""Quero Acreditar"".</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,decoracao-de-ambientes,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,54.89,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Hd9d5dda443d24cc39f324fe82cbce266n.jpg?v=1732905079,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
controle-de-som-com-18-cores,Controle de Som com 18 Cores,"<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none""><span style=""color: #ffff00;"" id=""productTitle"" class=""a-size-large product-title-word-break"">Controle de Som com 18 Cores</span></h1>
<p style=""text-align: center;"">O Controle de Som com 18 Cores oferece uma nova forma de controle de som personalizável. Este controle de som único e durável vem com 18 cores diferentes, o que permite que se adapte a qualquer estilo. O conteúdo de áudio emitido ajusta-se com até 5 controles de volume independentes, cada um acompanhado de uma luz LED multicolorida.</p>
<p style=""text-align: center;""><span data-offset-key=""6alu5-212-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/71INVL5bYzL._AC_SY450_.jpg""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""6alu5-212-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""6alu5-212-0"" data-mce-fragment=""1"">Tipo de dispositivo: Controle de som<br>Cores disponíveis: Prateado, preto, branco, amarelo, laranja, vermelho, púrpura, cinza, castanho, verde, azul, rosa, lima, lavanda, magenta, persa, cobalto, esmeralda, turquesa<br>Controles de volume: Até 5 controles de volume independentes<br>LED de controle de som: Luzes LED multicoloridas sincronizadas com o som<br>App: Aplicação Coloré para personalização de áudio e som<br>Compatibilidade: iOS, Android, Windows, Mac OS X, Nintendo Switch</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,decoracao-de-ambientes,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,16.34,25.47,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Sa722b3b1fe4f4a0984445217f9ce2cf3c.jpg?v=1732905077,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
ferramenta-multiusos-mini-6-em-1,Ferramenta Multiusos Mini 6 em 1,"<h1 class=""ui-pdp-title"" style=""text-align: center;""><span style=""color: #ffff00;"">Ferramenta Multiusos Mini 6 em 1</span></h1>
<p style=""text-align: center;"">Esta ferramenta multiusos mini 6 em 1 conta com um acabamento de aço inoxidável de alta qualidade e durabilidade, o que a torna de qualidade superior. Tem 6 funções: chave de fendas plana, cabeça Philips, bits de precisão, descarnador de fios, corta-cabos e laser. É compacta, portátil e perfeita para usar em qualquer momento.</p>
<p style=""text-align: center;""><img src=""https://http2.mlstatic.com/D_NQ_NP_938794-MLB41462574252_042020-O.webp""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Acabamento em aço inoxidável<br>Funções: chave de fendas plana, cabeça Philips, bits de precisão, descarnador de fios, corta-cabos e laser<br>Peso: 120 g<br>Dimensões: 20.3 cm x 3.2 cm x 1.3 cm</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,acessorios,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,44.88,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/Hdded040ee09b41969346dbb1d9bb04a3m.jpg?v=1732905075,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
faca-multiusos,Faca Multiusos,"<h1 class=""title--text--1C0vzs9"" style=""text-align: center;""><span style=""color: #ffff00;"">Faca Multiusos</span></h1>
<p style=""text-align: center;"">Uma faca multiusos é uma faca de tamanho médio projetada para realizar uma variedade de tarefas. Elas frequentemente vêm equipadas com vários tipos de lâminas, algumas das quais são utilizadas como ferramentas manuais para cozinha, jardinagem ou até mesmo trabalho geral.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/85fa547f-e2ce-4906-a6b3-d6c428233f19_480x480.jpg?v=1681320299"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Tamanho da lâmina: 8 a 12 cm<br>Tipos de lâmina: serrilhada, lisa ou dentada<br>Acessórios: abridor de garrafas, gancho, etc.<br>Materiais da lâmina: aço inoxidável, carbono, etc.<br>Espigão: metal<br>Cabo: madeira, plástico, metal, etc.</p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,acessorios,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,89.93,139.92,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S3344976ff6ed4e77aac852ec57208a4fs.jpg?v=1732905073,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
triturador-de-alho,Triturador de Alho,"<h1 style=""text-align: center;"" class=""ui-pdp-title""><span style=""color: #ffff00;"">Triturador de Alho</span></h1>
<p style=""text-align: center;"">O Triturador de Alho Elétrico Doméstico da PHYLIS foi concebido para facilitar a vida diária dos entusiastas da culinária. A sua base em aço inoxidável e cabeça rotativa proporcionam maior durabilidade. Basta inserir os ingredientes e ele faz o trabalho por si!</p>
<p style=""text-align: center;""><span data-offset-key=""4sep1-195-0"" data-mce-fragment=""1""><img src=""https://http2.mlstatic.com/D_NQ_NP_851623-MLB47176072230_082021-O.webp""></span></p>
<p style=""text-align: center;"">O seu sistema também possui ventosas para a mesa. O seu design em forma de cone pode ser ajustado de acordo com a textura desejada. Prático e durável, pode ser lavado na máquina de lavar louça.</p>
<p style=""text-align: center;""><span data-offset-key=""4sep1-301-0"" data-mce-fragment=""1""><img src=""https://http2.mlstatic.com/D_NQ_NP_952637-MLB47176072229_082021-O.webp""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""4sep1-301-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""4sep1-301-0"" data-mce-fragment=""1"">| Marca | Phyllis |<br>| Material | Aço Inoxidável |<br>| Dimensões | 11x7x17 cm |<br>| Ventosas | Sim |<br>| Apto para Máquina de Lavar Louça | Sim |<br>| O Cone Aumenta a Potência | Sim |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,acessorios,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,179.91,249.92,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S8779b66d06e74ac09469781899af2b2cm.jpg?v=1732905071,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
prensa-para-hamburguer,Prensa para Hambúrguer,"<h1 class=""ui-pdp-title"" style=""text-align: center;""><span style=""color: #ffff00;"">Prensa para Hambúrguer</span></h1>
<p style=""text-align: center;"">A Prensa para Hambúrguer Profissional e Artesanal é uma ótima ferramenta usada por chefs e cozinheiros caseiros para preparar deliciosos hambúrgueres. Com ela, você pode fazer todos os seus hambúrgueres com o mesmo tamanho e densidade para uma cozedura uniforme. O bolso interno pode manter uma temperatura constante e ideal, garantindo uma cozedura perfeita. Para obter o ponto de cozedura ideal, os hambúrgueres devem ser cozinhados durante 15 a 20 minutos, dependendo da sua preferência. O modelo também permite um ajuste fácil da temperatura do forno, proporcionando mais controlo durante a preparação.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""4d79n-170-0""><img src=""https://http2.mlstatic.com/D_NQ_NP_612937-MLB42225699147_062020-O.webp""></span></p>
<p style=""text-align: center;"">Com esta prensa profissional, você pode criar hambúrgueres perfeitos com até 11 cm de diâmetro. Ideal para servir a familiares e amigos! Além disso, possui uma prática alça para transporte, ajudando a manter a higiene e a prevenir acidentes e lesões.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""4d79n-263-0""><img src=""https://http2.mlstatic.com/D_NQ_NP_788403-MLB42225673705_062020-O.webp""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""4d79n-263-0"">Especificações:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""4d79n-263-0"">| Nome | Prensa para Hambúrguer Profissional e Artesanal |<br>| Diâmetro | Até 11 cm |<br>| Material | Plástico durável |<br>| Bolso interno | Comprime a mistura de hambúrguer na forma desejada. Ideal para fazer hambúrgueres perfeitos |<br>| Prática | Possui uma prática alça para transporte, ajudando a manter a higiene e a prevenir acidentes e lesões. |<br>| Uniformidade | Assegura que todos os seus hambúrgueres tenham o mesmo tamanho e densidade para uma cozedura uniforme. |</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,acessorios,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,84.92,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S0fbfffc88ecb4acf973a92fe36a7d431a.jpg?v=1732905069,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
balanca-electronica-de-precisao,Balança Electrónica de Precisão,"<h1 class=""product_title entry-title nectar-inherit-h3"" style=""text-align: center; color: #ffff00;"">Balança Electrónica de Precisão</h1>
<p style=""text-align: center;"">A Balança Electrónica de Precisão com Temporizador é perfeita para realizar pesagens precisas e controlo de qualidade na sua produção. Conta com uma plataforma de vidro com uma largura de 25 cm e ranhuras de 2 mm, o que facilita a sua limpeza com um pano húmido.</p>
<p style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""mklc-284-0""><img height=""500"" width=""500"" src=""https://buenavistacafe.com.br/wp-content/uploads/2023/02/balanca_cafe.jpg""></span></p>
<h2 style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""mklc-284-0"">Especificações:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""mklc-284-0"">Tamanho da plataforma: 25 cm<br>Precisão: 0.01 g<br>Temporizador: De 0 a 19 minutos e 59 segundos<br>Memória: 16 dados<br>Ajuste de brilho: 3 níveis<br>Função de desligamento automático<br>Campo útil<br>Função de verificação de peso: limites pré-definidos</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,casa,acessorios,TRUE,Title,Default Title,,,,,,,,,0.0,shopify,0,continue,manual,139.92,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0906/6145/4119/files/S16014b4e1d7a467c891d8431a1bee04ac.jpg?v=1732905067,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
