Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
oem-profile-pbt-keycaps-108-keys-pudding-keycap-for-cherry-mx-switch-mechanical-keyboard-kit-rgb-gamer-backlit-keyboards-switch,Teclado Gamer,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Teclado Gamer</span></h1>
<p style=""text-align: center;"">Quando se trata de jogar videojogos, ter um teclado que ofereça uma boa visão das teclas no escuro é essencial. O problema é encontrar um teclado que permita a substituição das teclas e tenha luzes LED para destacá-las, sem ocupar muito espaço na mesa. O Teclado Gamer da marca X vem com todas as características necessárias para satisfazer os gamers profissionais. Ele tem um design moderno e elegante, além de possuir LEDs personalizados que podem ser programados por cor e brilho para maior destaque às teclas desejadas.</p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0669/2690/3479/files/S3259e046c05146db898622346966b448i.jpg?v=1731973519"" width=""549"" height=""549""></p>
<p style=""text-align: center;"">As teclas são facilmente removíveis e substituíveis com outras teclas compatíveis, tornando a configuração do seu computador mais bonita. Além disso, ele conta com recursos adicionais como macros pré-programadas e controlo RGB total dos botões internos para melhor desempenho durante os jogos competitivos. Com o Teclado Gamer da marca X, podes enfrentar qualquer jogo noturno sem perder a vantagem visual sobre os teus adversários graças à sua capacidade de criar layouts personalizados através das luzes LED incorporadas nas teclas principais do produto. Além disso, este modelo foi projetado pensando na ergonomia dos utilizadores: é extremamente fácil encaixar/desencaixar as partes do produto quando necessário.</p>
<p><br></p>
",DSERS,,Eletrónica,"mais-vendidos, produtos gamer",TRUE,Cor,1,,,,,,,,14:33#Gray,0.0,shopify,1000,continue,manual,190.00,220.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/S3259e046c05146db898622346966b448i.jpg?v=1731973519,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/Sb187f18d70bd494b85405bdfc014df96x.jpg?v=1731973519,kg,,,TRUE,,,TRUE,,,active
for-sony-ps3-controller-support-bluetooth-for-pc-gamepad-for-sony-ps3-console-controle-mando-joystick-pc-game,Controle Sem Fios - PS3,"<h1 style=""text-align: center;""><span style=""color: #ff2a00;"">Controle Sem Fios - PS3</span></h1>
<div style=""text-align: center;"">Alguma vez te sentiste frustrado com os controlos da PlayStation 3? Queres ter uma experiência de jogo mais realista e envolvente, mas não sabes como? O Controle Sem Fios - PS3 é a solução perfeita para as tuas necessidades. Com um design ergonómico e sem fios, conectividade Bluetooth e botões de fácil uso, tem uma forma que se ajusta de maneira segura às tuas mãos e sensores de pressão que vibram conforme as tuas ações no jogo.<br>
</div>
<div>
<p data-pm-slice=""1 1 []""><img src=""https://cdn.shopify.com/s/files/1/0675/7007/3898/files/H9867bf44ddf74611b0f02b227362f8954_480x480.webp?v=1668649727"" width=""362"" height=""362"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0675/7007/3898/files/H9867bf44ddf74611b0f02b227362f8954_480x480.webp?v=1668649727""></p>
<div>
<p style=""text-align: center;"" data-pm-slice=""1 1 []""><span> </span>Além disso, o controlo tem uma bateria recarregável embutida para oferecer horas de diversão com uma única carga. Também é leve para permitir que jogues durante horas sem cansar as mãos. Aproveita estas características exclusivas do Controle Sem Fios - PS3 agora mesmo! Experimenta a liberdade de movimentos precisos graças à inovadora tecnologia sem fios Bluetooth. Desfruta da sensibilidade diferenciada dos botões sensíveis à pressão que permitem uma melhor imersão nos teus jogos favoritos durante toda a partida. Obtém maior conforto enquanto controlas as funções principais graças à ergonomia avançada deste produto incrível!</p>
</div>
<p data-pm-slice=""1 1 []""><img src=""https://image.made-in-china.com/43f34j00NkWucKmYfpbI/PS3-Joystick-Console-Controlo-para-Sony-Playstation-3-Game-Pad-Acess%C3%B3rio.webp"" alt=""PS3 Console Joystick Controlo para a Sony Playstation 3 comando de jogos Acessório"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-fragment=""1"" data-mce-src=""https://image.made-in-china.com/43f34j00NkWucKmYfpbI/PS3-Joystick-Console-Controlo-para-Sony-Playstation-3-Game-Pad-Acessório.webp""></p>
<p data-pm-slice=""1 1 []""> </p>
<p data-pm-slice=""1 1 []"" style=""text-align: center;""><br></p>
</div>",DSERS,,Eletrónica,"mais-vendidos, produtos gamer",TRUE,Cor,preto,,,,,,,,14:94#CM2 for PS3 No Cable;200007763:201336100,0.0,shopify,1000,continue,manual,140.00,180.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/S0b83d25c66fd494c8c56b02ce4ae157ef.jpg?v=1731973516,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/Seafcdca413354a399175b26026aa1ab1W.jpg?v=1731973516,kg,,,TRUE,,,TRUE,,,active
laser-mouse-for-pc-gamer-gaming-mouse-ergonomic-mice-with-led-backlit-usb-mice-for-computer-gamer-girl-mouse-for-laptop,Mouse Gamer,"<h1 style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #ff2a00;"" data-mce-style=""color: #ff2a00;"">Mouse  Gamer</span></h1>
<p>Muitos jogadores enfrentam problemas ao tentar encontrar o melhor rato para alcançar os seus objetivos de jogo. Os ratos convencionais não oferecem as funções necessárias, e os modelos mais caros são difíceis de ajustar para obter um desempenho ideal. O Rato Gamer foi criado com todos esses problemas em mente! Recentemente melhorou a disposição de posicionamento 6D, operação rápida com quatro velocidades de DPI, configuração de velocidade com uma tecla, grande sem pressão! Equipado com sete cores de efeito LED que trazem vida à sua experiência gamer.</p>
<p><img src=""https://images-americanas.b2w.io/produtos/3712567591/imagens/gaming-mouse-wired-mute-rato-gamer-mice-luminoso-colorido-luz-usb-computer-mouse-para-computador-pc-gaming-laptop-kf/3712567611_7_xlarge.jpg"" width=""403"" height=""403"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-src=""https://images-americanas.b2w.io/produtos/3712567591/imagens/gaming-mouse-wired-mute-rato-gamer-mice-luminoso-colorido-luz-usb-computer-mouse-para-computador-pc-gaming-laptop-kf/3712567611_7_xlarge.jpg"" data-mce-style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p>Oferece controlo preciso sobre os movimentos do rato através do seu design ergonómico exclusivo que estende o uso durante longas horas. Além disso, está equipado com botões programáveis que lhe permitem personalizar as funções do rato conforme a sua preferência pessoal - tudo isso num único dispositivo moderno e elegante! O Rato Gamer proporciona tudo o que precisa para ter uma experiência gaming realmente satisfatória: maior conforto visual por meio dos sete modos coloridos; possibilidade de definir quatro níveis distintos na sensibilidade da taxa DPI; além da estabilização extremamente precisa da localização no campo virtual graças à tecnologia avançada de design 6D e operação rápida com quatro velocidades de DPI e uma tecla para configuração de velocidade e grande sem pressão! O seu design ergonómico superior permite-lhe experimentar jogabilidade excepcional sem cansar nem lesionar os dedos, tornando este tipo de produto indispensável para qualquer jogador profissional.</p>
<p><img src=""https://images-americanas.b2w.io/produtos/3712567591/imagens/gaming-mouse-wired-mute-rato-gamer-mice-luminoso-colorido-luz-usb-computer-mouse-para-computador-pc-gaming-laptop-kf/3712567611_1_xlarge.jpg"" width=""427"" height=""427"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-src=""https://images-americanas.b2w.io/produtos/3712567591/imagens/gaming-mouse-wired-mute-rato-gamer-mice-luminoso-colorido-luz-usb-computer-mouse-para-computador-pc-gaming-laptop-kf/3712567611_1_xlarge.jpg"" data-mce-style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p> </p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><br></p>",DSERS,,Eletrónica,"mais-vendidos, produtos gamer",TRUE,Title,Default Title,,,,,,,,14:29#BK,0.0,shopify,1000,continue,manual,69.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/Sa6352ef2f02344d8b58c5b1555a846a5M.jpg?v=1731973512,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
drone-air-pro-ultra-mini,Drone Air Pro Ultra Mini,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Drone Air Pro Ultra Mini</span></h1>
<p style=""text-align: center;"">O Drone Air Pro Ultra Mini X é um drone de alta performance, ideal para fotografias e vídeos profissionais. Está equipado com uma câmera 2K ultra HD de 12 megapixels, que te permite capturar fotos nítidas e vídeos cristalinos, além de ter uma transmissão Wi-Fi de longo alcance.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/Screenshot_1_400x_5f0824e7-0df2-42bb-9ff1-1f7504180948_1_480x480.webp?v=1685536751"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Tamanho do drone: 98mm<br>Peso: 120g<br>Tempo de voo: 25 minutos<br>Distância de controle: 300m<br>Câmera: 2K HD de 12 megapixels<br>Transmissão Wi-Fi: Sim<br>Sistema de estabilização: Sim</p>
<p style=""text-align: center;""><br></p>",DSERS,,Eletrónica,"drones, mais-vendidos",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,249.00,299.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/Screenshot_1_400x_5f0824e7-0df2-42bb-9ff1-1f7504180948.webp?v=1731973510,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
drone-com-camera-4k,Drone com Câmera 4K,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Drone com Câmara 4K</span></h1>
<p style=""text-align: center;"">Um drone com câmara 4K é um equipamento voador equipado com tecnologia de vídeo ultra definição. Possui uma câmara com resolução de 4K (3840 x 2160 píxeis) para capturar imagens e vídeos nítidos e detalhados. A transmissão de vídeo ocorre com alta qualidade, permitindo uma experiência de visualização imersiva e precisa.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0728/2229/2791/files/RM13983-2-1-1-33df-avDM_480x480.webp?v=1685538344"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Peso: Variação de acordo com a marca e modelo<br>Duração da bateria: Variação de acordo com a marca e modelo<br>Sistema de voo: Wi-Fi de 2.4GHz<br>Modo de voo: Automático/Manual<br>Câmara: Resolução 4K (3840 x 2160)<br>Modo de controlo: Controlo remoto ou aplicação<br>Distância de controlo remoto: Variação de acordo com a marca e modelo<br>Gama de velocidade: Variação de acordo com marca e modelo<br>Alcance de altitude: Variação de acordo com marca e modelo</p>
<p style=""text-align: center;""><br></p>",DSERS,,Eletrónica,"drones, mais-vendidos",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,449.90,0.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/RM13983-2-1-1-33df-avDM.webp?v=1731973508,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fone-bluetooth-celular-notebook-tablet,Fones de Ouvido Bluetooth para Telemóvel Portátil Tablet,"<h1 style=""text-align: center;""><span data-mce-fragment=""1"" style=""color: #80ff00;"">FONES DE OUVIDO BLUETOOTH 5.0 CP7 TWS CASE</span></h1>
<div style=""text-align: center;"">Os Fones de Ouvido Bluetooth para Telemóvel, Portátil e Tablet, são a solução ideal para manter uma ligação mais estável e com maior qualidade de som sem fios. O dispositivo possui um design moderno e ergonómico, oferecendo conforto e recursos para atender às suas necessidades auditivas. Você pode escutar as suas músicas e vídeos com qualidade surround e também atender chamadas telefónicas, tudo sem fios.</div>
<div style=""text-align: center;""><span data-mce-fragment=""1""><img src=""https://http2.mlstatic.com/D_NQ_NP_664976-MLB49281611273_032022-O.webp""></span></div>
<div style=""text-align: center;"">Com o recurso de cancelamento de chamadas telefónicas através de conexão via Bluetooth e NFC, o dispositivo oferece uma experiência de uso prazerosa. Com bateria de li-ion, pode usar o dispositivo por horas. O dispositivo é compatível com Android e iOS. Oferece um nível de qualidade de som comprovado com um design ergonómico para maior conforto.</div>
<div><img data-mce-fragment=""1"" style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://http2.mlstatic.com/D_NQ_NP_818887-MLB48954663448_012022-O.webp"" data-mce-src=""https://http2.mlstatic.com/D_NQ_NP_818887-MLB48954663448_012022-O.webp""></div>
<h2>Especificações:</h2>
<p>Tecnologia de conexão: Bluetooth / NFC<br>Som: Cancelamento de ruído<br>Bateria: Lítio<br>Compatibilidade: Android / iOS<br>Design: Ergonómico<br>Recursos: Atendimento de chamadas via Bluetooth.</p>
<p style=""text-align: center;""><br></p>
<p> </p>
<p><br></p>",DSERS,,Eletrónica,"fones, mais-vendidos",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,220.00,260.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/D_NQ_NP_664976-MLB49281611273_032022-O.webp?v=1731973506,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fone-de-ouvido-interno-bluetooth-i7s-tws,Fone de ouvido interno bluetooth i7s tws,"<h1 data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #80ff00;"" data-mce-style=""color: #80ff00;"">Fone de ouvido interno bluetooth i7s TWS</span></h1>
<p style=""text-align: center;"" data-mce-style=""text-align: center;"">O Fone de ouvido interno bluetooth i7s TWS é um fone de ouvido estéreo com conexão sem fio que utiliza bluetooth 5.0 para oferecer uma conexão estável e rápida. O fone oferece um som de alta qualidade para os seus altifalantes de neodímio de alta definição. O design ergonómico e a almofada de orelha permitem que os fones se encaixem perfeitamente nos seus ouvidos, proporcionando conforto por longos períodos de uso.</p>
<p data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"" style=""text-align: center;"" data-mce-style=""text-align: center;"">Ele também vem com controlos no cabo touch para acesso rápido a volume e atalhos de funções como reprodução/pausa, chamada de voz, e controle de tom. A bateria de lítio poderosa oferece até 3 horas de conversa/música e até 40 horas em modo espera.</p>
<h2 data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"">
<img data-mce-fragment=""1"" src=""https://static-01.daraz.com.bd/p/7687327ff7ae4d450fa4ab21356952cf.jpg"" width=""473"" height=""473"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-src=""https://static-01.daraz.com.bd/p/7687327ff7ae4d450fa4ab21356952cf.jpg"" data-mce-style=""display: block; margin-left: auto; margin-right: auto;""><br data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Especificação:</strong></span>
</h2>
<p data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"">1. driver: 15mm<br data-mce-fragment=""1"">2. impedância: 32 ohm<br data-mce-fragment=""1"">3. versão bluetooth: bluetooth v5.0 + edr<br data-mce-fragment=""1"">4. faixa do uso de bluetooth: 2.4ghz<br data-mce-fragment=""1"">5. nível de potência: classe ii<br data-mce-fragment=""1"">6. potência de saída: 30mw<br data-mce-fragment=""1"">7. distância bluetooth: 10 metros sem barreiras<br data-mce-fragment=""1"">8. resposta de frequência: 20-20000hz<br data-mce-fragment=""1"">9. faixa de tensão de funcionamento: 3.0v-4.2v<br data-mce-fragment=""1"">10. sensibilidade do microfone: -42db<br data-mce-fragment=""1"">11. Com a2dp/avrcp transmissão de áudio estéreo de alta qualidade e protocolo de controle remoto<br data-mce-fragment=""1"">12. Circuito de redução de ruído poderoso (redução de ruído ativa)<br data-mce-fragment=""1"">13. Alternar entre chinês e inglês (inicialização sem conectar ao estado de bluetooth, pressione o interruptor 2 vezes, ouvir o tom do interruptor com sucesso)<br data-mce-fragment=""1"">14. O tempo de conversação é de cerca de 2-3 horas<br data-mce-fragment=""1"">15. Tempo de música cerca de 1.5-2 horas<br data-mce-fragment=""1"">16. O tempo de espera é de cerca de 100 horas</p>
<p data-mce-fragment=""1"" data-spm-anchor-id=""a2g0o.detail.1000023.i0.ca467a84DyeD8k"" align=""start"" style=""text-align: center;"" data-mce-style=""text-align: center;""><br></p>",DSERS,,Eletrónica,"fones, mais-vendidos",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,181.00,230.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/D_NQ_NP_959434-MLA45270103227_032021-O.jpg?v=1731973504,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fone-gamer-com-fio,Fone Gamer com fio,"<h1 style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #80ff00;"">Fones de Ouvido Gamer com Fio</span></h1>
<p style=""text-align: center;"">Os Fones Gamer com Fio são a melhor escolha para jogadores que procuram o máximo de versatilidade em jogos online e existem em diferentes tamanhos e características. Eles geralmente possuem microfones e controlos embutidos para controlo de som, comunicação, controlo de volume e outros usos.</p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0647/1820/9253/files/Headset-g2000-com-fio-fone-de-ouvido-para-notebook-computador-jogos-m-sica-grave-pesado-com_480x480.jpg?v=1654311477"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-src=""https://cdn.shopify.com/s/files/1/0647/1820/9253/files/Headset-g2000-com-fio-fone-de-ouvido-para-notebook-computador-jogos-m-sica-grave-pesado-com_480x480.jpg?v=1654311477"" data-mce-style=""display: block; margin-left: auto; margin-right: auto;""></p>
<h2 style=""text-align: center;"" data-mce-style=""text-align: center;""> <br data-mce-fragment=""1""><span data-mce-fragment=""1"">Especificações:</span>
</h2>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><span data-mce-fragment=""1"">Modelo: G2000</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Material da Almofada: Couro</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Material do fio dos fones de ouvido: fio trançado</span><br></p>",DSERS,,Eletrónica,"fones, mais-vendidos",TRUE,Cor,Azul,,,,,,,,,0.0,shopify,1000,continue,manual,328.60,360.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/H56c23597fcf44ae88018581828be20cdY.webp?v=1731973501,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/H56c23597fcf44ae88018581828be20cdY.webp?v=1731973501,kg,,,TRUE,,,TRUE,,,active
mini-drone-inteligente-4k-com-camera-hd,Mini drone inteligente 4k com câmera hd,"<h1 style=""text-align: center;""><span style=""color: #80ff00;"">Mini Drone Inteligente 4K com Câmera HD</span></h1>
<div style=""text-align: center;"">Este quadcopter LS-MIN RC é um drone portátil e de pequeno porte com múltiplas funções atraentes, como uma câmera 1080P HD, voo de trajetória com gesto 3D flip e excelentes soluções de cor. É ideal para ser colocado nos seus bolsos ou pequenas malas de viagem enquanto oferece um voo de fácil controle.</div>
<div style=""text-align: left;""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://http2.mlstatic.com/D_NQ_NP_713952-CBT47156857948_082021-O.webp""></div>
<p style=""text-align: center;""><br></p>",DSERS,,Eletrónica,"drones, mais-vendidos",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,469.90,0.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/D_NQ_NP_945404-CBT47156857949_082021-O.jpg?v=1731973499,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
mouse-gamer-profissional-led-5500-dpi-7-botoes,Mouse Gamer Profissional LED,"<h1 style=""text-align: center;"" data-mce-fragment=""1""><span style=""color: #80ff00;"">Mouse Gamer Profissional LED</span></h1>
<p style=""text-align: center;"" data-mce-fragment=""1"">Mouse projetado para gamers de alto nível, com botão DPI ajustável para até 2400 DPI, mais velocidade e desempenho para jogos que exigem o máximo de seus players, com 6 botões configuráveis (Apenas nas configurações dos jogos).</p>
<p data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0641/7874/9667/products/viegaro-mouse-gamer-profissional-led-5500-dpi-7-botoes-eletronicos-29141589590171_600x_e4708f63-6cd7-4959-a51c-1c8c38ed6c4f_500x.jpg?v=1650902311"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<p style=""text-align: center;"" data-mce-fragment=""1"">Design moderno e inovador com Leds que trocam de cor, ideal para players noturnos.</p>
<p style=""text-align: center;"" data-mce-fragment=""1"">Conector USB 2.0 o que gera uma resposta mais rápida, o essencial para uma game play perfeita. Jogue seus FPS, MOBA, MMO e muitos outros games com equipamento de qualidade. Movimentos precisos: Tecnologia de estabilização de gravidade, mova mais facilmente e tenha posicionamento preciso.</p>
<p data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0641/7874/9667/products/viegaro-mouse-gamer-profissional-led-5500-dpi-7-botoes-eletronicos-29141787246747_600x_5041b1f3-2b36-4093-b2f5-697bacc83a08_400x.jpg?v=1650902311"" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<h2 data-mce-fragment=""1"">Especificação Técnica:</h2>
<p><span style=""font-size: 0.875rem;"">Design ergonômico</span><br><span style=""font-size: 0.875rem;"">Material Plástico Abs- Sensor óptico 2400 dpi</span><br><span style=""font-size: 0.875rem;"">Iluminação Led</span><br><span style=""font-size: 0.875rem;"">Ajuste de sensibilidade alteravel em 800/1200/1600/2400 Dpi</span><br><span style=""font-size: 0.875rem;"">Usb: 2.0</span><br><span style=""font-size: 0.875rem;"">6 Botôes</span><br><span style=""font-size: 0.875rem;"">Saída: 5 Vdc (via porta Usb)</span><br><span style=""font-size: 0.875rem;"">Compatível: para Windows xp/ vista/ 7/ 8/ 10, Mac Os</span><br><span style=""font-size: 0.875rem;"">Consumo 100mA</span><br><span style=""font-size: 0.875rem;"">Cabo de fibra trançados com 1,5 metros Itens</span><br></p>
<p style=""text-align: center;""><br></p>
<p data-mce-fragment=""1""> </p>",DSERS,,Eletrónica,"mais-vendidos, produtos gamer",TRUE,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,119.90,170.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0669/2690/3479/files/viegaro-mouse-gamer-profissional-led-5500-dpi-7-botoes-eletronicos-29141787246747_600x_400x_eedd22e2-7db4-489f-a2ce-39685efc1c8c.jpg?v=1731973497,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
