Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
20-60cm-925-sterling-silver-luxury-brand-design-noble-necklace-chain-for-woman-men-fashion-wedding-engagement-jewelry,CORRENTE GROUMET PRATA 950,"<h1 style=""text-align: center;"" class=""product-name""><span style=""color: #ff8000;"">CORRENTE GROUMET PRATA 950</span></h1>
<p style=""text-align: center;"">Essas Corretas de Grupo 925 é feita em prata maciça com 925 zircônias. Possui design moderno e elegante em volta, tornando-o perfeito para ocasiões especiais, como casamentos, aniversários, formaturas e muito mais. Hiperalergênico, o produto é feito com materiais de alta qualidade.</p>
<p style=""text-align: center;""><img height=""528"" width=""528"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S611f561ee3c54b938c7527d036228b02i.jpg?v=1732136793"" alt=""|200000639:200661028#45cm 18inches|200000639:200661029#50cm  20inches|200000639:100010281#55cm 22inches|200000639:884#60cm 24inches|200000639:1438#20cm 8inches""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Material | Prata maciça 925 <br>Pedras | 925 zircônias <br>Comprimento | 60 cm <br>Tamanho | Ajustável <br>Qualidade | Hipoalergênico <br>Ocasiões | Casamentos, aniversários, formaturas, etc.</p>",DSERS,,moda,"acessórios, mais-vendidos",FALSE,Tamanho,45cm,,,,,,,,200000639:200661028#45cm 18inches,0.0,shopify,1000,continue,manual,35.00,55.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S611f561ee3c54b938c7527d036228b02i.jpg?v=1732136793,1,|200000639:200661028#45cm 18inches|200000639:200661029#50cm  20inches|200000639:100010281#55cm 22inches|200000639:884#60cm 24inches|200000639:1438#20cm 8inches,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S611f561ee3c54b938c7527d036228b02i.jpg?v=1732136793,kg,,,TRUE,,,TRUE,,,active
2022-new-fashion-female-shoulder-bag-rhombus-embroidered-solid-color-chain-women-39-s-shoulder-crossbody-casual-trendy-phone-bag,Bolsinha Transversal Clatch Clássica,"<h1 style=""text-align: center;"" class=""product-single__title""><span style=""color: #ff8000;"">Bolsinha Transversal Clatch Clássica</span></h1>
<p style=""text-align: center;"">
    Esta bolsinha transversal clássica é ideal para transportar seus objetos pessoais com facilidade, pois conta com uma alça larga e fechamento em cláter. Ela tem um design versátil para você usar do dia a dia ao final de semana. 
    Alfaiataria dupla na cor amarela, detalhes em couro sintético e em aplique nos ombros. Uma bolsa linda, funcional e prática.
</p>
<p style=""text-align: center;""><span data-offset-key=""636t-187-0"" data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0579/2494/4070/products/bolsinha-transversal-clatch-classica_9_1800x1800.png?v=1656927688"" width=""500"" height=""500""></span></p>
<h2 style=""text-align: left;""><span data-offset-key=""636t-187-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""636t-187-0"" data-mce-fragment=""1"">| Material | Alfaitaria dupla |<br>| Fechamento | Clátcher |<br>| Detalhes | Couro sintético e aplique nos ombros |</span></p>
<p style=""text-align: center;""><br></p>
",DSERS,,moda,"acessórios, mais-vendidos",FALSE,Cor,1,,,,,,,,13:59,0.0,shopify,1000,continue,manual,105.00,139.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S4a1b5ca6c2734ffb84820decc7bc3c0fH.jpg?v=1732136791,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sdf8f631fba174000ae1784159b62bd3fj.jpg?v=1732136791,kg,,,TRUE,,,TRUE,,,active
xqni-new-classic-style-men-leather-bracelet-simple-black-stainless-steel-button-neutral-accessories-hand-woven-jewelry-gifts,Pulseira Confort Fina,"<h1 class=""product_title entry-title"" style=""text-align: center;""><span style=""color: #ff8000;"">Pulseira Confort Fina</span></h1>
<p style=""text-align: center;"">A Pulseira Confort Fina é uma pulseira classic e minimalista feita de couro genuíno. Esta pulseira oferece horas de conforto e estilo, com um fecho de alta qualidade para segurar os pendentes e garantir os acessórios.</p>
<p style=""text-align: center;""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0560/0342/8506/products/HTB1LIZeX5DxK1RjSsphq6zHrpXah_1024x1024.jpg?v=1624897048""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Material: couro genuíno<br>Fecho: aço inoxidável de alta qualidade<br>Detalhes: sela prática e elegante<br>Estilo: Classic e minimalista<br>Cor: Disponível em várias cores diferentes</p>
",DSERS,,moda,"acessórios, mais-vendidos",FALSE,Cor,1,,Tamanho,19cm,,,,,200001034:361180#Black;200000639:201452416,0.0,shopify,1000,continue,manual,65.00,95.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/HTB1iModX2fsK1RjSszbq6AqBXXaF.jpg?v=1732136788,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/HTB1KREdX2vsK1RjSspdq6AZepXaK.jpg?v=1732136788,kg,,,TRUE,,,TRUE,,,active
fashion-spiral-silver-plated-gold-color-ring-x-shape-cross-cz-finger-rings-for-women-girl-engagement-wedding-lady-jewelry-gift,Anel Femme,"<h1 class=""product-meta__title heading h3"" style=""text-align: center;""><span style=""color: #ff8000;"">Anel Femme</span></h1>
<p style=""text-align: center;"">O Anel Femme é um modelo criativo e cheio de personalidade. Ele vem com dois pedras afiadas - uma linda e brilhante zircônia cúbica no centro e quatro zircônias cúbicas ao redor, oferecendo um brilho de ângulos diferentes. Feito de prata de lei 925.</p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S6e25ceb0c0dd40e5a6d4f817bb6002b1A.jpg?v=1732136785"" width=""552"" height=""552""></p>
<p style=""text-align: center;"">Seu design moderno e elegante o torna ideal para ser usado em ocasiões formais ou informais. O Anel Femme é um modelo lindo, sofisticado e bem construído, perfeito para presentear as mulheres modernas e excepcionais.</p>
<h2 style=""text-align: left;""><span data-offset-key=""ct04j-223-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""ct04j-223-0"" data-mce-fragment=""1"">Material | Prata de Lei 925 com camada de ouro branco<br>Dimensões | 2.5 x 2.5 cm<br>Pedras | Zircônias cúbicas<br>Acabamento | Polido<br>Hipoalergênico | Sim<br>Resistente à corrosão | Sim</span></p>
<p style=""text-align: center;""><br></p>
",DSERS,,moda,"acessórios, mais-vendidos",FALSE,Tamanho,6,,Cor,1,,,,,200000369:1394;200000783:29#GOLD COLOR,0.0,shopify,1000,continue,manual,29.40,49.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S6e25ceb0c0dd40e5a6d4f817bb6002b1A.jpg?v=1732136785,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sfa3ab99984bc40568ad5d213efd7305af.jpg?v=1732136785,kg,,,TRUE,,,TRUE,,,active
small-bag-women-39-s-crossbody-new-french-popular-network-red-fashion-foreign-style-crossbody-bag-versatile-mother-39-s-mobile-bag,Bolsa tiracolo leve e pequena,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span class=""a-size-large product-title-word-break"" id=""productTitle"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Bolsa tiracolo leve e pequena</span></h1>
<p style=""text-align: center;"">A OPXTO é uma bolsa pequena e versátil que é perfeito para ocasiões de eventos e saídas. O bolso é feito de couro macio PU de alta qualidade e possui fechamento de zíper resistente à água, detalhes dourados, cinta de ombro ajustável e alças traseiras para maior praticidade.</p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><span data-offset-key=""atpd4-210-0"" data-mce-fragment=""1""><img src=""https://m.media-amazon.com/images/I/41X1x4wTsgS._SX466_.jpg"" data-mce-src=""https://m.media-amazon.com/images/I/41X1x4wTsgS._SX466_.jpg""></span></p>
<p style=""text-align: center;"">Tem um compartimento principal com bolsos internos de zip, bolsos para cartões de visita e uma alça traseira para aderir à bolsa. É perfeito para um toque extra de glamour às suas mais belas roupas.</p>
<h2 style=""text-align: left;"" data-mce-style=""text-align: left;""><span data-offset-key=""atpd4-276-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""atpd4-276-0"" data-mce-fragment=""1"">Material: Couro PU de alta qualidade<br>Dimensões: 12 * 25 * 8 cm<br>Fechamento: Zíper à prova d'água<br>Detalhe dourado nas fivelas<br>Cinta de ombro ajustável<br>Compartimento principal com bolsos internos e um bolso externo para cartões de visita<br>Alça traseira para aderir à bolsa.</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,moda,"acessórios, mais-vendidos",FALSE,Cor,1,,,,,,,,14:193#black,0.0,shopify,0,continue,manual,215.00,250.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sab3f6382fbc04a0dac1b9d75aad8e0abq.jpg?v=1732136782,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S1c3757cee34c4af6a7509f2c1162d97fw.jpg?v=1732136782,kg,,,TRUE,,,TRUE,,,active
2023-new-arrival-tonneau-design-fashion-casual-wristwatch-bracelet-simple-elegant-ladies-free-shipping-quartz-watches-for-women,Relógio Feminino FashionLady,"<h1 style=""text-align: center;"" class=""product-meta__title heading h1""><span style=""color: #ff8000;"">Relógio Feminino FashionLady</span></h1>
<p style=""text-align: center;"">Este Relógio Feminino FashionLady vem com lindas estampas multicoloridas alegres e bonitas. É fabricado com materiais de alta qualidade para maior durabilidade e resistência. Integre este acessório moderno e moderno à sua própria estatégia de visual casual para combinar qualquer look.</p>
<p style=""text-align: center;""><span data-offset-key=""a04rf-127-0"" data-mce-fragment=""1""><img src=""https://cdn.shopify.com/s/files/1/0701/0979/0525/products/Sd52b81ba813948f78d010f7907ddb60bq_600x.jpg?v=1675563040"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">Combina bem com roupas modernas e clássicas. O seu encaixe é perfeito para qualquer ocasião. Possui zíper traseiro e alça parametrada. Relógio ideal para presentear as mulheres modernas e fashionistas.</p>
<h2 style=""text-align: left;""><span data-offset-key=""a04rf-192-0"" data-mce-fragment=""1"">Especificações:</span></h2>
<p><span data-offset-key=""a04rf-192-0"" data-mce-fragment=""1"">| Materiais | Alta qualidade |<br>| Estampa | Multiflorais alegres e bonitas|<br>| Ajuste | Parafuso/Fecho |<br>| Tipo de Mostrador | Analógico |<br>| Características Extras | Zíper traseiro e alça paramentada|</span></p>",DSERS,,moda,"acessórios, mais-vendidos",FALSE,Estilo,1251CC,,,,,,,,14:201447598#1251CC,0.0,shopify,1000,continue,manual,195.00,225.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sd52b81ba813948f78d010f7907ddb60bq.jpg?v=1732136779,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sb45dd84e46b643fcb99df93487fc5263N.jpg?v=1732136779,kg,,,TRUE,,,TRUE,,,active
2023-knitted-women-button-sweater-pullovers-spring-autumn-basic-women-highneck-sweaters-pullover-slim-female-high-quality-top,Blusa Manga Comprida Botões,"<h1 style=""text-align: center;"" class=""product-meta__title heading h1"" data-mce-style=""text-align: center;""><span style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Blusa Manga Comprida Botões</span></h1>
<p style=""text-align: center;"" data-mce-style=""text-align: center;"">A Blusa Manga Comprida Botões é uma peça elegante e moderna que se destaca por suas linhas marcadas e acabamento refinado. O estilo clássico faz desta blusa uma ótima opção para criar looks simples e modernos. O seu design possui botões frontais, gola e mangas longas.</p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><span data-offset-key=""b14jp-123-0""><img src=""https://cdn.shopify.com/s/files/1/0601/5998/3661/products/S09717366b1654f669cd6fd44883f18c0r_600x.jpg?v=1674116657"" width=""500"" height=""667"" data-mce-src=""https://cdn.shopify.com/s/files/1/0601/5998/3661/products/S09717366b1654f669cd6fd44883f18c0r_600x.jpg?v=1674116657""></span></p>
<p style=""text-align: center;"">Além disso, a composição é em tecido leve, proporcionando conforto ao vestir. A Blusa Manga Comprida Botões eleva o nível de atitude do seu look e é ideal para quem busca um look charmoso e sofisticado.</p>
<h2 style=""text-align: left;"" data-mce-style=""text-align: left;""><span data-offset-key=""b14jp-195-0"">Especificações:</span></h2>
<p><span data-offset-key=""b14jp-195-0"">Tamanhos: único<br>Composição: Algodão<br>Estilo: Casual<br>Lavagem: Lavar a mão</span></p>
<p style=""text-align: center;""><br></p>",DSERS,,moda,"feminina, mais-vendidos",FALSE,Cor,1,,Tamanho,tamanho único,,,,,14:175;5:200003528,0.0,shopify,1000,continue,manual,115.00,145.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sda1d2c74e19b40938c7db9b62d07c4f5f.jpg?v=1732136777,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sda1d2c74e19b40938c7db9b62d07c4f5f.jpg?v=1732136777,kg,,,TRUE,,,TRUE,,,active
halter-crochet-bodycon-dress-cut-out-sexy-split-dresses-off-shoulder-backless-party-vestido-korean-women-chic-fashion-robe-y2k,VESTIDO ANGELINA,"<h1 style=""text-align: center;"" class=""product_name"" itemprop=""name""><span style=""color: #ff8000;"">VESTIDO ANGELINA</span></h1>
<p style=""text-align: center;"">O Halter Crochet Bodycon Dress Cut Out Sexy Split Dresses é um vestido moderno e sensual que combina o design cortado de um vestido de festa com o estilo brega. Feito de tecido macio com crochet, esse vestido caracteriza-se por um corte acinturado, decote em halter e costas a mostra. Os detalhes assimétricos de recortes adicionais um toque único ao look.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0572/4101/0229/products/S58762b016a244880b43fb61648302232L_2000x.jpg?v=1673815367""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>• Material: Crochê<br>• Estilo: Bodycon<br>• Estilo da costura: Cortado<br>• Tipo de gola: Halter<br>• Detalhes: Recortes assimétricos, costas abertas<br>• Tratamento de tecido: Macio</p>",DSERS,,moda,"feminina, mais-vendidos",FALSE,Cor,1,,Tamanho,Tamanho único,,,,,14:771#Brown;5:200003528,0.0,shopify,1000,continue,manual,177.00,207.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S7fe0d4b0093b48e489d38094bbf93d917.jpg?v=1732136775,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S58762b016a244880b43fb61648302232L.jpg?v=1732136775,kg,,,TRUE,,,TRUE,,,active
women-summer-camisole-sexy-solid-halter-crop-top-sleeveless-spaghetti-strap-cami-fashion-tank-tops-tube-top-basic-bodycon-tee,TOP HAILEY MESCLA,"<h1 class=""ProductMeta__Title Heading u-h2"" style=""text-align: center;""><span style=""color: #ff8000;"">TOP HAILEY MESCLA</span></h1>
<p style=""text-align: center;""> <span data-mce-fragment=""1"" data-offset-key=""8lmeu-61-0"">O</span><span data-mce-fragment=""1"" data-offset-key=""8lmeu-62-0""> Top</span><span data-mce-fragment=""1"" data-offset-key=""8lmeu-63-0""> Ha</span><span data-mce-fragment=""1"" data-offset-key=""8lmeu-64-0"">iley</span><span data-mce-fragment=""1"" data-offset-key=""8lmeu-65-0""> Mes</span><span data-mce-fragment=""1"" data-offset-key=""8lmeu-66-0"">cl</span><span data-mce-fragment=""1"" data-offset-key=""8lmeu-67-0"">a</span><span data-mce-fragment=""1"" data-offset-key=""8lmeu-68-0""> é uma peça confeccionada com material resistente, confortável e fino. Com caimento reto e comprimento medio esta peça inovadora tera o seu melhor look pela moderna aparência all-over. Possui abertura lateral facilitando o uso e ainda possui costura no ombro para um detalhe que dará mais sofisticação ao seu look. Seu estilo fashion varia entre um dia casual e um dia mais elegante.</span></p>
<p style=""text-align: center;""><img height=""727"" width=""545"" src=""https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S7f17520032d9418eb7f595cecc4af3c0l.jpg?v=1732136772"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Materiais: tecido fino<br>Corte: Reto</p>",Dsers,,moda,"feminina, mais-vendidos",TRUE,Cor,1,,Tamanho,S,,,,,14:350850#Gray;5:100014064,0.0,shopify,1000,continue,manual,115.00,145.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S7f17520032d9418eb7f595cecc4af3c0l.jpg?v=1732136772,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/Sd08b4b8da3734d8fbabb7c4496ab1459O.jpg?v=1732136772,kg,,,TRUE,,,TRUE,,,active
jielur-2022-summer-black-women-denim-shorts-women-s-5xl-harem-ruffled-white-blue-high-waisted-shorts-female-elastic-short-jeans,Shorts jeans feminino NP Summer,"<h1 style=""text-align: center;"" class=""a-size-large a-spacing-none a-color-secondary""><span style=""color: #ff8000;"" id=""productTitle"" class=""a-size-large product-title-word-break"">Shorts jeans feminino NP Summer</span></h1>
<p style=""text-align: center;"">O short feminino Summer traz um estilo moderno e descontraído para o seu dia a dia. Ele possui um design com babados na cintura e elástico, o que o torna muito confortável para usar. Feito em tecido sintético levemente Stretch, o short Summer possui um fechamento frontal por zíper e botões de pressão.</p>
<p style=""text-align: center;""><img src=""https://m.media-amazon.com/images/I/61KaMnWG7aL._AC_SX522_.jpg"" width=""500"" height=""413""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>-Tecido Sintético<br>-Babado na cintura<br>-Elástico<br>-Zíper frontal<br>-Botões de pressão<br>-Bolsos laterais<br>-Modelagem confortável</p>",Dsers,,moda,"feminina, mais-vendidos",TRUE,Cor,1,,Tamanho,S,,,,,14:173#Blue;5:100014064,0.0,shopify,1000,continue,manual,210.00,250.00,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S3fc395d74068482f95fafdbc24ea1d64c.jpg?v=1732136769,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0653/5312/1845/files/S2113b5257d7f41f7ba7c829c7e18e0e4s.jpg?v=1732136769,kg,,,TRUE,,,TRUE,,,active
