Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
three-color-up-cream-to-brighten-the-skin-refreshing-and-moisturizing-bb-cream-natural-nude-makeup-base-de-maquillaje,Primer de Maquiagem,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Primer de Maquiagem</span></h1>
<p style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize""> Esta maquiagem Refrescante de Ductilidade e Sofisticado da Lamptti é perfeita para todas as mulheres que querem uma aparência linda e moderna. Essa maquiagem é formulada com óleos nutritivos, vitaminas e outros ingredientes para proporcionar hidratação à pele. O produto é ideal para quem busca um acabamento leve, fresco e sofisticado, que combina perfeitamente com diferentes estilos e ocasiões. </span></p>
<p style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""></span> <span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""> <img height=""552"" width=""499"" src=""https://m.media-amazon.com/images/I/714wH5sFrwL._AC_SL1500_.jpg""> </span></p>
<h2 style=""text-align: left;""><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""> <span style=""color: #000000;"">Especificações:</span><br></span></h2>
<p><span class=""a-size-medium product-title-word-break product-title-resize"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;""> <span style=""color: #000000;"">Tipo: Maquiagem Refrescante de Ductilidade e Sofisticado<br>Marca: Lamptti<br>Ingredientes: óleos nutritivos, vitaminas, outros ingredientes<br>Cobertura: Brilho duradouro e suave<br>Tamanho: 9,5 g</span> </span></p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, maquilhagem",TRUE,Title,Default Title,,,,,,,,200001176:10#01;200007763:201336100,0.0,shopify,1000,continue,manual,94.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Se67acbb866b44ea4b4b0d5d118a0a291q.jpg?v=1732039557,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/S3dcb42fc4b554464b6e41a6e70e49f58w.jpg?v=1732039557,kg,,,TRUE,,,TRUE,,,active
high-quality-masscaku-fast-blooming-eyelashes-easy-fan-faux-mink-eyelash-extension-soft-natural-auto-fanning-lashes-makeup-tools,Make-up Super Longo Fácil Fanning Cílios Falsos,"<h1 style=""text-align: center;""><span style=""color: #ff8000;"">Make-up Super Longo Fácil Fanning Cílios Falsos</span></h1>
<p style=""text-align: center;"">
  Make-up Super Longo Fácil Fanning Cílios Falsos é uma técnica de maquiagem que adiciona uma longa extensão às pálpebras, proporcionando assim um olhar mais dramático e sensual. Com a ajuda de cílios falsos, especialmente projetados para esse propósito, a técnica permite alcançar um efeito impressionante e duradouro.
</p>
<p style=""text-align: center;"">
  <img alt="""" src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/bc16b925-57ca-4cc0-9d92-e52dd30802a3_480x480.jpg?v=1683807228"">
</p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p><br>Cílios Falsos: Adequados para este efeito. Feitos de material sintético ou inorgânico, levemente pregados e flexíveis.<br>Ferramentas: pinça, removedor de cílios falsos, adesivo ou cola de cílios e curvador de cílios.<br>Aplicação: Limpe a área das pálpebras e aplique a cola ou o adesivo nos cílios falsos. Pegue os cílios com a pinça e comece pregando-os na linha superior dos cílios naturais, colando neles, com cuidado. Para um efeito mais forte, pregue os cílios cada vez mais longe repetindo o processo, e procure não perturbar os cílios naturais. Por fim, use o curvador de cílios para dar um toque fino ao visual.</p>
<p style=""text-align: center;""><br></p>
",DSERS,,saúde e beleza+30.1,"mais-vendidos, maquilhagem",TRUE,Estilo,C,,Material,0.05mm,,Tamanho,8mm,,200007566:3616;200007567:200007901;200007568:100016941,0.0,shopify,1000,continue,manual,44.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Ae4502907074c49e5976fca6e93a7e20ct.jpg?v=1732039554,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Ae4502907074c49e5976fca6e93a7e20ct.jpg?v=1732039554,kg,,,TRUE,,,TRUE,,,active
eyeshadow-pencil-set-12-colors-waterproof-long-lasting-glitter-shimmer-eye-shadow-pen-highlighter-stick-eyes-makeup-tools,Conjunto de sombra para os olhos,"<h1 style=""text-align: center;""><span style=""color: #ff8000;"">Conjunto de sombra para os olhos</span></h1>
<p style=""text-align: center;"">Esta caixa de sombras para os olhos contém 12 cores deslumbrantes para criar um look completo para todas as ocasiões! Esta caixa inclui tons ricos e acentos incríveis que proporcionam um acabamento impecável e aperfeiçoam o tom da sua pele. Esta paleta de sombras é perfeita para quem deseja destacar a sua beleza natural com sofisticação.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/dcc9476b-01e7-4a53-acab-5ba87f638385_480x480.jpg?v=1683806534"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>-12 Cores<br>-Impermeável<br>-Duradouro<br>-Tons ricos e aperfeiçoados<br>-Altamente pigmentada<br>-Apropriado para todas as ocasiões</p>
<p style=""text-align: center;""><br></p>
<p style=""text-align: center;""> </p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, maquilhagem",TRUE,Estilo,1,,,,,,,,200001176:200004889#01,0.0,shopify,1000,continue,manual,39.90,69.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Sa5fe50e8fc7c46d591eb83f052752afaU.jpg?v=1732039551,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/S4a2717ea2840461a80e4bef2899e469cR.jpg?v=1732039551,kg,,,TRUE,,,TRUE,,,active
jessup-makeup-brushes-10-14pcs-makeup-brush-set-synthetic-foundation-powder-contour-eyeshadow-liner-blending-highlight-t329,Brush de maquiagem Violet,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ff8000;"">Pincel de Maquilhagem Violet</span></h1>
<p style=""text-align: center;"">O Kit de Pincéis de Maquilhagem Cosmetic é ideal para quem deseja aplicar eficazmente o seu blush, base, contorno, iluminador, sombra, pó, entre outros produtos de maquilhagem. Fabricados em fibras sintéticas, os pincéis oferecem suavidade e precisão no uso, proporcionando um acabamento profissional e uniforme.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/Sb1071af5b4b44e07911b207754eb5dddE_4347858d-2d93-45bc-a033-4d189d58e333_480x480.jpg?v=1683807687"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>- Cabos: feitos em bambu, matéria-prima ecológica, biodegradável e de alta durabilidade<br>- Cerdas: são produzidas com material não tóxico, revestidas com delicadeza<br>- Kit: contém 10 pincéis de maquilhagem<br>- Aplicação: ideais para aplicação de blush, base, contorno, iluminador, sombra, pó, entre outros produtos de maquilhagem</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, maquilhagem",TRUE,Estilo,T329- 14PCS,,,,,,,,200007787:193#T329- 14PCS;200007763:201336100,0.0,shopify,1000,continue,manual,299.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Sb1071af5b4b44e07911b207754eb5dddE.jpg?v=1732039548,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Ueea596220971419589ff057f741024021.jpg?v=1732039548,kg,,,TRUE,,,TRUE,,,active
powder-8g-flawless-setting-powder-foundation-for-perfecting-micro-makeup-soft-focus-setting-oil-control-light-skin-normal-size,Charlotte Tilbury Magic Vanish,"<h1 class=""nome-produto titulo cor-secundaria"" style=""text-align: center;"" itemprop=""name""><span style=""color: #ff8000;"">Charlotte Tilbury Magic Vanish</span></h1>
<p style=""text-align: center;"">Charlotte Tilbury Magic Vanish Pin 8ml é um tratamento de correção instantânea que oferece um acabamento sem manchas visíveis e de longa duração. Com uma fórmula leve que dissolve rapidamente a maquilhagem, limpa e corrige erros de acabamento para uma pele sem manchas.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/S0b353512ce104743bf9df631a347c81fr_480x480.jpg?v=1683809150"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Charlotte Tilbury Magic Vanish Pin 8ml | Corretor | Líquido | 8ml <br>Ingredientes: Aqua / Água / Eau, Glicerina, Paraffinum Liquidum / Óleo Mineral / Huile Minérale, Estearato de Cetearilo, Polissorbato 60, Poliacrilato de Sódio, Carbómero, Sorbitol, Mel / Honey (Mel / Miel), Vinho de Uva / Extrato de Folha de Videira (Vitis Vinifera), Glicoruilamnica, PPG-26-Buteth-26, Diazolidinil Ureia, Pentileno Glicol, Dimeticona, DMDM Hidantoína, Goma Xantana, Acetato de Tocoferol, EDTA Dissódico, Parfum (Fragrância), Óleo de Amêndoa Doce (Prunus Amygdalus Dulcis), Sulfato de Bário, Benzoato de Sódio.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, maquilhagem",TRUE,Estilo,1,,,,,,,,200001176:200004889#01-Fair,0.0,shopify,1000,continue,manual,179.90,229.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Sb934ed30ea044d309574c081c145b7c5r.jpg?v=1732039545,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Sb934ed30ea044d309574c081c145b7c5r.jpg?v=1732039545,kg,,,TRUE,,,TRUE,,,active
2023-blush-makeup-palette-mineral-powder-red-rouge-lasting-natural-cream-cheek-tint-orange-peach-pink-blush-women-cosmetic,Blush Em Pó Coração,"<h1 data-store=""product-name-127916098"" class=""js-product-name h2 h1-md"" style=""text-align: center;""><span style=""color: #ff8000;"">Blush Em Pó Coração</span></h1>
<p style=""text-align: center;"">O Blush em Pó Coração Lyrics da Erva Doce é um pó solto com pigmentação intensa para iluminar e realçar os brilhos do seu rosto com um toque de charme. A sua textura aveludada oferece uma aplicação fácil, destacando os seus melhores contornos e criando um efeito natural e radiante.</p>
<p style=""text-align: center;""><span><img src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/Seb0c4481cded403eaa0e38f8813c920bC_480x480.jpg?v=1683804887"" alt=""""></span></p>
<h2 style=""text-align: left;""><span>Especificações:</span></h2>
<p>Tipo: Pó solto <br>Textura: Aveludada<br>Pigmentação: Intensa <br>Poder de aderência: Alto<br>O que contém: Microesferas <br>Indicado para: Todos os tons de pele<br>Benefício: Realça o brilho do rosto, cora a pele, ilumina e minimiza os poros</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, maquilhagem",TRUE,Estilo,A01,,,,,,,,200001176:200004889#A01 Cream orange;200007763:201336100,0.0,shopify,1000,continue,manual,129.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Seb0c4481cded403eaa0e38f8813c920bC.jpg?v=1732039543,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/S831407d9dc914f54b345d050c88a252dU.jpg?v=1732039543,kg,,,TRUE,,,TRUE,,,active
pink-beeswax-gua-sha-tools-massager-for-face-facial-skin-care-roller-guoache-scraper-set-beauty-health-tools,Kit Massageador Facial,"<h1 class=""product-title"" style=""text-align: center;""><span style=""color: #ff8000;"">Kit Massageador Facial</span></h1>
<p style=""text-align: center;"">O Kit Massageador Facial da Nanikas Brasil é um produto profissional que ajuda a reduzir os inchaços e melhora a microcirculação da pele. Possui duas cabeças de massagem diferentes, fabricadas em aço inoxidável resistente, macio à pele e inerte. A cabeça plana é ideal para massagem facial suave, enquanto a cabeça com relevo proporciona estimulação muscular profunda e relaxamento.</p>
<p style=""text-align: center;""><img height=""500"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0694/0432/8211/products/S2c67543e46c2447797fb9bf662ad2734d_1024x1024.jpg?v=1680057430""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Material: Aço inoxidável<br>Tamanho: 11 x 4 x 1,5 cm<br>Peso: 33 g<br>Tipo: Resistente à água<br>Cabeça de massagem: 2 (plana e bolinhas)</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, beleza",TRUE,Cor,verde,,,,,,,,14:350850#green;200007763:201336100,0.0,shopify,1000,continue,manual,99.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Sde01ebc6c33c4f31bb61fe4047ea295bu.jpg?v=1732039539,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Sdd7f3dc21d304218bb9a05192796aabfR.jpg?v=1732039539,kg,,,TRUE,,,TRUE,,,active
ems-v-face-beauty-device-intelligent-electric-v-face-shaping-massager-to-removing-double-chin-sleeping-beauty-device-face-shape,FaceFit Pro,"<h1 class=""product-title"" style=""text-align: center;""><span style=""color: #ff8000;"">FaceFit Pro</span></h1>
<p style=""text-align: center;"">O V-Face Beauty Device é um aparelho inteligente para remoção de queixo duplo que ajuda a relaxar, acalmar e reduzir a flacidez ao longo do tempo. O dispositivo trabalha sobre a pele suavemente através de vibrações e golpes leves de pressão, promovendo a circulação sanguínea e ajudando a tonificar a pele de maneira eficaz.</p>
<p style=""text-align: center;""><img height=""548"" width=""548"" src=""https://cdn.shopify.com/s/files/1/0654/7672/2735/files/Sf8838c7bd6ea4bcbba973542b41c801bZ.jpg?v=1732039509"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Compatibilidade | Universal<br>Material | Plástico<br>Ajuste de intensidade | Três níveis<br>Método de tratamento | Vibração e pressão<br>Tamanho | 19 x 12.5 cm<br>Peso | 125g<br>Alimentação | Bateria<br>Tipo de bateria | Bateria recarregável</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, beleza",TRUE,Estilo,1,,,,,,,,14:350853#Device and Gel,0.0,shopify,1000,continue,manual,149.90,209.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Sf8838c7bd6ea4bcbba973542b41c801bZ.jpg?v=1732039536,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/Sb5d050f2385446769adcdb21aa1a1c1dL.jpg?v=1732039536,kg,,,TRUE,,,TRUE,,,active
7pcs-set-makeup-sponge-set-face-beauty-cosmetic-powder-puff-for-foundation-cream-concealer-make-up-tools,Beauty blender Lua,"<h1 class=""product-meta__title heading h1"" style=""text-align: center;""><span style=""color: #ff8000;"">Beauty blender Lua</span></h1>
<p style=""text-align: center;"">O Beauty Blender LUA é um aplicador de base facial multifuncional como nenhum outro. Possui uma forma oval ligeiramente mais larga e arredondada para facilitar a cobertura de áreas maiores do rosto, como o nariz, bochechas e queixo. O seu lado mais fino permite alcançar áreas menores e mais delicadas, garantindo uma aplicação uniforme e precisa.</p>
<p style=""text-align: center;""><span><img height=""528"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0595/5331/7004/products/png_1_1883c7d0-2e9d-4714-8c17-b834abb413f6_600x.png?v=1681914391""></span></p>
<h2 style=""text-align: left;""><span>Especificações:</span></h2>
<p>Tipo de aplicador | Aplicador multifuncional <br>Material | Espuma<br>Âmbito de uso | Base líquida, creme e pó <br>Formato | Oval ligeiramente mais largo e arredondado para cobertura de áreas maiores, laterais mais finos para aplicação em detalhes <br>Tamanho | 8,6 cm x 4,5 cm <br>Cor | Rosa</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, beleza",TRUE,Cor,verde,,,,,,,,14:29#Green,0.0,shopify,1000,continue,manual,34.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/S30e225b5bff34a81a61ab337f4e0e977k.jpg?v=1732039533,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/S819da2a798254672b1aa5fe1e74cba0aT.jpg?v=1732039533,kg,,,TRUE,,,TRUE,,,active
laser-plasma-pen-for-skin-tag-remover-freckle-black-dot-papilloma-warts-mole-pimples-tattoo-removal-laser-pen-beauty-care-tools,Caneta Plasma Laser - Removedor de Manchas e Verrugas,"<h1 class=""product-single__title"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Caneta Plasma Laser - Removedor de Manchas e Verrugas</span></h1>
<p style=""text-align: center;"">A Caneta Plasma Laser Removedor de Manchas e Verrugas da ZNOVE é um dispositivo inovador ideal para quem deseja remover manchas e verrugas com rapidez, eficácia e eficiência. O aparelho conta com um design ergonómico, portátil e inteligente, que torna a sua utilização ainda mais fácil e prática.</p>
<p style=""text-align: center;""><span><img alt="""" src=""https://thumbor.cartpanda.com/g2USQBLZhPOdeCV1SW0U4bfz_JU=/2048x2048/https://assets.mycartpanda.com/static/products_images/ce/01/01/1680007941.png?v=13252247658"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">A sua extremidade facial retrátil permite a remoção rápida, segura e eficaz de manchas e verrugas como lentigo solares, manchas de idade, manchas de acne, pequenas verrugas e outras impurezas cutâneas. Além disso, pode ser utilizada para tratamento de lesões.</p>
<p style=""text-align: center;""><span><img alt="""" src=""https://thumbor.cartpanda.com/QVgOtLzzXrn4KjsIb23J2f4URdQ=/2048x0/https://assets.mycartpanda.com/static/products_images/d0/c1/ae/1680007947.jpg?v=13252247658"" width=""500"" height=""402""></span></p>
<p style=""text-align: center;"">Esta Caneta Plasma Laser Removedor de Verrugas e Manchas é recomendada por dermatologistas para a remoção rápida e segura de verrugas e manchas cutâneas. O seu uso é intuitivo, seguro e confiável, além de ser considerado um tratamento seguro para a remoção de manchas e verrugas.</p>
<p style=""text-align: center;""><span><img alt="""" src=""https://thumbor.cartpanda.com/i2O_R3lb3ize2HRJLRVqDFXFQlA=/2048x2048/https://assets.mycartpanda.com/static/products_images/88/37/8d/1680008168.jpg?v=13252247658"" width=""500"" height=""500""></span></p>
<h2 style=""text-align: center;""><span>Especificações:</span></h2>
<p>- Tecnologia: alta frequência e mecanismo de ultra-som.<br>- Utilidade: remoção rápida, segura e eficaz de manchas e verrugas. <br>- Design: Ergonómico, portátil e inteligente.<br>- Cabo: cabo longo para facilitar o tratamento em diferentes áreas do corpo.<br>- Recomendado por dermatologistas para remoção rápida e segura de manchas e verrugas cutâneas.<br>- Seguro e confiável para remoção de manchas e verrugas na pele.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, beleza",TRUE,Estilo,SP1923-GD,,,,,,,,14:350850#SP1923-GD;200007763:203372089,0.0,shopify,1000,continue,manual,179.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/S73470ab790b14d66a4d252520bbd028dz.jpg?v=1732039530,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0627/3453/2815/files/S85a5999922064196bd39a0897993f095o.jpg?v=1732039530,kg,,,TRUE,,,TRUE,,,active
