Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
bebird-r1-r3-x3-smart-visual-ear-sticks-endoscope-300w-high-precision-earpick-mini-camera-otoscope-health-care-mijia-ear-cleaner,Aparelho para cuidados auditivos,"<h1 style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Aparelho para cuidados auditivos</span></h1>
<p style=""text-align: center;"">O Kiboule é um kit de cuidados auditivos pessoais que ajuda as pessoas a enfrentarem os incômodos dos distúrbios auditivos. Ela traz um par de aparelhos auditivos digitais que podem ajustar automaticamente o modo em função do ambiente. É equipado com uma tecnologia avançada chamada [descreva aqui a tecnologia, caso relevante].</p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><span data-mce-fragment=""1"" data-offset-key=""gd4e-199-0""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/3c154712-aaef-4071-91b8-7f0eccfd2ecf_480x480.jpg?v=1683806111"" data-mce-src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/3c154712-aaef-4071-91b8-7f0eccfd2ecf_480x480.jpg?v=1683806111""></span></p>
<p style=""text-align: center;"">Além disso, ele também traz ferramentas para autoajuste de qualidade de som, aprimoramento da compreensão e ajuste de volume. O Kiboule também conta com microfones direcionais que tornam o ouvinte mais sensível aos sons em ambientes distantes.</p>
<h2 style=""text-align: left;"" data-mce-style=""text-align: left;""><span data-mce-fragment=""1"" data-offset-key=""gd4e-340-0"">Especificações:</span></h2>
<p><span data-mce-fragment=""1"" data-offset-key=""gd4e-340-0"">| Tecnologia | Adaptive Canal Connectivity &lt;br&gt;Algoritmos de aprendizado de máquina | <br>| Microfones | Microfones direcionais traseiros |<br>| Ajuste automático | Automático de som e volume |<br>| Benefícios | Melhor compreensão da linguagem &lt;br&gt;Habilidades auditivas aprimoradas |</span></p>
<p style=""text-align: center;""><br></p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""> </p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, monitoramento-da-saude",TRUE,Cor,preto,,,,,,,,14:173#X3 black,0.0,shopify,1000,continue,manual,249.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S33db8730166d4f49a51140c4e9486934q.jpg?v=1733853329,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S3ea3d7d5be3d4ff1882814212d610a57y.jpg?v=1733853329,kg,,,TRUE,,,TRUE,,,active
6pcs-set-ear-care-tools-stainless-steel-earwax-removal-tool-earpick-sticks-curette-spoon-ear-clean-personal-health-care,Removedor de Cera De Ouvido Espiral,"<h1 class=""product-meta__title heading h1"" style=""text-align: center;""><span style=""color: #ff8000;"">Removedor de Cera De Ouvido Espiral</span></h1>
<p style=""text-align: center;"">O Removedor de Cera de Ouvido Espiral Ear Clean Kit 6 Unidades possui design moderno e ergonômico com sua forma espiral, produzida com material flexível e resistente. Com ela, a limpeza higiênica é possível, pois removerá de forma segura e eficiente a cera acumulada nos condutos auditivos.</p>
<p style=""text-align: center;""><img height=""538"" width=""538"" src=""https://cdn.shopify.com/s/files/1/0627/3453/2815/files/S130262c5845043099ac740a26696d0ddl.jpg?v=1732039469"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>- Modelo: Espiral EarClean;<br>- Quantidade: 6 unidades;<br>- Forma espiral;<br>- Material resistente e flexível;<br>- Cabo com superfície antiderrapante;<br>- Remoção de cera acumulada de forma segura;<br>- Marca: Nanoutilidades.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"cuidados-pessoais, mais-vendidos",TRUE,Cor,prata,,,,,,,,14:200003699#A-Sliver,0.0,shopify,1000,continue,manual,74.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S130262c5845043099ac740a26696d0ddl.jpg?v=1733853326,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S130262c5845043099ac740a26696d0ddl.jpg?v=1733853326,kg,,,TRUE,,,TRUE,,,active
back-support-ultrasonic-lymphatic-soothing-body-sitting-posture-corrector-neck-instrument-neck-massager-care-health-care,Corretor Postural Eletrônico,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ff8000;"">Corretor Postural Eletrónico</span></h1>
<p style=""text-align: center;"">O Corretor Postural Eletrónico Inteligente Mantem é um produto de saúde doméstica projetado para melhorar a postura e o alinhamento corporal. O produto vem com uma salvaguarda que funciona para ajustar automaticamente as cintas para dar suporte no seu alcance específico. Ele...</p>
<p style=""text-align: center;""><img src=""https://m.media-amazon.com/images/I/617UOQ2cK1L._AC_SL1500_.jpg"" width=""500"" height=""521""><br></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>| Especificação | Valor |<br>| ------------------------- | ---------- |<br>| Tipo de produto | Corretor de postura |<br>| Marcas | brella |<br>| Tipo de alinhamento | Eletrónico |<br>| Funcionalidade | Monitorizar os seus movimentos |<br>| Sensor de Postura | Sim |<br>| App Compatibilidade | Android e iOS |<br>| Peso | 90g |</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, monitoramento-da-saude",TRUE,Estilo,A,,,,,,,,200007763:201336100#China;14:200003699#A,0.0,shopify,1000,continue,manual,109.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S419abc40bbf74a8b92ab44825812156dv.jpg?v=1733853323,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/Safe08234345e40f78cfd9389b993d2bbr.jpg?v=1733853323,kg,,,TRUE,,,TRUE,,,active
invisible-body-shaper-corset-women-chest-posture-corrector-belt-back-shoulder-support-brace-posture-correction-for-health-care,Corretor de postura feminino,"<h1 style=""text-align: center;""><span style=""color: #ff8000;"">Corretor de Postura Feminino</span></h1>
<p style=""text-align: center;"">O Corretor de Postura Feminino Plus Size da Quelle é um modelo moderno e versátil, ideal para mulheres com silhueta Plus Size. Possui alças reguláveis que permitem um ajuste personalizado, oferecendo assim melhor sustentação e conforto. O seu fecho frontal foi projetado especialmente para facilitar a colocação e o uso diário. Além disso, o design discreto permite que seja utilizado sob diferentes tipos de roupa, garantindo uma postura mais alinhada e elegante.</p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0714/1752/8628/products/Designsemnome_5_480x480.jpg?v=1681324413""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Tecido: 90% nylon e 10% spandex<br>Fecho frontal<br>Alças reguláveis<br>Costura especial<br>Tecnologia de respirabilidade</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, monitoramento-da-saude",TRUE,Cor,preto,,Tamanho,S,,,,,14:193#Black;491:201452307#S,0.0,shopify,1000,continue,manual,49.90,69.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/Saea65293e6434258aa41ecee30d620faO.jpg?v=1733853319,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S7763ff147546434a862dfbe11a09bbe7C.jpg?v=1733853319,kg,,,TRUE,,,TRUE,,,active
silicone-scalp-massage-comb-head-body-to-wash-clean-care-hair-root-itching-shower-brush-soft-silicone-shampoo-brush-hair-tools,Escova massageadora para xampu para o couro cabeludo,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ff8000;"">Escova massageadora para xampu para o couro cabeludo</span></h1>
<p style=""text-align: center;"">Esta massageadora capilar Gorinco é ideal para proporcionar um cuidado profundo aos cabelos, hidratando-os rapidamente e mantendo-os macios, brilhantes e saudáveis. Possui forma ergonômica e seu cabo é flexível, proporcionando maior conforto. Seu cabo longo tem um design que facilita o uso, tornando-a prática para o dia a dia.</p>
<p style=""text-align: center;""><img height=""369"" width=""498"" src=""https://m.media-amazon.com/images/I/51o85uOsl8L._AC_SL1001_.jpg""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>Design | Ergonômico, cabo flexível <br>Material | Escovas inteiramente mornas <br>Comprimento | Cabo longo<br>Ventilação | Sistema de ventilação <br>Resistência | Revestimento à umidade<br>Bocal de Silicone | O bocal é removível <br>Uso | Todos os tipos de cabelos</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"cuidados-pessoais, mais-vendidos",TRUE,Cor,preto,,,,,,,,17:13,0.0,shopify,1000,continue,manual,49.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/Sb317d119ea024cb19a895c4c9889fc64M.jpg?v=1733853315,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/Sb46a6e499a6e47bc84f92a17fab58195C.jpg?v=1733853315,kg,,,TRUE,,,TRUE,,,active
kts-nail-fungus-laser-therapy-device-905nm-470nm-fungal-nail-treatment-for-fingernails-toenails-onychomycosis-cure-machine,Tratamento das unhas,"<h1 style=""text-align: center;""><span style=""color: #ff8000;"">Tratamento das unhas</span></h1>
<p style=""text-align: center;"">O aparelho para tratamento de fungo nas unhas dos pés é um dispositivo médico de uso doméstico, que ajuda a prevenir, tratar e remover o fungo nas unhas dos pés. Este aparelho funciona através de ondas de rádio de alta frequência e produz energia que penetra na unha afetada...</p>
<p style=""text-align: center;""><img height=""549"" width=""549"" src=""https://cdn.shopify.com/s/files/1/0699/6646/3276/files/S3cb276ae2ccb455ebffbb5577dbf80fe3_480x480.jpg?v=1683808001"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>• Tensão: 100-240 V<br>• Frequência: 50-60 Hz<br>• Potência: 0.3 - 5W<br>• Raio de Desempenho: 0-3mm<br>• Tempo de tratamento: 10-30 minutos<br>• Peso Aproximado: 220g</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"cuidados-pessoais, mais-vendidos",TRUE,Estilo,US,,,,,,,,200007763:201336100;14:365458#US plug,0.0,shopify,1000,continue,manual,259.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S790a891493c946b7aac495d9a36c4399x.jpg?v=1733853311,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/Se59f8d2471164d0cb45d88ddc8300863R.jpg?v=1733853311,kg,,,TRUE,,,TRUE,,,active
imitated-silk-eye-patch-shading-sleep-eye-mask-eyepatch-travel-relax-cover-eyeshade-health-sleeping-shield-eye-care-tools,Tampa Do Olho Para Dormir de Seda,"<h1 class=""a-size-large a-spacing-none"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span class=""a-size-medium product-title-word-break product-title-resize"" id=""productTitle"" style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Tampa Do Olho Para Dormir de Seda</span></h1>
<p style=""text-align: center;"" data-mce-style=""text-align: center;"">A máscara de somífero IMAKEYA é confortável, leve e respirável. Ela oferece a melhor cobertura para seus olhos e sua cabeça, criando o melhor escudo entre o usuário e a luz externa em qualquer lugar que você vá.</p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><img height=""556"" width=""500"" src=""https://m.media-amazon.com/images/I/61sKP6unLPL._AC_SL1005_.jpg"" data-mce-src=""https://m.media-amazon.com/images/I/61sKP6unLPL._AC_SL1005_.jpg""></p>
<h2 style=""text-align: left;"" data-mce-style=""text-align: left;"">Especificações:</h2>
<p>| Material | Tecido macio, leve e respirável. |<br>| Cores | 12 cores sortidas. |<br>| Elástico | Plano, resistente e ajustável. |<br>| Uso | Inibe a luz, indicado para adultos e crianças. |</p>
<p style=""text-align: center;"" data-mce-style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"mais-vendidos, relaxamento",TRUE,Cor,rosa claro,,,,,,,,14:200003699#Light Pink,0.0,shopify,1000,continue,manual,39.90,59.90,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/H003d5afa6614412bb7a72b1b84c1bd9cm.jpg?v=1733853307,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S09397e5ea68a4d30968ee1fe09327f3fP.jpg?v=1733853307,kg,,,TRUE,,,TRUE,,,active
phoera-12-color-natural-matte-eye-shadow-make-up-palette-matte-shimmer-pigmented-eye-shadow-powder-beauty-make-up-cosmetic,Phoera fosco 12 cores sombra de olho,"<h1 style=""text-align: center;""><span style=""color: #ff8000;"">Phoera fosco 12 cores sombra de olho</span></h1>
<p style=""text-align: center;"">A Fosco 12 Cores Sombra de Olho possui uma variedade de tons ricos que permitem criar looks variados, desde tons neutros e discretos até variadas combinações de tons metalizados. Os tons são fáceis de misturar e combinar entre si para que possa criar novos looks e texturas sempre divertidos.</p>
<p style=""text-align: center;""><img height=""549"" width=""549"" src=""https://cdn.shopify.com/s/files/1/0627/3453/2815/files/S747c0982614f4475b73968847e444127r.jpg?v=1732039523"" alt=""""></p>
<h2 style=""text-align: left;"">Especificações:</h2>
<p>| Cor | 12 tons ricos |<br>| Textura | Macia, suave e de longa duração |<br>| Resistência | à água, prova de manchas |<br>| Aplicação | Dupla aplicação |<br>| Benefícios | Fixação, variados looks |</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"beleza, mais-vendidos",TRUE,Cor,201,,,,,,,,200001176:200004889#201;200007763:201336100,0.0,shopify,1000,continue,manual,29.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S747c0982614f4475b73968847e444127r.jpg?v=1733853303,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/Sd05a90c6cda44ce8abef974deb085637L.jpg?v=1733853303,kg,,,TRUE,,,TRUE,,,active
laser-plasma-pen-for-skin-tag-remover-freckle-black-dot-papilloma-warts-mole-pimples-tattoo-removal-laser-pen-beauty-care-tools,Caneta Plasma Laser - Removedor de Manchas e Verrugas,"<h1 class=""product-single__title"" style=""text-align: center;"" data-mce-style=""text-align: center;""><span style=""color: #ff8000;"" data-mce-style=""color: #ff8000;"">Caneta Plasma Laser - Removedor de Manchas e Verrugas</span></h1>
<p style=""text-align: center;"">A Caneta Plasma Laser Removedor de Manchas e Verrugas da ZNOVE é um dispositivo inovador ideal para quem deseja remover manchas e verrugas com rapidez, eficácia e eficiência. O aparelho conta com um design ergonómico, portátil e inteligente, que torna a sua utilização ainda mais fácil e prática.</p>
<p style=""text-align: center;""><span><img alt="""" src=""https://thumbor.cartpanda.com/g2USQBLZhPOdeCV1SW0U4bfz_JU=/2048x2048/https://assets.mycartpanda.com/static/products_images/ce/01/01/1680007941.png?v=13252247658"" width=""500"" height=""500""></span></p>
<p style=""text-align: center;"">A sua extremidade facial retrátil permite a remoção rápida, segura e eficaz de manchas e verrugas como lentigo solares, manchas de idade, manchas de acne, pequenas verrugas e outras impurezas cutâneas. Além disso, pode ser utilizada para tratamento de lesões.</p>
<p style=""text-align: center;""><span><img alt="""" src=""https://thumbor.cartpanda.com/QVgOtLzzXrn4KjsIb23J2f4URdQ=/2048x0/https://assets.mycartpanda.com/static/products_images/d0/c1/ae/1680007947.jpg?v=13252247658"" width=""500"" height=""402""></span></p>
<p style=""text-align: center;"">Esta Caneta Plasma Laser Removedor de Verrugas e Manchas é recomendada por dermatologistas para a remoção rápida e segura de verrugas e manchas cutâneas. O seu uso é intuitivo, seguro e confiável, além de ser considerado um tratamento seguro para a remoção de manchas e verrugas.</p>
<p style=""text-align: center;""><span><img alt="""" src=""https://thumbor.cartpanda.com/i2O_R3lb3ize2HRJLRVqDFXFQlA=/2048x2048/https://assets.mycartpanda.com/static/products_images/88/37/8d/1680008168.jpg?v=13252247658"" width=""500"" height=""500""></span></p>
<h2 style=""text-align: center;""><span>Especificações:</span></h2>
<p>- Tecnologia: alta frequência e mecanismo de ultra-som.<br>- Utilidade: remoção rápida, segura e eficaz de manchas e verrugas. <br>- Design: Ergonómico, portátil e inteligente.<br>- Cabo: cabo longo para facilitar o tratamento em diferentes áreas do corpo.<br>- Recomendado por dermatologistas para remoção rápida e segura de manchas e verrugas cutâneas.<br>- Seguro e confiável para remoção de manchas e verrugas na pele.</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"cuidados-pessoais, mais-vendidos",TRUE,Estilo,SP1923-GD,,,,,,,,14:350850#SP1923-GD;200007763:203372089,0.0,shopify,1000,continue,manual,179.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S73470ab790b14d66a4d252520bbd028dz.jpg?v=1733853299,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S85a5999922064196bd39a0897993f095o.jpg?v=1733853299,kg,,,TRUE,,,TRUE,,,active
7pcs-set-makeup-sponge-set-face-beauty-cosmetic-powder-puff-for-foundation-cream-concealer-make-up-tools,Beauty blender Lua,"<h1 class=""product-meta__title heading h1"" style=""text-align: center;""><span style=""color: #ff8000;"">Beauty blender Lua</span></h1>
<p style=""text-align: center;"">O Beauty Blender LUA é um aplicador de base facial multifuncional como nenhum outro. Possui uma forma oval ligeiramente mais larga e arredondada para facilitar a cobertura de áreas maiores do rosto, como o nariz, bochechas e queixo. O seu lado mais fino permite alcançar áreas menores e mais delicadas, garantindo uma aplicação uniforme e precisa.</p>
<p style=""text-align: center;""><span><img height=""528"" width=""500"" src=""https://cdn.shopify.com/s/files/1/0595/5331/7004/products/png_1_1883c7d0-2e9d-4714-8c17-b834abb413f6_600x.png?v=1681914391""></span></p>
<h2 style=""text-align: left;""><span>Especificações:</span></h2>
<p>Tipo de aplicador | Aplicador multifuncional <br>Material | Espuma<br>Âmbito de uso | Base líquida, creme e pó <br>Formato | Oval ligeiramente mais largo e arredondado para cobertura de áreas maiores, laterais mais finos para aplicação em detalhes <br>Tamanho | 8,6 cm x 4,5 cm <br>Cor | Rosa</p>
<p style=""text-align: center;""><br></p>",DSERS,,saúde e beleza+30.1,"beleza, mais-vendidos",TRUE,Cor,verde,,,,,,,,14:29#Green,0.0,shopify,1000,continue,manual,34.90,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S30e225b5bff34a81a61ab337f4e0e977k.jpg?v=1733853295,1,,FALSE,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/0375/6603/files/S819da2a798254672b1aa5fe1e74cba0aT.jpg?v=1733853295,kg,,,TRUE,,,TRUE,,,active
